,Domain,Subdomain,num_edges,Graph_order,Weighted,Directed,Bipartite,Multigraph,Multiplex,Component,fp_gml,n,alpha,xmin,ntail,Lpl,ppl,dexp,dln,dstrexp,dplwc
Small_plant-pollinator_web_Small_plant-pollinator_web_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,141,2,simplified,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Small_plant-pollinator_web_Small_plant-pollinator_web_Biological_Food_web_n2.gml,47,2.4600000000000013,4.0,32.0,-82.407569458095651,0.12300000000000001,0.0,0.0,0.0,-1.0
Freshwater_stream_webs_SuttonSp_Biological_Food_web_n3.gml_directedindistribution.txt,Biological,Food_web,391,3,0,in,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_SuttonSp_Biological_Food_web_n3.gml,79,1.5300000000000005,4.0,22.0,-94.08994098035356,0.0,-1.0,-1.0,-1.0,-1.0
Freshwater_stream_webs_SuttonSp_Biological_Food_web_n3.gml_directedoutdistribution.txt,Biological,Food_web,391,3,0,out,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_SuttonSp_Biological_Food_web_n3.gml,79,5.5000000000000044,13.0,13.0,-29.270185301107148,0.94199999999999995,0.0,0.0,0.0,0.0
Fungal_growth_networks_Pp_M_UK_U_N_15h_10_Biological_Tissue_n3.gml_multiplexpathscore_multigraphsimplifieddistribution.txt,Biological,Tissue,437,3,0,0,0,simplified,sub_pathscore,connected,/Volumes/Durodon/gmls/Biological/Tissue/n3/Fungal_growth_networks_Pp_M_UK_U_N_15h_10_Biological_Tissue_n3.gml,283,1.6400000000000006,1.0,283.0,-724.2085800831552,0.0,-1.0,-1.0,-1.0,-1.0
Fungal_growth_networks_Pp_M_UK_U_N_15h_10_Biological_Tissue_n3.gml_multiplexconductance_multigraphsimplifieddistribution.txt,Biological,Tissue,437,3,0,0,0,simplified,sub_conductance,connected,/Volumes/Durodon/gmls/Biological/Tissue/n3/Fungal_growth_networks_Pp_M_UK_U_N_15h_10_Biological_Tissue_n3.gml,283,1.6400000000000006,1.0,283.0,-724.2085800831552,0.0,-1.0,-1.0,-1.0,-1.0
ISCAS89_Benchmark_Circuits__s838_1_bench_Technological_Digital_Circuit_n3.gml_directedtotaldistribution.txt,Technological,Digital_Circuit,820,3,0,total,0,0,0,entire,/Volumes/Durodon/gmls/Technological/Digital_Circuit/n3/ISCAS89_Benchmark_Circuits__s838_1_bench_Technological_Digital_Circuit_n3.gml,545,4.1400000000000015,3.0,353.0,-419.12586185224882,0.045999999999999999,0.0,0.0,0.0,-1.0
Arroyo_plant-pollinator_web_Elevation_1_Biological_Food_web_n3.gml_bipartitefulldistribution.txt,Biological,Food_web,365,3,0,0,full,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Arroyo_plant-pollinator_web_Elevation_1_Biological_Food_web_n3.gml,186,2.6700000000000017,5.0,51.0,-132.9610691378858,0.45100000000000001,0.0,0.0,0.0,-1.0
Arroyo_plant-pollinator_web_Elevation_1_Biological_Food_web_n3.gml_bipartitefull_largestcompdistribution.txt,Biological,Food_web,363,3,0,0,full,0,0,largest,/Volumes/Durodon/gmls/Biological/Food_web/n3/Arroyo_plant-pollinator_web_Elevation_1_Biological_Food_web_n3.gml,182,2.6700000000000017,5.0,51.0,-132.9610691378858,0.42099999999999999,0.0,0.0,0.0,-1.0
Fungal_growth_networks_Rb_M_I_Fc-L_N_26d_3_Biological_Tissue_n3.gml_multiplexpathscore_multigraphsimplifieddistribution.txt,Biological,Tissue,429,3,0,0,0,simplified,sub_pathscore,entire,/Volumes/Durodon/gmls/Biological/Tissue/n3/Fungal_growth_networks_Rb_M_I_Fc-L_N_26d_3_Biological_Tissue_n3.gml,346,1.8400000000000007,1.0,346.0,-679.32497752053632,0.0,-1.0,-1.0,-1.0,-1.0
Fungal_growth_networks_Rb_M_I_Fc-L_N_26d_3_Biological_Tissue_n3.gml_multiplexpathscore_multigraphsimplified_largestcompdistribution.txt,Biological,Tissue,426,3,0,0,0,simplified,sub_pathscore,largest,/Volumes/Durodon/gmls/Biological/Tissue/n3/Fungal_growth_networks_Rb_M_I_Fc-L_N_26d_3_Biological_Tissue_n3.gml,342,1.8400000000000007,1.0,342.0,-674.89659532455039,0.0,-1.0,-1.0,-1.0,-1.0
Fungal_growth_networks_Rb_M_I_Fc-L_N_26d_3_Biological_Tissue_n3.gml_multiplexconductance_multigraphsimplifieddistribution.txt,Biological,Tissue,429,3,0,0,0,simplified,sub_conductance,entire,/Volumes/Durodon/gmls/Biological/Tissue/n3/Fungal_growth_networks_Rb_M_I_Fc-L_N_26d_3_Biological_Tissue_n3.gml,346,1.8400000000000007,1.0,346.0,-679.32497752053632,0.0,-1.0,-1.0,-1.0,-1.0
Fungal_growth_networks_Rb_M_I_Fc-L_N_26d_3_Biological_Tissue_n3.gml_multiplexconductance_multigraphsimplified_largestcompdistribution.txt,Biological,Tissue,426,3,0,0,0,simplified,sub_conductance,largest,/Volumes/Durodon/gmls/Biological/Tissue/n3/Fungal_growth_networks_Rb_M_I_Fc-L_N_26d_3_Biological_Tissue_n3.gml,342,1.8400000000000007,1.0,342.0,-674.89659532455039,0.0,-1.0,-1.0,-1.0,-1.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_39_Social_Political_n3.gml_weighted1_largestcompdistribution.txt,Social,Political,827,3,w1,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_39_Social_Political_n3.gml,142,3.490000000000002,18.0,30.0,-100.65931661466848,0.53400000000000003,1.0,0.0,0.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_39_Social_Political_n3.gml_weighted2distribution.txt,Social,Political,373,3,w2,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_39_Social_Political_n3.gml,162,2.0000000000000009,2.0,105.0,-259.28725989087104,0.11600000000000001,1.0,0.0,0.0,-1.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_39_Social_Political_n3.gml_weighted2_largestcompdistribution.txt,Social,Political,184,3,w2,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_39_Social_Political_n3.gml,115,2.5200000000000014,2.0,62.0,-107.85919623849264,0.34300000000000003,1.0,0.0,1.0,0.0
