,Strong1,Strong2,Strong_alone,Weak,Weakest,Domain,Subdomain,median_alpha,n,median_ntail,median_meandeg
/Volumes/Durodon/gmls/Biological/Connectome/n2/Cat_cerebral_hemisphere_cortex_and_thalamus_Biological_Connectome_n2.gml,False,False,False,False,True,Biological,Connectome,5.3500000000000032,76,20.0,3.2105263157894739
/Volumes/Durodon/gmls/Biological/Connectome/n2/Cat_cerebral_hemisphere_cortex_only_Biological_Connectome_n2.gml,False,False,False,False,True,Biological,Connectome,4.1000000000000014,46,18.0,2.3913043478260869
/Volumes/Durodon/gmls/Biological/Connectome/n2/Mouse_visual_cortex_2011_Mouse_Mouse_visual_cortex_1_Biological_Connectome_n2.gml,False,False,False,False,True,Biological,Connectome,4.4000000000000021,29,9.0,2.6326259946949602
/Volumes/Durodon/gmls/Biological/Connectome/n2/P_pacificus_nematode_2013_Worm_p_pacificus_neural_synaptic_1_Biological_Connectome_n2.gml,False,False,False,False,True,Biological,Connectome,1.9100000000000008,54,17.0,2.7962962962962963
/Volumes/Durodon/gmls/Biological/Connectome/n2/P_pacificus_nematode_2013_Worm_p_pacificus_neural_synaptic_2_Biological_Connectome_n2.gml,False,False,False,False,False,Biological,Connectome,1.7100000000000006,50,20.0,3.1000000000000001
/Volumes/Durodon/gmls/Biological/Connectome/n2/Rhesus_cortex_2013_Macaque_rhesus_interareal_cortical_network_2_Biological_Connectome_n2.gml,False,False,False,False,True,Biological,Connectome,1.9900000000000009,88,20.0,3.3461240310077516
/Volumes/Durodon/gmls/Biological/Connectome/n3/C_elegans_neurons_1986_C_elegans_Metabolic_Biological_Connectome_n3.gml,False,False,False,True,True,Biological,Connectome,3.2900000000000018,297,79.0,7.8956228956228953
/Volumes/Durodon/gmls/Biological/Connectome/n3/C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1_Biological_Connectome_n3.gml,False,False,False,True,True,Biological,Connectome,3.655000000000002,279,61.0,10.716845878136201
/Volumes/Durodon/gmls/Biological/Connectome/n3/Mouse_suprachiasmatic_nucleus_scn3_Biological_Connectome_n3.gml,False,False,False,False,True,Biological,Connectome,6.5000000000000044,430,17.0,3.3674418604651164
/Volumes/Durodon/gmls/Biological/Connectome/n3/Mouse_suprachiasmatic_nucleus_scn4_Biological_Connectome_n3.gml,False,False,False,False,True,Biological,Connectome,4.490000000000002,350,33.0,4.2685714285714287
/Volumes/Durodon/gmls/Biological/Connectome/n3/Mouse_suprachiasmatic_nucleus_scn5_Biological_Connectome_n3.gml,False,False,False,True,True,Biological,Connectome,3.1500000000000021,358,66.0,6.8111033519553068
/Volumes/Durodon/gmls/Biological/Connectome/n3/Mouse_visual_cortex_2011_Mouse_Mouse_visual_cortex_2_Biological_Connectome_n3.gml,False,False,False,False,False,Biological,Connectome,2.6850000000000014,195,188.0,2.1411517444304331
/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_1_2011_Biological_Connectome_n3.gml,False,False,False,False,True,Biological,Connectome,2.3650000000000011,355,82.5,4.2101464078992166
/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,False,False,False,True,True,Biological,Connectome,2.410000000000001,355,79.5,4.180769230769231
/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_3_2013_Biological_Connectome_n3.gml,False,False,False,False,True,Biological,Connectome,2.8200000000000016,361,63.5,4.2212643678160919
/Volumes/Durodon/gmls/Biological/Connectome/n4/Fly_medulla_2013_Fly_drosophila_medulla_1_Biological_Connectome_n4.gml,False,False,False,False,False,Biological,Connectome,2.0000000000000009,1781,706.0,10.034442340207526
/Volumes/Durodon/gmls/Biological/Connectome/n4/Mouse_suprachiasmatic_nucleus_scn1_Biological_Connectome_n4.gml,False,False,False,False,False,Biological,Connectome,3.9800000000000018,541,78.0,7.5518072171635637
/Volumes/Durodon/gmls/Biological/Connectome/n4/Mouse_suprachiasmatic_nucleus_scn2_Biological_Connectome_n4.gml,False,False,False,False,True,Biological,Connectome,4.9400000000000031,404,26.0,5.1138613861386135
/Volumes/Durodon/gmls/Biological/Food_web/n2/Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,2.680000000000001,36,18.0,4.333333333333333
/Volumes/Durodon/gmls/Biological/Food_web/n2/Arroyo_plant-pollinator_web_Elevation_3_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,3.6800000000000015,69,8.0,2.5685618729096991
/Volumes/Durodon/gmls/Biological/Food_web/n2/Beehler_seed-disperser_web_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,3.2300000000000022,40,15.0,5.9500000000000002
/Volumes/Durodon/gmls/Biological/Food_web/n2/Bluthgen_plant-ant_web_Biological_Food_web_n2.gml,False,False,False,False,False,Biological,Food_web,1.8000000000000007,92,73.0,6.1956521739130439
/Volumes/Durodon/gmls/Biological/Food_web/n2/Cold_Lake_host-parasite_web_Cold_Lake_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,2.4200000000000013,50,24.0,3.6400000000000001
/Volumes/Durodon/gmls/Biological/Food_web/n2/Dupont_plant-pollinator_web_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,3.2900000000000018,49,14.0,4.3265306122448983
/Volumes/Durodon/gmls/Biological/Food_web/n2/Elberling_Olesen_plant-pollinator_web_Biological_Food_web_n2.gml,False,False,False,False,False,Biological,Food_web,1.8800000000000008,141,141.0,3.375886524822695
/Volumes/Durodon/gmls/Biological/Food_web/n2/Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,3.5600000000000023,41,8.0,2.3414634146341462
/Volumes/Durodon/gmls/Biological/Food_web/n2/Joern_plant-herbivore_webs_Altuda_Biological_Food_web_n2.gml,False,False,False,False,False,Biological,Food_web,3.0700000000000021,74,26.0,4.9729729729729728
/Volumes/Durodon/gmls/Biological/Food_web/n2/Joern_plant-herbivore_webs_Marathon_Biological_Food_web_n2.gml,False,False,False,False,False,Biological,Food_web,3.0700000000000021,74,26.0,4.9729729729729728
/Volumes/Durodon/gmls/Biological/Food_web/n2/Leather_plant-herbivore_webs_Britain_Biological_Food_web_n2.gml,False,False,False,False,False,Biological,Food_web,2.410000000000001,94,94.0,2.4680851063829787
/Volumes/Durodon/gmls/Biological/Food_web/n2/Leather_plant-herbivore_webs_Finland_Biological_Food_web_n2.gml,True,True,True,True,True,Biological,Food_web,2.1900000000000013,69,69.0,2.7536231884057969
/Volumes/Durodon/gmls/Biological/Food_web/n2/Mosquin_Martin_plant-pollinator_web_Mosquin_Martin_plant-pollinator_web_Biological_Food_web_n2.gml,False,False,False,False,False,Biological,Food_web,2.3450000000000011,29,16.0,2.8103448275862069
/Volumes/Durodon/gmls/Biological/Food_web/n2/Motten_plant-pollinator_web_Motten_plant-pollinator_web_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,2.8200000000000016,57,23.0,5.0175438596491224
/Volumes/Durodon/gmls/Biological/Food_web/n2/Olesen_plant-pollinator_web_Flores_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,3.6700000000000026,22,11.0,2.7272727272727271
/Volumes/Durodon/gmls/Biological/Food_web/n2/Olesen_plant-pollinator_web_Ile_aux_Aigrettes_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,2.890000000000001,27,19.0,3.8518518518518516
/Volumes/Durodon/gmls/Biological/Food_web/n2/Ollerton_plant-pollinator_web_Ollerton_plant-pollinator_web_Biological_Food_web_n2.gml,False,False,False,True,True,Biological,Food_web,1.9200000000000008,65,65.0,3.1692307692307691
/Volumes/Durodon/gmls/Biological/Food_web/n2/Parsnip_and_McGregor_host-parasite_webs_McGregor_River_Biological_Food_web_n2.gml,False,False,False,False,False,Biological,Food_web,1.7900000000000007,65,65.0,3.5076923076923077
/Volumes/Durodon/gmls/Biological/Food_web/n2/Parsnip_and_McGregor_host-parasite_webs_Parsnip_River_Biological_Food_web_n2.gml,False,False,False,False,False,Biological,Food_web,1.9600000000000009,70,51.0,4.5142857142857142
/Volumes/Durodon/gmls/Biological/Food_web/n2/Poulin_seed-disperser_web_Poulin_seed-disperser_web_Biological_Food_web_n2.gml,False,False,False,False,False,Biological,Food_web,2.7800000000000016,24,13.0,4.416666666666667
