,Domain,Subdomain,num_edges,Graph_order,Weighted,Directed,Bipartite,Multigraph,Multiplex,Component,fp_gml,n,alpha,xmin,ntail,Lpl,ppl,dexp,dln,dstrexp,dplwc
Cat_cerebral_hemisphere_cortex_and_thalamus_Biological_Connectome_n2.gml_weighted1_directedoutdistribution.txt,Biological,Connectome,244.0,2.0,w1,out,0.0,0.0,0.0,entire,/Volumes/Durodon/gmls/Biological/Connectome/n2/Cat_cerebral_hemisphere_cortex_and_thalamus_Biological_Connectome_n2.gml,76.0,5.35,5.0,20.0,-26.3620566112,0.837,0.0,0.0,0.0,0.0
Cat_cerebral_hemisphere_cortex_only_Biological_Connectome_n2.gml_weighted1_directedindistribution.txt,Biological,Connectome,110.0,2.0,w1,in,0.0,0.0,0.0,entire,/Volumes/Durodon/gmls/Biological/Connectome/n2/Cat_cerebral_hemisphere_cortex_only_Biological_Connectome_n2.gml,46.0,5.45,4.0,14.0,-15.0286617528,0.315,-1.0,0.0,-1.0,0.0
Mouse_visual_cortex_2011_Mouse_Mouse_visual_cortex_1_Biological_Connectome_n2.gml_multiplex1.0_directedtotaldistribution.txt,Biological,Connectome,29.0,2.0,0,total,0.0,0.0,sub_0,entire,/Volumes/Durodon/gmls/Biological/Connectome/n2/Mouse_visual_cortex_2011_Mouse_Mouse_visual_cortex_1_Biological_Connectome_n2.gml,26.0,4.87,3.0,9.0,-8.56739050727,0.348,0.0,0.0,0.0,0.0
P_pacificus_nematode_2013_Worm_p_pacificus_neural_synaptic_1_Biological_Connectome_n2.gml_multiplexunion_multigraphsimplified_directedindistribution.txt,Biological,Connectome,151.0,2.0,0,in,0.0,0.0,union,entire,/Volumes/Durodon/gmls/Biological/Connectome/n2/P_pacificus_nematode_2013_Worm_p_pacificus_neural_synaptic_1_Biological_Connectome_n2.gml,54.0,3.56,4.0,16.0,-27.8787154218,0.952,0.0,0.0,0.0,0.0
P_pacificus_nematode_2013_Worm_p_pacificus_neural_synaptic_2_Biological_Connectome_n2.gml_multiplexunion_multigraphsimplified_directedindistribution.txt,Biological,Connectome,155.0,2.0,0,in,0.0,0.0,union,entire,/Volumes/Durodon/gmls/Biological/Connectome/n2/P_pacificus_nematode_2013_Worm_p_pacificus_neural_synaptic_2_Biological_Connectome_n2.gml,50.0,3.32,4.0,17.0,-31.8965198288,0.476,0.0,0.0,0.0,0.0
Rhesus_cortex_2013_Macaque_rhesus_interareal_cortical_network_2_Biological_Connectome_n2.gml_weighted2_directedoutdistribution.txt,Biological,Connectome,142.0,2.0,w2,out,0.0,0.0,0,entire,/Volumes/Durodon/gmls/Biological/Connectome/n2/Rhesus_cortex_2013_Macaque_rhesus_interareal_cortical_network_2_Biological_Connectome_n2.gml,60.0,2.98,3.0,21.0,-37.5761765905,0.143,0.0,0.0,0.0,0.0
C_elegans_neurons_1986_C_elegans_Metabolic_Biological_Connectome_n3.gml_multigraphsimplified_weightedsimplified_directedoutdistribution.txt,Biological,Connectome,2345.0,3.0,simplified,out,0.0,0.0,0,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/C_elegans_neurons_1986_C_elegans_Metabolic_Biological_Connectome_n3.gml,297.0,4.11,15.0,44.0,-125.943921463,0.684,0.0,0.0,0.0,0.0
C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1_Biological_Connectome_n3.gml_multiplexe_synapse_type_multigraphsimplified_directedoutdistribution.txt,Biological,Connectome,2990.0,3.0,0,out,0.0,0.0,sub_e_synapse_type,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/C_elegans_pharynx_2011_Worm_c_elegans_herm_pharynx_1_Biological_Connectome_n3.gml,279.0,4.07,16.0,58.0,-170.933707436,0.952,0.0,0.0,0.0,0.0
Mouse_suprachiasmatic_nucleus_scn3_Biological_Connectome_n3.gml_multigraphsimplifieddistribution.txt,Biological,Connectome,724.0,3.0,0,0,0.0,simplified,0,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Mouse_suprachiasmatic_nucleus_scn3_Biological_Connectome_n3.gml,430.0,6.5,20.0,17.0,-39.5079003259,0.914,-1.0,-1.0,-1.0,0.0
Mouse_suprachiasmatic_nucleus_scn4_Biological_Connectome_n3.gml_multigraphsimplifieddistribution.txt,Biological,Connectome,747.0,3.0,0,0,0.0,simplified,0,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Mouse_suprachiasmatic_nucleus_scn4_Biological_Connectome_n3.gml,350.0,4.49,17.0,33.0,-93.8687889561,0.372,0.0,0.0,2.0,0.0
Mouse_suprachiasmatic_nucleus_scn5_Biological_Connectome_n3.gml_multigraphsimplified_largestcompdistribution.txt,Biological,Connectome,803.0,3.0,0,0,0.0,simplified,0,largest,/Volumes/Durodon/gmls/Biological/Connectome/n3/Mouse_suprachiasmatic_nucleus_scn5_Biological_Connectome_n3.gml,176.0,3.15,11.0,66.0,-201.692175062,0.199,-1.0,0.0,-1.0,-1.0
Mouse_visual_cortex_2011_Mouse_Mouse_visual_cortex_2_Biological_Connectome_n3.gml_multiplexunion_directedtotaldistribution.txt,Biological,Connectome,214.0,3.0,0,total,0.0,0,union,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Mouse_visual_cortex_2011_Mouse_Mouse_visual_cortex_2_Biological_Connectome_n3.gml,195.0,2.62,1.0,193.0,-177.082532131,0.0,1.0,1.0,1.0,0.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_1_2011_Biological_Connectome_n3.gml_multiplex6.0_directedtotaldistribution.txt,Biological,Connectome,1065.0,3.0,0,total,0.0,0,sub_5,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_1_2011_Biological_Connectome_n3.gml,321.0,2.32,6.0,117.0,-373.885877302,0.011,0.0,-1.0,-1.0,-1.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex4.0_directedoutdistribution.txt,Biological,Connectome,1633.0,3.0,0,out,0.0,0,sub_3,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,355.0,2.79,5.0,129.0,-321.498055454,0.154,0.0,0.0,1.0,0.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_3_2013_Biological_Connectome_n3.gml_multiplex8.0_directedtotaldistribution.txt,Biological,Connectome,910.0,3.0,0,total,0.0,0,sub_7,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_3_2013_Biological_Connectome_n3.gml,270.0,2.2,5.0,121.0,-383.264573213,0.0,-1.0,-1.0,-1.0,-1.0
Fly_medulla_2013_Fly_drosophila_medulla_1_Biological_Connectome_n4.gml_multiplexprey_multigraphsimplifieddistribution.txt,Biological,Connectome,8911.0,4.0,0,0,0.0,simplified,sub_prey,entire,/Volumes/Durodon/gmls/Biological/Connectome/n4/Fly_medulla_2013_Fly_drosophila_medulla_1_Biological_Connectome_n4.gml,1781.0,2.0,6.0,706.0,-2613.25008592,0.0,0.0,-1.0,-1.0,-1.0
Mouse_suprachiasmatic_nucleus_scn1_Biological_Connectome_n4.gml_multigraphsimplified_largestcompdistribution.txt,Biological,Connectome,1681.0,4.0,0,0,0.0,simplified,0,largest,/Volumes/Durodon/gmls/Biological/Connectome/n4/Mouse_suprachiasmatic_nucleus_scn1_Biological_Connectome_n4.gml,379.0,3.98,15.0,78.0,-227.944012806,0.025,-1.0,-1.0,-1.0,-1.0
Mouse_suprachiasmatic_nucleus_scn2_Biological_Connectome_n4.gml_multigraphsimplifieddistribution.txt,Biological,Connectome,1033.0,4.0,0,0,0.0,simplified,0,entire,/Volumes/Durodon/gmls/Biological/Connectome/n4/Mouse_suprachiasmatic_nucleus_scn2_Biological_Connectome_n4.gml,404.0,4.94,20.0,26.0,-74.2429096443,0.255,-1.0,0.0,2.0,0.0
Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_Biological_Food_web_n2.gml_multiplexprevalence_bipartitefulldistribution.txt,Biological,Food_web,78.0,2.0,0,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_Biological_Food_web_n2.gml,36.0,2.68,4.0,18.0,-42.3890393892,0.462,0.0,0.0,0.0,0.0
Arroyo_plant-pollinator_web_Elevation_3_Biological_Food_web_n2.gml_bipartitefulldistribution.txt,Biological,Food_web,87.0,2.0,0,0,full,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n2/Arroyo_plant-pollinator_web_Elevation_3_Biological_Food_web_n2.gml,69.0,3.68,6.0,8.0,-16.8961396787,0.626,0.0,0.0,0.0,0.0
