xvalue,counts
1,79532
2,50652
3,39094
4,31752
5,26776
6,23215
7,20079
8,18120
9,16000
10,161163
11,61167
12,39553
13,30048
14,23652
15,19128
16,15539
17,12660
18,10262
19,8580
20,7122
21,5901
22,4951
23,4096
24,3455
25,2908
26,2441
27,2181
28,1849
29,1521
30,1317
31,1145
32,1007
33,907
34,720
35,674
36,602
37,478
38,460
39,406
40,349
41,326
42,249
43,288
44,246
45,221
46,201
47,176
48,167
49,144
50,116
51,136
52,99
53,79
54,72
55,86
56,73
57,58
58,59
59,48
60,56
61,51
62,46
63,44
64,37
65,40
66,29
67,39
68,34
69,29
70,30
71,27
72,28
73,25
74,17
75,21
76,18
77,18
78,15
79,16
80,15
81,10
82,15
83,13
84,10
85,13
86,12
87,13
88,11
89,8
90,12
91,3
92,4
93,16
94,7
95,6
96,5
97,2
98,3
99,10
100,11
101,7
102,3
103,7
104,6
105,7
106,7
107,2
108,2
109,4
110,3
111,1
112,5
113,2
114,2
115,1
116,4
117,1
118,2
119,3
120,2
121,5
122,3
123,1
124,4
125,7
126,1
127,1
128,2
129,3
130,3
132,2
133,1
134,6
135,3
136,3
137,1
139,1
141,1
142,2
143,1
144,1
145,2
146,1
148,2
149,2
150,4
151,1
152,1
153,2
154,2
155,3
156,1
159,1
160,1
162,1
167,2
172,1
174,1
178,1
179,1
181,1
182,1
185,2
186,1
190,2
196,2
197,2
202,1
203,1
206,1
213,3
215,1
218,1
219,1
220,2
222,2
224,1
227,1
235,2
240,1
250,1
254,1
255,1
256,1
262,1
269,1
275,1
290,1
298,1
317,1
361,1
452,1
476,1
518,1
519,1
1077,1
