xvalue,counts
1,8844
2,11649
3,8984
4,11406
5,9841
6,11470
7,10843
8,11361
9,10268
10,10173
11,23231
12,26771
13,26852
14,25461
15,23671
16,21753
17,19193
18,17079
19,15221
20,13192
21,11008
22,9616
23,7971
24,6759
25,5782
26,4731
27,4169
28,3468
29,3046
30,2538
31,2295
32,1916
33,1725
34,1567
35,1302
36,1163
37,1054
38,947
39,852
40,744
41,684
42,627
43,553
44,515
45,466
46,418
47,437
48,388
49,309
50,299
51,255
52,260
53,268
54,240
55,214
56,195
57,186
58,192
59,169
60,159
61,147
62,141
63,144
64,127
65,118
66,100
67,112
68,99
69,104
70,97
71,96
72,93
73,79
74,78
75,87
76,82
77,78
78,75
79,64
80,61
81,62
82,51
83,49
84,57
85,50
86,53
87,38
88,41
89,42
90,42
91,33
92,33
93,39
94,39
95,29
96,27
97,30
98,32
99,33
100,22
101,24
102,25
103,29
104,22
105,26
106,24
107,18
108,16
109,22
110,15
111,16
112,23
113,16
114,23
115,17
116,19
117,13
118,11
119,11
120,15
121,15
122,17
123,11
124,19
125,12
126,10
127,20
128,12
129,10
130,8
131,11
132,8
133,11
134,9
135,7
136,7
137,10
138,7
139,7
140,11
141,16
142,6
143,11
144,13
145,12
146,13
147,10
148,5
149,8
150,8
151,9
152,9
153,11
154,3
155,9
156,6
157,8
158,5
159,5
160,4
161,4
162,6
163,7
164,5
165,4
166,4
167,5
168,12
169,9
170,2
171,6
172,4
173,5
174,7
175,5
176,6
177,6
178,2
179,3
180,4
181,5
182,3
183,3
184,2
185,4
186,2
187,3
188,2
189,1
190,3
191,3
192,6
193,7
194,4
195,2
196,5
197,1
198,5
199,3
200,3
201,3
202,7
203,2
204,5
205,2
206,2
209,1
211,2
212,2
213,3
214,2
215,3
216,6
218,2
220,2
222,3
224,2
225,5
227,3
228,2
229,2
230,6
231,2
232,2
233,3
235,4
236,2
237,3
238,4
239,1
240,2
241,1
242,2
243,1
244,2
245,2
246,1
247,3
248,2
249,3
250,1
251,4
254,1
255,1
256,2
259,1
260,2
262,1
264,1
265,1
266,1
267,1
268,2
271,1
273,1
274,1
275,3
276,2
277,1
281,1
282,1
288,1
289,2
291,3
292,2
294,1
295,1
296,1
297,1
299,3
300,2
302,1
304,1
307,3
308,1
309,2
310,2
318,2
320,3
321,3
327,1
328,1
330,1
341,1
342,1
344,1
345,1
346,2
354,1
356,2
359,1
360,1
361,1
362,1
368,2
370,1
375,1
378,1
382,1
386,1
389,1
393,1
396,1
404,1
415,1
417,2
418,1
421,1
422,1
428,1
431,1
432,1
434,1
441,1
443,1
453,1
455,1
456,1
462,1
468,1
472,1
479,1
480,1
487,1
490,1
534,1
535,1
536,1
561,1
569,1
578,1
580,1
581,1
588,1
702,1
778,1
880,1
890,1
942,1
1007,1
1168,1
1287,1
1418,1
2252,2
2757,1
