xvalue,counts
0,82
1,54610
2,48730
3,42024
4,34732
5,29473
6,25551
7,22410
8,19360
9,17001
10,14741
11,12470
12,10551
13,9054
14,7578
15,6510
16,5348
17,4661
18,3901
19,3525
20,3066
21,2593
22,2206
23,1950
24,1718
25,1498
26,1431
27,1241
28,1061
29,905
30,875
31,806
32,722
33,652
34,621
35,576
36,510
37,467
38,389
39,395
40,378
41,328
42,340
43,269
44,254
45,243
46,260
47,252
48,192
49,223
50,182
51,156
52,169
53,156
54,146
55,147
56,132
57,129
58,104
59,147
60,110
61,93
62,98
63,102
64,89
65,80
66,80
67,70
68,70
69,71
70,73
71,64
72,65
73,71
74,49
75,55
76,48
77,43
78,42
79,58
80,40
81,54
82,41
83,39
84,47
85,42
86,37
87,36
88,37
89,28
90,34
91,21
92,35
93,36
94,28
95,27
96,15
97,21
98,16
99,16
100,20
101,19
102,18
103,17
104,21
105,14
106,23
107,14
108,13
109,15
110,27
111,13
112,24
113,19
114,10
115,17
116,17
117,13
118,13
119,12
120,19
121,10
122,10
123,9
124,10
125,12
126,8
127,11
128,10
129,16
130,9
131,9
132,11
133,9
134,9
135,9
136,15
137,11
138,9
139,6
140,5
141,8
142,12
143,11
144,14
145,10
146,7
147,6
148,5
149,10
150,8
151,9
152,7
153,10
154,8
155,9
156,7
157,6
158,2
159,7
160,4
161,4
162,8
163,6
164,5
165,3
166,6
167,6
168,8
169,5
170,5
171,2
172,3
173,2
174,6
175,8
176,3
177,3
179,3
180,8
181,2
182,4
183,2
184,3
185,2
186,2
187,2
188,4
189,1
190,4
191,5
192,2
193,8
194,5
195,3
196,4
197,4
198,2
199,1
200,2
201,3
202,4
203,2
204,3
205,1
206,1
207,4
208,3
210,4
211,1
213,4
214,1
215,2
216,1
217,3
218,4
219,2
220,1
221,1
222,7
223,1
224,2
225,1
226,2
227,3
228,4
229,3
231,2
232,4
233,6
235,3
237,1
238,3
241,1
242,2
243,3
246,2
247,1
248,1
249,1
250,3
252,3
253,1
255,3
256,1
258,3
259,1
260,1
263,2
264,2
265,2
266,2
267,1
270,1
271,1
274,1
275,2
276,2
277,1
278,1
279,3
281,1
282,1
283,1
285,1
286,3
287,1
288,1
290,2
291,1
293,1
296,2
297,1
300,1
301,1
302,1
304,1
305,1
308,3
312,2
314,2
316,1
321,2
323,2
324,1
327,1
331,1
333,1
339,1
341,2
342,3
345,2
347,1
349,3
358,1
359,1
360,2
364,1
365,1
366,3
369,2
370,1
372,1
374,1
384,1
387,1
393,1
404,1
408,1
409,1
411,1
414,1
426,1
432,1
441,1
450,1
460,1
472,1
480,1
482,2
483,1
487,1
489,1
493,1
497,1
529,2
556,1
562,1
564,1
572,1
581,1
588,1
622,1
657,1
709,1
721,1
786,1
803,1
856,1
1174,1
1512,1
2281,1
2487,1
2751,1
