xvalue,counts
1,2140
2,1292
3,797
4,539
5,418
6,293
7,233
8,207
9,142
10,116
11,136
12,111
13,80
14,74
15,68
16,75
17,54
18,44
19,37
20,43
21,43
22,36
23,39
24,33
25,45
26,23
27,17
28,30
29,32
30,22
31,21
32,18
33,16
34,16
35,17
36,15
37,10
38,12
39,6
40,7
41,10
42,12
43,12
44,14
45,8
46,5
47,4
48,4
49,5
50,8
51,3
52,6
53,2
54,5
55,1
56,6
57,3
58,2
59,4
60,3
61,1
62,3
63,1
64,4
65,2
66,2
67,2
68,3
69,1
71,2
72,1
73,2
74,2
75,1
76,2
78,2
79,1
82,2
83,3
87,3
90,1
91,1
95,1
104,1
108,1
109,1
115,1
117,1
145,1
146,1
148,1
184,1
