xvalue,counts
1,2140
2,1284
3,803
4,522
5,408
6,285
7,228
8,211
9,137
10,120
11,129
12,109
13,81
14,71
15,68
16,75
17,57
18,42
19,38
20,40
21,43
22,35
23,40
24,33
25,44
26,24
27,17
28,30
29,31
30,23
31,21
32,19
33,15
34,16
35,17
36,16
37,12
38,8
39,6
40,8
41,10
42,11
43,12
44,14
45,10
46,7
47,4
48,3
49,4
50,7
51,2
52,6
53,2
54,6
55,1
56,5
57,3
58,4
59,3
60,3
61,1
62,2
63,1
64,4
65,2
66,2
67,2
68,3
69,1
71,2
72,1
73,2
74,2
75,1
76,2
78,2
79,1
82,2
83,3
87,3
90,1
91,1
95,1
104,1
108,1
109,1
115,1
117,1
145,1
146,1
147,1
184,1
