xvalue,counts
1,2697
2,1910
3,1312
4,991
5,688
6,582
7,401
8,347
9,309
10,251
11,194
12,177
13,153
14,135
15,121
16,101
17,79
18,69
19,78
20,75
21,55
22,64
23,61
24,47
25,42
26,36
27,35
28,37
29,33
30,27
31,35
32,22
33,20
34,23
35,16
36,27
37,12
38,18
39,18
40,20
41,12
42,17
43,10
44,10
45,11
46,8
47,8
48,7
49,11
50,8
51,9
52,6
53,9
54,4
55,10
56,6
57,5
58,9
59,6
60,6
61,5
62,6
63,8
64,6
65,6
66,7
67,3
68,1
69,5
70,5
71,2
72,7
73,4
74,3
75,3
76,1
77,2
78,1
79,1
82,2
83,2
84,2
85,3
86,1
87,2
88,1
89,1
90,2
91,2
92,2
93,4
94,3
95,1
96,2
97,2
98,4
99,1
100,2
102,2
104,3
105,2
106,3
107,1
108,3
109,1
110,1
111,2
112,2
113,1
115,1
116,2
117,1
120,1
121,3
122,1
123,2
124,3
125,1
126,3
127,1
130,1
131,2
132,2
133,1
135,2
137,1
138,1
139,1
140,2
142,1
147,1
148,1
150,4
151,1
155,1
156,1
168,1
171,1
172,1
174,2
175,1
177,1
178,2
179,1
180,1
183,1
186,1
189,1
190,3
211,1
215,1
223,1
236,1
238,1
245,1
249,1
277,2
284,1
292,1
332,1
373,1
397,1
