xvalue,counts
1,2863
2,1628
3,1128
4,850
5,523
6,462
7,333
8,296
9,236
10,201
11,173
12,135
13,130
14,119
15,102
16,76
17,72
18,59
19,47
20,65
21,44
22,49
23,53
24,39
25,36
26,37
27,33
28,21
29,35
30,22
31,27
32,21
33,16
34,19
35,21
36,20
37,18
38,9
39,16
40,19
41,11
42,11
43,5
44,11
45,7
46,7
47,11
48,11
49,6
50,9
51,4
52,10
53,7
54,3
55,6
56,6
57,7
58,5
59,4
60,5
61,5
62,7
63,5
64,5
65,6
66,2
67,3
68,1
69,4
70,8
71,4
72,3
73,5
74,6
75,3
76,1
78,2
79,1
82,4
84,2
85,3
86,2
87,3
88,1
89,1
90,3
91,1
92,2
93,2
94,2
95,5
96,3
97,2
98,1
99,3
100,1
101,1
102,2
103,1
104,3
105,1
106,1
107,2
110,4
111,1
112,1
113,1
114,1
118,1
120,1
121,2
122,2
123,2
124,3
126,2
131,3
132,2
133,1
134,2
135,1
136,1
137,1
140,1
142,2
143,1
145,1
147,1
148,1
150,2
153,1
156,1
166,1
168,1
169,1
172,1
173,1
174,1
176,1
177,1
178,1
179,2
183,1
186,1
190,2
206,1
207,1
223,1
236,1
238,1
245,1
249,1
276,1
277,1
282,1
290,1
332,1
368,1
380,1
