xvalue,counts
1,3185
2,1204
3,737
4,483
5,351
6,283
7,202
8,145
9,149
10,121
11,97
12,84
13,58
14,59
15,44
16,46
17,35
18,39
19,24
20,27
21,29
22,22
23,26
24,17
25,13
26,17
27,15
28,14
29,7
30,17
31,10
32,19
33,4
34,9
35,8
36,3
37,4
38,9
39,8
40,5
41,1
42,4
43,4
44,5
45,5
46,1
47,4
48,4
49,8
51,3
52,3
53,2
54,4
55,2
56,4
58,1
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,1
71,1
78,4
79,1
84,1
86,2
91,2
94,1
98,1
100,1
102,1
110,1
115,1
120,1
123,1
127,1
135,1
137,1
139,1
166,1
178,1
191,1
340,1
464,1
4936,1
