xvalue,counts
1,1045
2,832
3,650
4,421
5,388
6,257
7,221
8,198
9,155
10,107
11,92
12,87
13,67
14,68
15,55
16,45
17,34
18,41
19,25
20,26
21,23
22,19
23,27
24,18
25,20
26,17
27,13
28,17
29,16
30,8
31,10
32,10
33,16
34,7
35,6
36,4
37,9
38,8
39,13
40,4
41,7
42,4
43,11
44,4
45,2
46,4
47,8
48,12
49,3
50,4
51,5
52,4
53,6
54,1
55,5
56,1
57,4
58,4
59,1
60,3
61,3
62,1
63,2
64,2
65,3
67,3
69,1
70,4
71,3
72,2
73,1
74,3
76,1
78,2
79,1
80,1
81,1
82,1
84,3
87,1
88,1
89,1
90,1
91,1
93,1
95,2
96,2
100,1
102,3
103,2
104,2
105,3
106,3
107,1
109,2
111,2
114,1
126,1
127,1
133,1
136,1
147,1
151,2
152,2
162,1
193,1
196,1
230,1
295,1
