xvalue,counts
1,1198
2,903
3,654
4,425
5,312
6,221
7,168
8,161
9,117
10,92
11,87
12,67
13,52
14,43
15,42
16,48
17,26
18,33
19,23
20,21
21,18
22,18
23,19
24,18
25,15
26,12
27,14
28,14
29,13
30,8
31,10
32,12
33,11
34,6
35,7
36,10
37,6
38,9
39,8
40,3
41,6
42,5
43,10
44,5
45,1
46,3
47,7
48,10
49,3
50,4
51,4
52,5
53,4
54,4
55,4
56,1
57,4
58,2
59,2
60,3
61,4
63,1
64,3
65,3
67,3
68,1
69,1
70,4
71,2
72,3
74,2
76,1
77,1
78,2
79,2
82,1
83,1
84,2
87,1
88,2
89,1
90,2
93,1
94,1
95,2
99,1
100,4
101,2
102,4
104,1
105,1
106,1
107,1
109,2
111,2
114,1
124,1
126,1
129,1
136,1
140,1
144,1
145,1
148,1
151,1
152,1
183,1
196,1
214,1
295,1
