xvalue,counts
1,727
2,464
3,326
4,219
5,211
6,171
7,142
8,116
9,103
10,86
11,76
12,65
13,65
14,53
15,45
16,37
17,41
18,35
19,27
20,37
21,40
22,21
23,20
24,18
25,25
26,15
27,20
28,14
29,11
30,10
31,14
32,8
33,11
34,12
35,12
36,4
37,15
38,5
39,6
40,6
41,9
42,2
43,8
44,2
45,4
46,3
47,2
48,3
49,2
50,1
51,2
52,6
53,4
54,2
55,2
57,1
58,2
59,3
60,1
62,1
63,1
64,3
66,2
67,2
69,1
70,2
71,1
72,1
73,1
74,1
75,1
78,1
81,1
85,1
90,1
91,1
94,1
113,1
117,1
120,1
139,1
142,1
179,2
393,1
479,1
560,1
735,1
740,1
