xvalue,counts
1,6509
2,7914
3,1760
4,667
5,362
6,228
7,137
8,111
9,89
10,60
11,57
12,44
13,36
14,27
15,24
16,29
17,13
18,20
19,15
20,22
21,20
22,15
23,10
24,11
25,11
26,5
27,11
28,8
29,9
30,3
31,7
32,7
33,6
34,10
35,6
36,2
37,9
38,5
39,8
40,2
41,4
42,3
44,2
45,2
46,2
47,1
48,3
49,1
50,4
51,1
52,2
53,4
57,1
58,5
59,1
60,1
61,3
62,2
63,3
64,2
65,1
66,1
67,3
68,1
69,2
71,4
72,2
73,1
74,1
75,4
78,1
79,1
81,2
82,2
86,1
89,1
91,1
92,1
93,1
95,1
96,2
102,1
107,1
108,1
112,1
113,1
116,1
123,1
125,2
130,1
133,1
135,1
138,1
145,2
148,1
155,1
163,1
178,1
202,1
211,1
238,1
243,1
252,1
259,1
265,1
266,1
303,1
364,1
388,1
458,1
477,1
508,1
552,1
557,1
564,1
591,1
1054,1
1169,1
1684,1
1891,1
2303,1
