xvalue,counts
2,6993
4,8389
6,1786
8,764
10,412
12,256
14,189
16,138
18,98
20,75
22,82
24,61
26,36
28,49
30,39
32,33
34,20
36,24
38,20
40,20
42,21
44,18
46,14
48,16
50,12
52,8
54,10
56,16
58,14
60,10
62,8
64,10
66,3
68,9
70,5
72,7
74,4
76,3
78,8
80,9
82,4
84,7
86,3
88,3
90,1
92,6
94,1
96,2
98,2
100,1
102,5
104,3
106,1
108,3
112,1
114,2
118,2
120,5
124,2
126,1
128,2
130,1
132,2
134,2
136,2
138,1
140,1
142,1
144,1
146,1
148,4
150,3
154,1
156,2
162,2
164,2
166,1
170,2
172,1
176,1
178,1
186,3
188,1
190,1
192,2
194,1
202,2
206,1
208,1
210,1
218,1
222,1
234,1
258,2
260,1
262,1
264,1
272,2
290,1
294,1
318,1
320,1
328,1
332,1
340,1
346,1
382,1
390,1
406,1
456,1
462,1
476,1
490,1
524,1
530,1
532,1
582,2
584,1
586,1
590,1
594,1
634,1
642,1
806,1
852,1
856,1
918,2
920,1
938,1
1070,1
1072,1
1112,1
1152,1
1182,1
1312,1
2156,1
2232,1
2502,1
3470,1
3898,1
4742,1
