xvalue,counts
1,8622
2,9474
3,2169
4,859
5,496
6,299
7,183
8,156
9,125
10,111
11,84
12,62
13,57
14,40
15,53
16,38
17,31
18,27
19,34
20,24
21,18
22,17
23,17
24,21
25,18
26,12
27,6
28,8
29,11
30,8
31,11
32,8
33,11
34,7
35,6
36,6
37,13
38,12
39,3
40,4
41,11
42,5
43,10
44,3
45,2
46,2
47,3
48,4
49,2
50,4
51,4
52,2
53,1
55,5
56,1
57,2
58,2
59,2
60,2
61,4
62,1
64,1
65,3
66,4
67,1
68,3
69,1
70,2
71,2
72,3
73,1
74,2
75,2
76,5
78,1
79,1
80,2
81,3
82,1
83,1
85,2
86,3
92,2
94,3
95,1
96,1
97,1
98,4
101,2
107,2
118,1
121,1
123,2
124,1
130,1
131,1
132,1
137,1
138,1
140,1
146,1
147,1
157,1
160,1
164,1
168,1
177,2
183,1
184,1
187,1
191,1
196,1
198,1
209,1
220,1
237,1
248,1
271,1
275,1
280,1
284,1
295,1
298,1
299,1
344,1
362,1
368,1
381,1
422,1
423,1
447,1
448,1
475,1
476,1
487,1
494,1
505,1
548,1
559,1
640,1
711,1
798,1
1204,1
1230,1
1530,1
1704,1
2020,1
2383,1
