xvalue,counts
1,9029
2,10016
3,2255
4,945
5,511
6,282
7,241
8,177
9,137
10,111
11,91
12,81
13,60
14,49
15,47
16,35
17,31
18,30
19,27
20,30
21,25
22,25
23,24
24,21
25,15
26,13
27,9
28,11
29,14
30,5
31,9
32,6
33,12
34,9
35,6
36,9
37,8
38,9
39,9
40,13
41,6
42,4
43,7
44,11
45,5
46,3
47,3
48,2
49,4
50,2
51,2
52,4
53,2
54,1
55,4
56,6
57,3
58,2
59,4
60,2
63,6
64,2
66,2
67,3
68,5
69,2
70,2
71,3
74,2
75,2
77,1
79,2
80,1
81,1
82,2
86,1
87,1
88,3
90,3
91,1
92,5
93,2
94,1
95,2
96,2
97,2
98,2
99,1
102,2
103,1
104,1
109,1
111,1
114,1
117,1
121,1
126,1
128,1
129,1
130,1
132,2
133,1
134,1
139,1
140,1
146,2
150,1
157,1
159,1
160,2
166,2
181,1
182,1
184,1
186,1
193,1
196,1
197,1
207,1
210,1
213,1
215,1
216,1
240,1
247,1
284,1
295,1
303,1
307,1
320,1
328,1
358,1
387,1
396,1
398,1
399,1
448,1
452,1
457,1
468,1
469,1
495,1
501,1
526,1
541,1
552,1
600,1
704,1
856,1
890,1
1258,1
1336,1
1639,1
1702,1
2055,1
2566,1
