xvalue,counts
1,9947
2,10489
3,2523
4,1009
5,501
6,304
7,211
8,140
9,155
10,112
11,71
12,70
13,62
14,51
15,41
16,33
17,30
18,35
19,23
20,27
21,19
22,13
23,26
24,15
25,10
26,11
27,10
28,10
29,8
30,10
31,10
32,5
33,7
34,12
35,10
36,7
37,8
38,9
39,8
40,8
41,10
42,5
43,4
44,6
45,2
46,4
47,5
48,7
49,4
50,7
51,5
52,4
53,5
54,2
55,2
56,3
57,5
58,1
59,3
60,1
61,2
62,2
63,1
64,2
65,3
66,2
67,2
68,3
69,1
71,5
73,1
76,1
77,1
78,1
79,1
81,1
82,1
83,1
84,1
85,2
86,3
88,1
89,2
90,3
91,2
95,2
96,1
97,2
98,1
101,1
103,1
104,3
107,4
112,1
115,1
118,2
122,1
124,1
130,1
131,1
134,2
135,1
137,1
139,1
152,2
155,1
158,1
164,2
166,1
171,1
173,1
175,1
183,1
185,1
188,1
190,1
197,1
203,1
204,1
210,1
260,1
294,1
297,1
312,1
345,1
361,1
379,1
386,1
433,1
460,1
466,2
485,1
517,1
569,1
634,1
910,1
953,1
1259,1
1542,1
1643,1
1676,1
2055,1
2605,1
