xvalue,counts
1,1277
2,593
3,384
4,298
5,224
6,167
7,166
8,98
9,106
10,73
11,156
12,82
13,83
14,66
15,50
16,47
17,57
18,45
19,47
20,59
21,49
22,51
23,43
24,28
25,32
26,23
27,35
28,28
29,18
30,27
31,23
32,28
33,21
34,17
35,22
36,18
37,11
38,16
39,15
40,10
41,14
42,14
43,19
44,16
45,21
46,16
47,13
48,11
49,12
50,9
51,10
52,15
53,8
54,13
55,9
56,9
57,18
58,59
59,15
60,10
61,9
62,12
63,7
64,14
65,12
66,5
67,5
68,8
69,9
70,9
71,11
72,8
73,7
74,18
75,21
76,13
77,10
78,7
79,8
80,7
81,5
82,4
83,9
84,7
85,10
86,5
87,7
88,5
89,4
90,3
91,14
92,5
93,5
94,11
95,5
96,9
97,5
98,3
99,12
100,7
101,9
102,4
103,5
104,3
105,5
106,8
107,5
108,5
109,6
110,7
111,9
112,1
113,9
114,5
115,8
116,7
117,5
118,1
119,1
120,3
121,9
122,3
123,7
124,8
125,1
126,4
127,6
128,5
129,1
130,3
131,4
132,3
133,2
134,7
135,2
136,2
137,6
138,4
139,8
140,6
141,9
142,7
143,3
144,3
145,6
146,5
147,1
148,1
149,6
150,2
151,4
152,3
153,3
154,2
155,6
156,3
157,5
158,4
159,3
160,3
161,1
162,3
163,1
164,3
165,4
166,7
167,4
168,1
169,1
170,5
171,3
172,2
173,1
174,3
176,2
177,2
178,1
179,2
180,2
181,1
182,2
183,4
184,5
185,2
186,2
187,4
188,4
189,6
190,1
192,1
194,2
195,3
196,7
197,3
199,1
200,2
201,2
202,3
203,5
204,5
205,1
206,3
207,1
208,2
209,2
210,2
212,3
213,2
214,3
215,2
216,5
218,1
219,1
220,3
222,2
223,2
224,3
225,1
226,1
227,2
228,2
229,2
230,1
231,3
232,1
233,3
234,4
235,1
238,2
240,1
241,3
242,1
244,1
245,3
246,3
247,2
248,3
249,2
250,1
251,1
252,3
253,3
254,2
255,2
256,2
257,2
258,1
259,2
260,1
261,2
262,1
263,1
266,3
267,4
268,1
269,1
270,1
271,2
273,2
274,2
275,1
276,2
277,1
278,1
279,2
280,2
281,1
282,1
283,2
284,1
285,3
286,2
287,2
289,1
290,1
292,1
294,3
295,1
296,2
297,2
300,1
302,2
304,1
306,1
307,5
308,1
310,1
311,2
312,2
313,2
314,1
315,5
319,1
320,3
321,2
322,1
323,2
324,1
326,5
327,3
328,1
329,2
330,2
332,3
333,2
334,4
335,2
336,2
338,3
340,2
341,2
342,2
343,2
346,2
347,1
349,1
351,3
352,1
353,1
354,2
355,3
356,2
357,1
358,2
359,3
360,1
361,2
362,1
363,3
364,3
365,2
366,1
367,1
369,3
371,2
372,1
373,3
374,3
375,2
376,3
378,1
379,2
380,2
384,1
385,1
387,1
389,1
391,2
393,2
395,3
396,2
397,3
398,4
399,2
401,1
402,2
403,3
404,1
405,4
410,2
413,2
416,1
418,1
419,2
420,5
423,2
424,2
426,3
427,2
428,1
429,1
431,1
432,3
433,2
434,1
437,1
439,2
440,1
441,1
442,1
443,1
444,1
445,3
446,1
448,2
449,1
451,1
452,4
453,1
454,2
455,1
457,1
459,1
460,2
462,1
465,2
466,3
468,2
469,1
470,3
472,3
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
482,1
484,3
489,2
490,4
491,1
492,1
493,1
495,1
496,1
497,4
498,3
500,2
502,2
503,2
504,2
505,1
506,2
507,1
508,1
510,1
512,2
514,1
515,1
516,1
517,1
519,1
522,1
526,2
528,1
530,2
532,1
534,1
538,1
540,1
544,1
545,1
546,1
547,2
548,1
549,2
552,3
553,1
556,1
557,1
558,2
559,1
562,1
563,1
564,1
565,1
568,2
569,1
573,2
574,2
576,1
578,1
580,2
583,1
586,2
591,1
592,2
597,2
598,1
600,1
603,1
606,1
608,1
609,3
612,1
615,1
630,1
636,1
637,1
638,2
639,1
640,2
642,1
645,2
650,1
655,1
661,1
662,1
665,1
669,1
675,1
677,1
681,1
685,1
686,1
688,1
689,1
690,1
696,1
702,1
708,1
715,1
721,2
725,1
761,1
779,1
781,1
783,1
793,1
796,1
799,1
801,1
804,1
810,1
874,1
908,1
913,1
914,1
931,1
990,1
1001,1
