xvalue,counts
1,187
2,129
3,99
4,93
5,90
6,79
7,70
8,74
9,66
10,73
11,62
12,55
13,69
14,50
15,51
16,57
17,75
18,50
19,40
20,53
21,68
22,48
23,48
24,50
25,54
26,50
27,55
28,44
29,39
30,55
31,53
32,56
33,52
34,56
35,49
36,49
37,58
38,42
39,59
40,61
41,50
42,56
43,43
44,62
45,46
46,53
47,49
48,48
49,41
50,48
51,51
52,56
53,46
54,41
55,42
56,42
57,37
58,40
59,38
60,32
61,39
62,41
63,53
64,45
65,30
66,38
67,39
68,40
69,46
70,30
71,29
72,42
73,41
74,32
75,31
76,40
77,55
78,42
79,34
80,31
81,31
82,27
83,37
84,30
85,36
86,22
87,32
88,39
89,28
90,36
91,30
92,33
93,30
94,22
95,29
96,24
97,30
98,15
99,30
100,32
101,23
102,26
103,17
104,23
105,32
106,25
107,19
108,23
109,29
110,17
111,22
112,19
113,19
114,23
115,23
116,23
117,19
118,30
119,19
120,19
121,17
122,24
123,22
124,24
125,20
126,16
127,19
128,24
129,5
130,21
131,12
132,15
133,19
134,11
135,10
136,14
137,20
138,17
139,12
140,14
141,22
142,14
143,16
144,21
145,9
146,13
147,13
148,10
149,14
150,12
151,12
152,7
153,11
154,14
155,21
156,10
157,15
158,8
159,10
160,10
161,11
162,6
163,3
164,8
165,7
166,11
167,5
168,9
169,7
170,14
171,9
172,13
173,9
174,4
175,7
176,5
177,6
178,8
179,10
180,8
181,9
182,6
183,9
184,3
185,6
186,5
187,8
188,7
189,5
190,6
191,1
192,11
193,4
194,3
195,1
196,6
197,2
198,4
199,3
200,4
201,1
202,5
203,2
204,5
205,1
206,3
207,6
208,2
209,5
210,4
211,2
212,6
213,3
214,1
215,5
217,4
218,1
219,1
220,1
221,6
222,3
223,1
224,3
225,1
226,5
227,2
228,2
229,2
230,2
231,5
232,1
233,3
234,2
235,2
236,1
237,1
238,2
239,2
240,3
241,3
244,3
246,2
247,1
248,1
249,1
250,2
251,3
253,2
255,3
256,1
257,1
258,3
259,4
260,4
262,1
263,1
264,2
265,2
266,1
268,1
269,1
270,1
271,2
272,1
274,1
275,3
277,2
278,1
280,2
282,2
283,2
284,1
285,1
290,2
293,1
294,1
296,1
297,1
299,1
300,1
301,1
305,1
307,1
309,1
312,2
315,1
320,1
322,1
329,1
333,1
334,2
339,1
341,1
343,1
346,1
358,1
361,1
363,2
372,1
373,1
377,1
384,1
388,1
394,1
401,1
414,1
415,1
421,1
455,1
461,1
497,1
534,1
554,1
781,1
930,1
