xvalue,counts
1,255
2,171
3,134
4,140
5,123
6,121
7,124
8,131
9,113
10,124
11,136
12,107
13,125
14,126
15,129
16,129
17,129
18,130
19,148
20,123
21,142
22,162
23,126
24,141
25,147
26,119
27,146
28,128
29,127
30,139
31,131
32,136
33,138
34,150
35,139
36,143
37,139
38,127
39,128
40,129
41,124
42,118
43,117
44,118
45,95
46,108
47,107
48,114
49,124
50,97
51,112
52,110
53,115
54,112
55,119
56,106
57,102
58,100
59,89
60,101
61,98
62,116
63,103
64,115
65,126
66,100
67,92
68,85
69,86
70,94
71,91
72,101
73,84
74,102
75,110
76,81
77,66
78,87
79,80
80,103
81,86
82,97
83,69
84,77
85,77
86,98
87,80
88,82
89,86
90,80
91,88
92,74
93,86
94,68
95,94
96,76
97,72
98,72
99,62
100,76
101,79
102,77
103,86
104,82
105,75
106,66
107,73
108,80
109,67
110,74
111,74
112,61
113,66
114,54
115,65
116,64
117,56
118,66
119,61
120,53
121,65
122,54
123,63
124,67
125,52
126,53
127,60
128,53
129,55
130,50
131,48
132,60
133,42
134,41
135,54
136,56
137,52
138,44
139,58
140,50
141,43
142,49
143,54
144,45
145,52
146,47
147,54
148,46
149,49
150,39
151,51
152,56
153,46
154,34
155,44
156,40
157,40
158,51
159,46
160,51
161,50
162,37
163,42
164,36
165,44
166,28
167,45
168,39
169,33
170,37
171,32
172,36
173,32
174,47
175,35
176,25
177,33
178,31
179,38
180,28
181,34
182,30
183,35
184,35
185,41
186,31
187,32
188,38
189,28
190,24
191,25
192,25
193,30
194,25
195,30
196,22
197,25
198,25
199,23
200,28
201,26
202,27
203,19
204,21
205,21
206,30
207,24
208,22
209,21
210,24
211,21
212,20
213,14
214,22
215,31
216,23
217,26
218,22
219,22
220,13
221,20
222,28
223,31
224,11
225,24
226,17
227,24
228,16
229,13
230,17
231,25
232,17
233,19
234,22
235,15
236,23
237,15
238,17
239,16
240,26
241,16
242,12
243,17
244,17
245,14
246,21
247,22
248,13
249,19
250,20
251,26
252,17
253,13
254,13
255,14
256,19
257,12
258,15
259,13
260,15
261,12
262,13
263,13
264,12
265,16
266,11
267,18
268,10
269,14
270,10
271,15
272,15
273,13
274,11
275,10
276,17
277,15
278,13
279,16
280,2
281,10
282,10
283,14
284,8
285,12
286,8
287,18
288,11
289,9
290,13
291,17
292,15
293,15
294,14
295,11
296,8
297,8
298,11
299,13
300,7
301,17
302,7
303,5
304,13
305,9
306,9
307,4
308,9
309,10
310,12
311,11
312,10
313,13
314,8
315,9
316,10
317,5
318,8
319,8
320,7
321,6
322,15
323,9
324,6
325,9
326,8
327,7
328,6
329,5
330,7
331,14
332,9
333,6
334,9
335,5
336,4
337,11
338,9
339,7
340,6
341,12
342,8
343,3
344,8
345,10
346,8
347,11
348,4
349,5
350,8
351,5
352,9
353,6
355,5
356,5
357,3
358,3
359,5
360,5
361,3
362,2
363,6
364,5
365,1
366,5
367,3
368,7
369,6
370,6
371,5
372,3
373,5
374,4
375,4
376,4
377,5
378,3
379,4
380,8
381,5
382,4
383,5
384,1
385,7
386,6
387,2
388,3
389,3
390,4
391,3
392,3
393,3
394,3
395,3
396,5
397,2
398,4
399,2
400,2
401,7
402,4
404,3
405,3
406,3
407,3
408,2
409,1
410,2
411,2
412,3
413,6
414,3
415,5
416,2
417,3
419,2
420,2
421,4
422,2
423,3
424,1
425,1
426,2
428,1
429,3
430,2
431,2
432,3
433,2
434,6
435,4
436,1
437,1
438,1
439,2
441,2
442,2
443,1
444,2
445,1
446,3
447,2
448,1
449,1
450,2
451,1
455,4
456,4
457,1
458,3
459,1
461,3
462,1
466,3
467,3
468,2
469,1
473,1
474,1
475,1
476,1
477,4
478,1
479,2
480,3
481,3
482,2
483,1
484,3
488,1
490,1
491,1
492,2
493,2
496,2
497,1
498,1
500,1
502,2
505,1
510,3
512,3
513,3
518,1
519,1
521,1
523,3
524,1
526,2
527,1
528,2
534,2
535,1
536,1
537,2
540,2
541,1
547,1
551,1
552,1
557,1
563,1
564,2
565,1
566,1
567,3
568,1
569,1
570,2
571,3
572,1
573,1
576,1
577,1
578,1
580,1
581,1
588,1
589,1
590,1
592,2
594,1
596,1
598,1
599,1
602,2
603,1
613,1
615,1
616,1
620,1
622,1
628,1
636,1
637,1
638,1
645,1
649,1
650,1
654,1
659,1
663,1
676,1
681,1
682,1
683,1
693,1
705,1
712,1
724,1
739,1
743,1
752,1
755,1
763,1
764,1
779,1
786,1
808,1
811,1
815,1
885,1
908,1
961,1
1047,1
1079,1
1145,1
1272,1
2495,1
2857,1
3267,1
3439,1
5160,1
