xvalue,counts
1,245
2,145
3,109
4,106
5,101
6,83
7,78
8,93
9,101
10,84
11,78
12,72
13,83
14,75
15,86
16,74
17,83
18,83
19,75
20,78
21,81
22,82
23,74
24,108
25,61
26,76
27,81
28,86
29,77
30,76
31,82
32,65
33,68
34,83
35,79
36,70
37,79
38,78
39,83
40,84
41,104
42,84
43,85
44,85
45,68
46,88
47,88
48,74
49,100
50,80
51,81
52,80
53,83
54,73
55,75
56,82
57,96
58,86
59,94
60,83
61,68
62,73
63,97
64,87
65,58
66,47
67,70
68,63
69,87
70,65
71,61
72,83
73,83
74,86
75,65
76,84
77,52
78,78
79,67
80,77
81,65
82,74
83,70
84,61
85,71
86,67
87,67
88,62
89,73
90,57
91,63
92,61
93,59
94,59
95,59
96,54
97,60
98,58
99,50
100,43
101,54
102,54
103,50
104,51
105,50
106,57
107,49
108,46
109,58
110,49
111,48
112,40
113,46
114,37
115,42
116,64
117,47
118,43
119,36
120,48
121,34
122,44
123,43
124,35
125,55
126,38
127,38
128,45
129,32
130,42
131,34
132,31
133,42
134,36
135,26
136,29
137,43
138,26
139,32
140,38
141,31
142,34
143,23
144,28
145,30
146,25
147,27
148,27
149,34
150,22
151,29
152,24
153,26
154,21
155,24
156,22
157,15
158,23
159,26
160,21
161,17
162,20
163,22
164,19
165,21
166,25
167,16
168,24
169,19
170,16
171,25
172,15
173,16
174,13
175,18
176,19
177,22
178,20
179,16
180,8
181,10
182,11
183,16
184,9
185,11
186,8
187,21
188,15
189,22
190,14
191,13
192,13
193,14
194,9
195,13
196,10
197,10
198,10
199,6
200,8
201,8
202,6
203,22
204,8
205,13
206,10
207,16
208,5
209,11
210,11
211,10
212,11
213,8
214,6
215,8
216,12
217,6
218,9
219,6
220,5
221,12
222,10
223,4
224,7
225,6
226,5
227,10
228,6
229,7
230,5
231,9
232,11
233,7
234,6
235,6
236,6
237,6
238,4
239,5
240,10
241,6
242,4
243,3
244,8
245,5
246,7
247,3
248,8
249,11
250,7
251,6
252,5
253,4
254,4
255,4
256,11
257,3
259,5
260,4
261,4
262,4
263,2
264,1
265,3
266,6
267,4
268,2
269,2
270,4
271,5
272,3
273,3
274,5
275,5
276,4
277,5
278,3
279,1
280,2
281,9
282,3
283,1
284,4
285,2
286,1
287,3
288,6
289,3
290,2
291,2
292,6
293,1
294,5
295,4
296,1
297,6
298,3
299,3
300,6
301,3
302,3
303,3
304,4
305,1
306,3
307,2
308,3
309,3
310,4
311,2
312,3
313,2
314,6
315,1
316,2
317,4
318,1
319,4
320,4
321,5
322,1
323,4
325,2
326,4
327,1
328,1
329,7
331,1
332,1
333,4
334,2
335,1
336,3
337,1
338,1
339,2
340,1
342,3
346,1
347,4
348,1
351,2
352,2
355,1
356,1
358,1
360,1
361,1
362,1
363,1
364,3
366,1
367,2
369,1
372,1
374,1
377,1
378,1
379,1
381,1
382,3
385,1
388,1
392,1
393,1
395,1
396,1
397,3
398,2
399,2
400,2
401,1
402,1
403,1
407,2
408,1
409,1
411,3
413,1
414,1
415,1
419,2
422,1
424,1
432,1
434,1
435,2
436,1
437,1
438,1
439,1
441,1
445,1
447,1
452,1
453,1
459,1
460,1
464,1
466,1
470,1
473,1
476,1
477,1
478,2
480,2
482,1
486,1
494,2
496,1
504,1
523,1
530,1
557,1
561,1
596,2
623,1
624,1
662,1
665,1
735,1
770,1
1217,1
1377,1
