xvalue,counts
1,505
2,363
3,256
4,289
5,225
6,229
7,210
8,216
9,226
10,186
11,224
12,206
13,203
14,202
15,230
16,184
17,204
18,195
19,191
20,189
21,172
22,178
23,178
24,182
25,175
26,158
27,146
28,190
29,147
30,185
31,205
32,180
33,185
34,168
35,173
36,143
37,193
38,196
39,143
40,161
41,167
42,151
43,166
44,163
45,175
46,170
47,140
48,134
49,154
50,167
51,143
52,148
53,134
54,145
55,157
56,161
57,157
58,132
59,140
60,131
61,154
62,163
63,129
64,116
65,144
66,132
67,127
68,127
69,104
70,121
71,119
72,122
73,127
74,116
75,109
76,117
77,106
78,104
79,114
80,111
81,117
82,119
83,110
84,83
85,113
86,95
87,106
88,121
89,103
90,86
91,99
92,93
93,73
94,73
95,77
96,91
97,83
98,81
99,61
100,73
101,88
102,85
103,64
104,94
105,92
106,74
107,64
108,73
109,74
110,74
111,79
112,56
113,62
114,63
115,57
116,52
117,50
118,50
119,55
120,61
121,58
122,48
123,72
124,46
125,53
126,48
127,46
128,45
129,48
130,51
131,55
132,61
133,35
134,39
135,53
136,40
137,37
138,39
139,31
140,38
141,40
142,32
143,29
144,38
145,29
146,43
147,27
148,30
149,29
150,27
151,23
152,32
153,35
154,34
155,24
156,19
157,33
158,39
159,30
160,18
161,18
162,19
163,22
164,21
165,26
166,17
167,22
168,22
169,22
170,13
171,17
172,25
173,30
174,18
175,18
176,25
177,12
178,15
179,15
180,21
181,12
182,18
183,11
184,12
185,17
186,17
187,13
188,9
189,18
190,9
191,14
192,13
193,5
194,11
195,15
196,12
197,9
198,13
199,12
200,6
201,10
202,9
203,14
204,7
205,7
206,13
207,15
208,10
209,6
210,7
211,12
212,9
213,5
214,15
215,6
216,4
217,6
218,6
219,9
220,3
221,8
222,6
223,9
224,6
225,6
226,6
227,12
228,5
229,9
230,9
231,8
232,6
233,9
234,1
235,5
236,4
237,6
238,6
239,6
240,8
241,4
242,4
243,7
244,10
245,4
246,3
247,5
248,4
249,3
250,5
251,3
252,2
253,5
254,3
255,4
256,2
257,3
258,2
259,2
260,4
261,2
262,3
263,1
264,8
265,4
266,3
267,7
268,2
269,4
270,2
271,5
272,7
273,5
274,3
275,5
276,1
277,1
279,4
280,3
281,1
282,3
283,4
286,2
287,2
288,2
289,2
291,2
292,3
293,1
294,3
295,1
297,4
298,1
299,1
301,1
302,2
303,4
304,1
305,1
306,3
307,2
308,1
309,3
310,3
311,1
312,3
314,3
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
326,1
327,2
328,3
329,2
332,2
333,2
334,1
335,1
339,1
340,1
342,1
343,2
345,1
352,2
356,2
358,1
366,2
368,1
375,1
384,1
389,1
392,1
393,1
395,1
398,1
399,1
401,1
402,1
411,1
412,1
416,1
417,1
420,1
428,3
433,1
435,1
438,1
456,1
467,1
472,2
493,1
526,1
600,1
627,1
632,1
732,1
766,1
777,1
928,1
1110,1
1155,1
1819,1
