xvalue,counts
1,166
2,131
3,104
4,89
5,87
6,71
7,68
8,85
9,88
10,91
11,94
12,89
13,88
14,87
15,109
16,73
17,81
18,87
19,78
20,89
21,81
22,71
23,93
24,80
25,92
26,88
27,88
28,87
29,66
30,86
31,88
32,79
33,83
34,89
35,89
36,99
37,74
38,90
39,87
40,78
41,82
42,78
43,105
44,73
45,81
46,106
47,76
48,85
49,83
50,70
51,80
52,72
53,70
54,81
55,75
56,87
57,69
58,81
59,72
60,77
61,73
62,68
63,83
64,89
65,72
66,55
67,73
68,63
69,66
70,69
71,70
72,62
73,61
74,75
75,55
76,66
77,56
78,63
79,66
80,55
81,62
82,66
83,46
84,73
85,61
86,62
87,58
88,63
89,66
90,49
91,60
92,64
93,42
94,56
95,62
96,47
97,56
98,46
99,41
100,54
101,49
102,61
103,49
104,53
105,47
106,47
107,50
108,49
109,51
110,50
111,54
112,47
113,49
114,46
115,41
116,46
117,59
118,43
119,43
120,42
121,55
122,45
123,33
124,39
125,34
126,29
127,31
128,40
129,43
130,37
131,42
132,43
133,39
134,31
135,41
136,32
137,57
138,37
139,33
140,40
141,35
142,38
143,35
144,37
145,35
146,24
147,32
148,45
149,36
150,34
151,27
152,21
153,48
154,31
155,20
156,28
157,26
158,30
159,28
160,18
161,19
162,30
163,30
164,31
165,21
166,29
167,26
168,22
169,30
170,26
171,29
172,35
173,22
174,23
175,25
176,38
177,26
178,20
179,28
180,11
181,26
182,17
183,29
184,19
185,22
186,13
187,24
188,21
189,21
190,16
191,22
192,26
193,28
194,17
195,21
196,22
197,20
198,23
199,13
200,20
201,18
202,16
203,13
204,17
205,14
206,15
207,19
208,12
209,18
210,13
211,19
212,20
213,9
214,17
215,12
216,18
217,17
218,18
219,24
220,22
221,20
222,18
223,18
224,21
225,16
226,16
227,19
228,15
229,18
230,25
231,11
232,13
233,18
234,13
235,18
236,10
237,16
238,16
239,21
240,11
241,20
242,11
243,19
244,8
245,16
246,18
247,12
248,12
249,12
250,12
251,13
252,16
253,7
254,4
255,13
256,17
257,21
258,7
259,7
260,5
261,13
262,12
263,8
264,12
265,11
266,4
267,9
268,8
269,12
270,12
271,13
272,15
273,6
274,8
275,10
276,9
277,10
278,4
279,7
280,9
281,6
282,8
283,12
284,9
285,10
286,4
287,8
288,6
289,9
290,12
291,9
292,5
293,13
294,5
295,4
296,6
297,10
298,1
299,5
300,3
301,8
302,6
303,3
304,6
305,4
306,6
307,8
308,9
309,6
310,16
311,6
312,10
313,6
314,6
315,7
316,7
317,2
318,4
319,4
320,8
321,6
322,6
323,8
324,3
325,5
326,7
327,4
328,4
329,4
330,6
331,6
332,6
333,4
334,2
335,3
336,5
337,5
338,3
339,5
340,3
341,3
342,4
343,7
344,5
345,3
346,3
347,6
348,2
349,9
350,1
351,4
352,5
353,7
354,3
355,4
357,3
358,3
359,1
360,8
361,4
363,2
365,2
366,7
367,4
368,8
369,1
370,4
371,6
372,6
373,1
374,2
375,6
376,3
377,2
378,1
379,5
380,3
381,3
382,1
383,3
384,3
385,4
386,1
387,5
388,1
389,3
390,1
391,2
392,1
394,3
395,2
396,4
397,2
398,2
399,3
400,2
401,1
403,2
404,1
405,1
406,2
408,1
409,1
410,1
412,5
413,3
415,3
416,1
417,1
418,3
419,5
420,4
421,1
422,1
423,2
424,1
427,2
428,3
429,2
430,1
431,3
434,1
435,2
436,1
438,1
439,1
440,4
441,3
442,1
443,1
444,2
445,2
446,3
447,2
448,1
449,1
451,1
452,1
453,2
454,3
456,1
457,3
458,1
459,1
460,1
461,2
462,1
464,3
465,3
466,1
467,1
468,1
470,1
471,2
472,2
473,1
476,3
477,3
478,1
481,1
482,1
484,1
485,1
486,1
488,1
489,1
491,1
493,1
495,1
497,1
501,2
503,1
507,2
511,2
512,1
513,1
514,2
516,1
523,3
531,1
539,1
541,1
543,1
544,1
545,1
548,1
559,1
561,1
562,1
563,1
565,1
569,1
584,1
585,1
587,2
589,1
601,1
605,1
606,1
610,1
619,1
624,1
635,1
646,1
650,1
657,1
690,1
695,1
708,1
722,1
745,1
794,1
818,2
831,1
891,1
981,1
1010,1
1052,1
1941,1
2109,1
