xvalue,counts
1,687
2,426
3,358
4,340
5,244
6,259
7,253
8,209
9,230
10,222
11,213
12,203
13,218
14,220
15,242
16,218
17,214
18,196
19,196
20,188
21,201
22,209
23,201
24,206
25,206
26,227
27,211
28,179
29,203
30,209
31,184
32,218
33,189
34,165
35,167
36,186
37,172
38,177
39,165
40,210
41,153
42,160
43,162
44,192
45,174
46,172
47,196
48,166
49,163
50,153
51,152
52,163
53,170
54,157
55,164
56,155
57,144
58,146
59,128
60,153
61,136
62,153
63,142
64,141
65,133
66,141
67,135
68,152
69,141
70,165
71,129
72,110
73,142
74,115
75,114
76,124
77,102
78,108
79,98
80,104
81,109
82,106
83,101
84,106
85,106
86,97
87,93
88,119
89,114
90,96
91,88
92,90
93,95
94,75
95,84
96,87
97,96
98,81
99,93
100,108
101,85
102,103
103,104
104,98
105,81
106,90
107,85
108,78
109,80
110,82
111,71
112,84
113,72
114,61
115,79
116,62
117,62
118,71
119,71
120,71
121,73
122,64
123,80
124,52
125,64
126,64
127,62
128,58
129,51
130,61
131,57
132,45
133,49
134,50
135,55
136,58
137,54
138,57
139,58
140,50
141,42
142,33
143,49
144,40
145,38
146,51
147,41
148,46
149,39
150,31
151,33
152,37
153,41
154,41
155,38
156,33
157,45
158,41
159,36
160,35
161,35
162,33
163,36
164,31
165,41
166,32
167,37
168,29
169,20
170,43
171,27
172,33
173,35
174,41
175,33
176,32
177,36
178,34
179,28
180,21
181,27
182,24
183,35
184,21
185,27
186,17
187,26
188,26
189,31
190,23
191,24
192,24
193,25
194,21
195,19
196,22
197,13
198,17
199,15
200,14
201,16
202,14
203,16
204,25
205,18
206,15
207,21
208,14
209,18
210,17
211,17
212,19
213,18
214,19
215,20
216,11
217,14
218,17
219,16
220,19
221,9
222,14
223,16
224,10
225,15
226,8
227,11
228,13
229,12
230,14
231,16
232,10
233,14
234,15
235,8
236,10
237,11
238,9
239,11
240,11
241,11
242,8
243,17
244,12
245,11
246,2
247,6
248,7
249,8
250,11
251,10
252,6
253,8
254,12
255,5
256,7
257,3
258,6
259,5
260,8
261,11
262,2
263,11
264,6
265,11
266,4
267,7
268,6
269,5
270,7
271,7
272,3
273,2
274,10
275,5
276,11
277,6
278,1
279,4
280,4
281,3
282,1
283,7
284,8
285,5
286,10
287,2
288,6
289,7
290,2
291,1
292,4
293,5
294,5
295,3
296,4
297,4
298,3
299,2
300,5
301,3
302,2
303,7
304,3
305,2
306,5
307,3
308,8
309,4
310,1
311,6
312,7
313,1
314,2
315,5
316,2
317,6
318,4
319,2
320,1
321,1
322,1
323,2
324,3
325,4
326,7
327,3
328,5
329,2
330,2
331,1
332,1
333,2
334,2
335,2
336,2
337,1
338,3
339,3
340,4
341,4
342,4
343,3
344,4
345,1
348,1
349,2
350,3
351,2
352,1
353,5
354,2
355,1
357,1
358,1
360,1
361,2
362,3
363,1
364,5
365,1
366,3
367,1
370,2
371,2
372,5
373,3
374,2
376,2
378,4
379,1
380,2
381,3
382,1
383,3
384,3
385,2
386,1
387,2
388,1
389,1
390,2
391,2
392,1
393,1
394,1
398,3
399,2
400,4
401,1
403,1
405,1
406,1
407,5
410,3
415,1
416,1
417,3
418,1
419,1
420,1
422,3
423,1
425,1
426,1
429,1
431,1
432,2
434,2
436,1
438,2
439,3
440,2
441,1
442,1
443,2
445,1
446,1
447,1
451,1
456,1
457,1
460,1
461,1
462,3
465,1
468,1
469,2
471,1
472,1
473,2
474,1
476,1
479,1
481,1
484,2
485,1
488,1
490,1
491,1
493,1
497,2
498,2
500,2
504,1
510,1
511,1
512,1
513,1
524,1
527,2
529,1
536,1
537,1
544,1
547,1
548,1
557,1
558,1
572,1
595,2
607,1
609,1
617,1
619,1
624,1
631,1
639,1
659,1
705,1
707,1
734,1
764,1
779,2
792,1
804,1
808,1
832,1
838,1
883,1
897,1
1075,1
1199,1
1203,1
1253,1
2821,1
3428,1
3434,1
