xvalue,counts
1,198
2,136
3,109
4,95
5,101
6,96
7,97
8,107
9,99
10,83
11,86
12,91
13,92
14,79
15,90
16,93
17,112
18,85
19,89
20,92
21,80
22,77
23,86
24,91
25,95
26,97
27,81
28,94
29,88
30,83
31,72
32,84
33,75
34,81
35,77
36,78
37,83
38,72
39,87
40,80
41,69
42,67
43,80
44,83
45,95
46,76
47,81
48,87
49,83
50,69
51,75
52,71
53,87
54,72
55,68
56,75
57,75
58,69
59,65
60,63
61,60
62,70
63,60
64,72
65,55
66,87
67,76
68,69
69,40
70,58
71,56
72,68
73,43
74,52
75,65
76,65
77,39
78,69
79,69
80,55
81,59
82,54
83,55
84,55
85,61
86,44
87,41
88,56
89,45
90,44
91,42
92,48
93,51
94,52
95,38
96,25
97,37
98,41
99,57
100,46
101,43
102,40
103,44
104,44
105,35
106,37
107,34
108,56
109,41
110,37
111,37
112,40
113,39
114,36
115,36
116,34
117,41
118,37
119,27
120,32
121,36
122,23
123,29
124,31
125,30
126,25
127,24
128,30
129,30
130,32
131,37
132,27
133,33
134,17
135,30
136,25
137,30
138,17
139,31
140,22
141,16
142,27
143,16
144,26
145,16
146,15
147,20
148,26
149,26
150,15
151,19
152,19
153,14
154,18
155,18
156,17
157,19
158,19
159,11
160,12
161,20
162,9
163,8
164,22
165,20
166,12
167,19
168,9
169,24
170,14
171,16
172,11
173,25
174,12
175,16
176,19
177,18
178,13
179,13
180,9
181,15
182,20
183,11
184,6
185,7
186,11
187,6
188,10
189,16
190,6
191,9
192,9
193,14
194,11
195,8
196,9
197,9
198,5
199,8
200,3
201,7
202,8
203,7
204,12
205,11
206,6
207,10
208,3
209,10
210,12
211,7
212,9
213,7
214,4
215,8
216,8
217,3
218,9
219,4
220,4
221,8
222,7
223,4
224,4
225,6
226,3
227,7
228,1
229,7
230,6
231,2
232,3
233,9
234,6
235,6
236,7
238,5
239,9
240,1
241,6
242,3
243,4
244,3
245,3
246,4
247,4
248,2
249,1
250,2
251,5
252,3
253,3
254,5
256,3
257,1
259,2
260,4
261,3
263,4
265,2
266,2
267,1
269,1
270,3
271,1
272,2
273,1
275,2
276,1
277,1
279,2
282,1
283,3
284,1
285,1
287,1
288,3
289,2
292,3
293,2
294,1
295,3
296,1
297,1
298,1
300,1
302,3
303,1
304,1
306,2
307,3
308,3
309,1
310,3
312,1
313,1
315,1
317,1
319,1
320,1
321,1
322,1
325,1
326,1
327,1
328,1
330,1
338,1
339,1
340,1
342,1
344,1
345,1
349,1
350,1
352,2
355,1
358,3
371,1
374,1
375,1
378,1
382,1
384,1
389,1
395,1
401,1
404,2
405,1
408,1
412,2
417,1
419,2
494,1
520,1
553,1
