xvalue,counts
1,213
2,131
3,107
4,71
5,103
6,66
7,70
8,73
9,64
10,62
11,61
12,57
13,61
14,55
15,63
16,58
17,72
18,55
19,63
20,58
21,53
22,69
23,60
24,54
25,60
26,62
27,56
28,60
29,54
30,58
31,46
32,60
33,58
34,48
35,62
36,62
37,59
38,47
39,53
40,64
41,47
42,57
43,59
44,48
45,47
46,60
47,52
48,48
49,48
50,60
51,50
52,58
53,31
54,44
55,48
56,55
57,26
58,42
59,67
60,57
61,42
62,49
63,58
64,54
65,32
66,50
67,50
68,56
69,49
70,38
71,50
72,54
73,41
74,50
75,46
76,49
77,47
78,46
79,44
80,56
81,40
82,55
83,40
84,35
85,31
86,44
87,42
88,44
89,48
90,39
91,43
92,40
93,32
94,42
95,34
96,43
97,47
98,34
99,34
100,50
101,49
102,38
103,56
104,41
105,42
106,48
107,44
108,47
109,37
110,29
111,33
112,38
113,26
114,39
115,38
116,37
117,42
118,36
119,43
120,34
121,32
122,31
123,29
124,32
125,32
126,27
127,33
128,33
129,19
130,36
131,18
132,27
133,25
134,30
135,28
136,23
137,32
138,25
139,24
140,30
141,31
142,22
143,26
144,24
145,22
146,23
147,21
148,23
149,21
150,22
151,25
152,24
153,19
154,19
155,21
156,29
157,23
158,12
159,26
160,14
161,23
162,17
163,20
164,19
165,19
166,11
167,17
168,14
169,18
170,13
171,15
172,14
173,18
174,16
175,16
176,25
177,17
178,17
179,20
180,4
181,9
182,8
183,14
184,21
185,20
186,21
187,16
188,8
189,10
190,10
191,16
192,14
193,7
194,12
195,9
196,10
197,12
198,9
199,16
200,11
201,16
202,11
203,14
204,10
205,7
206,6
207,14
208,8
209,6
210,14
211,12
212,8
213,5
214,12
215,12
216,12
217,11
218,7
219,7
220,8
221,7
222,8
223,11
224,6
225,5
226,6
227,4
228,6
229,9
230,10
231,4
232,9
233,3
234,5
235,4
236,5
237,4
238,10
239,6
240,8
241,7
242,3
243,8
244,5
245,8
246,8
247,1
248,11
249,6
250,4
251,3
252,8
253,3
254,5
255,4
256,6
257,6
258,9
259,7
260,4
261,3
262,3
263,1
264,2
265,3
266,1
267,1
268,3
269,3
270,2
271,4
272,6
274,2
275,3
276,4
277,3
278,4
279,8
280,2
281,3
282,4
283,1
284,2
285,1
286,2
287,2
288,1
289,3
290,2
291,1
292,1
293,4
294,4
295,2
296,1
297,3
298,2
301,3
302,1
303,3
304,3
307,3
308,3
309,2
310,2
311,3
312,1
313,1
314,2
315,2
316,1
317,3
318,4
320,1
321,1
323,1
324,1
325,1
326,1
327,1
328,5
330,1
332,2
333,2
334,1
335,2
336,1
337,2
339,1
340,3
341,1
342,1
343,2
344,4
345,4
346,1
347,2
348,1
349,1
350,2
351,2
353,2
354,1
355,1
356,1
357,1
358,1
360,2
361,2
362,2
363,2
364,1
365,1
367,1
368,1
370,2
372,1
373,1
377,1
378,1
380,1
382,1
383,2
386,1
388,1
392,1
393,1
396,1
398,2
400,1
407,2
410,1
419,2
420,2
421,2
426,1
428,2
431,2
434,1
443,1
446,1
449,1
453,1
454,1
455,2
459,1
464,1
465,1
466,1
473,1
475,1
481,1
483,1
493,1
498,1
512,1
520,1
521,1
522,1
578,1
585,1
603,1
616,1
631,1
672,1
699,1
719,1
777,1
784,1
882,1
951,1
1075,1
