xvalue,counts
1,249
2,177
3,171
4,157
5,152
6,162
7,147
8,139
9,133
10,137
11,131
12,132
13,123
14,130
15,115
16,112
17,115
18,115
19,101
20,129
21,108
22,102
23,122
24,116
25,119
26,102
27,105
28,123
29,110
30,102
31,116
32,118
33,118
34,95
35,102
36,95
37,92
38,97
39,100
40,82
41,102
42,88
43,101
44,106
45,99
46,99
47,75
48,106
49,90
50,80
51,85
52,82
53,71
54,85
55,68
56,74
57,82
58,82
59,86
60,78
61,69
62,74
63,75
64,69
65,69
66,65
67,76
68,81
69,73
70,67
71,76
72,69
73,58
74,57
75,58
76,71
77,52
78,46
79,68
80,50
81,50
82,76
83,63
84,49
85,59
86,58
87,43
88,57
89,55
90,52
91,56
92,31
93,43
94,41
95,40
96,49
97,25
98,38
99,41
100,34
101,43
102,31
103,39
104,46
105,33
106,34
107,34
108,41
109,37
110,38
111,32
112,34
113,32
114,36
115,39
116,26
117,31
118,19
119,27
120,26
121,29
122,29
123,22
124,28
125,36
126,27
127,25
128,18
129,32
130,32
131,27
132,23
133,31
134,31
135,31
136,25
137,17
138,27
139,16
140,13
141,19
142,20
143,21
144,20
145,16
146,20
147,17
148,18
149,16
150,23
151,17
152,10
153,19
154,11
155,20
156,12
157,19
158,14
159,15
160,33
161,11
162,14
163,15
164,11
165,14
166,9
167,9
168,10
169,14
170,5
171,10
172,7
173,9
174,13
175,14
176,10
177,11
178,11
179,9
180,12
181,6
182,14
183,15
184,8
185,14
186,10
187,9
188,12
189,10
190,7
191,6
192,11
193,10
194,8
195,3
196,6
197,2
198,4
199,2
200,6
201,6
202,5
203,8
204,3
205,5
206,5
207,8
208,7
209,4
210,8
211,1
212,5
213,7
214,9
215,4
216,4
217,9
218,8
219,4
220,8
221,6
222,3
223,2
224,2
225,3
226,6
227,4
228,5
229,4
230,2
231,7
232,6
233,3
234,3
235,3
236,5
237,2
238,2
239,4
240,3
241,1
242,6
243,1
244,6
245,3
246,5
248,4
249,4
250,4
251,3
253,4
254,6
255,2
256,1
257,1
258,1
259,1
260,3
261,3
262,1
263,1
264,3
265,2
266,2
267,2
268,2
269,2
273,2
274,1
275,2
276,1
279,2
280,4
281,2
282,4
283,1
285,2
286,2
289,1
290,1
292,1
294,2
295,2
297,1
300,1
307,4
308,2
309,2
314,1
320,1
321,1
325,1
326,1
330,2
334,1
337,1
338,1
340,1
341,1
342,1
343,1
359,1
360,2
365,2
366,1
371,1
379,1
384,1
385,1
387,1
401,1
405,1
412,1
415,1
