xvalue,counts
1,205
2,134
3,99
4,86
5,91
6,73
7,63
8,71
9,69
10,70
11,50
12,61
13,63
14,60
15,66
16,60
17,66
18,60
19,66
20,66
21,64
22,60
23,67
24,65
25,66
26,58
27,57
28,69
29,50
30,65
31,56
32,51
33,48
34,42
35,41
36,47
37,51
38,47
39,54
40,54
41,48
42,47
43,48
44,38
45,42
46,45
47,49
48,47
49,38
50,58
51,37
52,52
53,51
54,37
55,42
56,36
57,41
58,32
59,44
60,40
61,52
62,39
63,36
64,38
65,46
66,26
67,41
68,34
69,38
70,31
71,36
72,36
73,31
74,37
75,32
76,49
77,30
78,23
79,29
80,30
81,35
82,38
83,34
84,34
85,26
86,31
87,32
88,27
89,36
90,33
91,20
92,31
93,25
94,27
95,25
96,14
97,28
98,28
99,22
100,28
101,22
102,21
103,22
104,29
105,23
106,31
107,29
108,25
109,25
110,16
111,22
112,21
113,23
114,17
115,22
116,16
117,18
118,19
119,15
120,35
121,15
122,21
123,15
124,21
125,16
126,22
127,15
128,16
129,20
130,20
131,20
132,17
133,22
134,8
135,14
136,22
137,11
138,16
139,12
140,15
141,14
142,18
143,16
144,9
145,13
146,15
147,15
148,13
149,11
150,9
151,15
152,13
153,9
154,8
155,9
156,14
157,8
158,8
159,15
160,9
161,14
162,11
163,2
164,9
165,12
166,11
167,11
168,10
169,12
170,10
171,8
172,6
173,7
174,8
175,13
176,8
177,9
178,9
179,5
180,12
181,8
182,10
183,13
184,4
185,6
186,5
187,3
188,9
189,7
190,5
191,10
192,6
193,3
194,6
195,5
196,7
197,8
198,5
199,3
200,9
201,5
202,1
203,4
204,11
205,6
206,7
207,5
208,9
209,6
210,4
211,7
212,5
213,2
214,4
215,3
216,4
217,5
218,4
219,8
220,5
221,4
222,4
223,5
224,7
225,7
226,2
227,7
228,5
229,3
230,2
231,2
232,3
233,1
234,5
236,8
237,4
238,3
239,1
240,6
241,4
242,4
243,3
244,8
245,4
246,3
247,4
248,5
249,7
250,3
251,1
252,2
253,2
254,1
255,2
256,6
257,2
258,2
259,3
260,3
261,3
262,4
263,1
264,1
265,4
266,2
267,3
268,4
269,4
271,3
272,4
273,2
275,3
276,1
277,4
278,1
279,1
280,2
281,4
282,1
283,1
284,4
285,1
286,1
287,1
288,2
290,1
291,2
292,2
293,2
295,1
296,4
297,4
298,1
299,2
301,3
304,1
305,2
306,1
307,3
308,1
310,3
312,1
313,1
314,2
319,1
320,2
322,2
323,1
324,1
325,2
326,2
327,1
329,1
331,2
333,4
334,1
339,1
341,1
343,2
344,2
347,1
350,1
351,1
352,2
353,1
355,2
356,1
358,1
364,1
365,1
370,1
371,1
373,1
376,1
380,2
383,1
387,1
391,1
394,1
398,1
402,1
403,2
406,1
407,1
412,1
413,2
422,1
428,1
430,1
436,2
437,1
444,1
449,1
453,1
457,1
464,1
469,1
470,1
474,1
478,1
479,1
503,1
520,1
550,1
572,2
623,1
642,1
711,1
742,1
777,1
785,1
840,1
