xvalue,counts
1,565
2,316
3,276
4,192
5,196
6,164
7,127
8,138
9,123
10,103
11,110
12,102
13,84
14,101
15,112
16,101
17,74
18,94
19,87
20,79
21,92
22,98
23,85
24,102
25,79
26,75
27,61
28,78
29,87
30,74
31,68
32,64
33,69
34,69
35,70
36,79
37,77
38,91
39,73
40,69
41,89
42,84
43,74
44,79
45,76
46,67
47,61
48,78
49,78
50,83
51,70
52,80
53,78
54,74
55,69
56,71
57,73
58,57
59,68
60,70
61,53
62,76
63,62
64,66
65,49
66,74
67,65
68,63
69,55
70,48
71,70
72,68
73,73
74,59
75,76
76,68
77,60
78,73
79,64
80,55
81,59
82,42
83,54
84,48
85,50
86,67
87,54
88,44
89,53
90,43
91,55
92,57
93,63
94,46
95,57
96,43
97,49
98,42
99,43
100,55
101,26
102,56
103,53
104,42
105,57
106,40
107,55
108,50
109,39
110,42
111,38
112,53
113,50
114,35
115,29
116,48
117,34
118,42
119,39
120,28
121,38
122,45
123,34
124,43
125,35
126,36
127,38
128,40
129,30
130,30
131,28
132,39
133,37
134,28
135,27
136,27
137,20
138,31
139,40
140,21
141,31
142,23
143,26
144,37
145,21
146,23
147,20
148,25
149,25
150,26
151,33
152,26
153,21
154,16
155,29
156,20
157,23
158,17
159,21
160,14
161,27
162,26
163,15
164,15
165,17
166,15
167,15
168,16
169,18
170,24
171,14
172,15
173,20
174,19
175,15
176,11
177,16
178,19
179,9
180,13
181,19
182,8
183,10
184,17
185,11
186,10
187,18
188,13
189,8
190,9
191,14
192,10
193,13
194,16
195,16
196,8
197,8
198,9
199,7
200,15
201,7
202,10
203,13
204,9
205,7
206,12
207,16
208,10
209,8
210,11
211,7
212,13
213,9
214,5
215,10
216,9
217,6
218,9
219,15
220,12
221,6
222,9
224,4
225,10
226,8
227,3
228,3
229,11
230,5
231,6
232,5
233,9
234,6
235,7
236,5
237,9
238,5
239,5
240,4
241,1
242,5
243,3
244,5
245,2
246,3
247,5
248,5
249,6
250,5
251,5
252,5
253,6
255,5
256,7
257,4
258,3
259,6
261,3
262,5
263,3
264,6
265,8
266,7
268,5
269,2
270,3
271,2
272,4
273,2
274,4
275,2
276,6
277,6
278,4
279,3
280,2
281,2
282,2
283,4
284,3
285,2
286,2
287,2
288,1
289,4
292,2
293,6
294,1
295,3
296,3
297,3
298,2
299,5
300,2
302,1
303,4
304,2
305,1
306,3
308,2
309,1
310,1
311,3
312,1
313,2
314,1
315,1
316,3
317,1
318,1
319,2
321,2
322,2
323,2
324,2
325,1
326,2
327,4
328,1
329,2
330,1
331,1
332,2
334,1
336,2
337,1
338,1
339,1
341,1
342,2
343,2
344,3
345,2
346,2
347,2
349,2
352,1
354,4
355,1
356,2
358,2
359,2
364,1
366,1
368,2
369,2
370,1
372,3
379,2
382,1
383,3
388,2
389,1
390,1
391,1
395,1
397,1
398,1
400,1
401,1
404,1
409,1
411,2
412,1
413,2
415,1
416,1
419,1
421,4
422,1
423,1
424,1
426,1
427,1
433,1
436,2
442,1
445,1
446,1
449,1
450,1
453,1
454,1
456,1
458,1
459,1
461,1
468,1
470,2
473,1
479,2
482,1
486,1
489,1
492,1
499,1
506,1
510,3
513,1
533,1
556,1
560,1
566,1
616,1
636,1
641,1
710,1
733,1
749,1
792,1
793,1
854,1
864,1
905,1
909,1
976,1
1019,1
1462,1
1533,1
1637,1
3375,1
