xvalue,counts
1,509
2,314
3,235
4,192
5,218
6,142
7,167
8,166
9,143
10,145
11,170
12,136
13,151
14,141
15,145
16,142
17,131
18,145
19,160
20,143
21,123
22,140
23,156
24,146
25,148
26,138
27,139
28,135
29,122
30,116
31,126
32,132
33,128
34,145
35,147
36,138
37,158
38,134
39,140
40,109
41,141
42,124
43,128
44,141
45,121
46,130
47,128
48,119
49,111
50,115
51,134
52,137
53,124
54,138
55,118
56,124
57,128
58,123
59,125
60,127
61,116
62,112
63,107
64,120
65,117
66,115
67,102
68,110
69,109
70,113
71,113
72,103
73,100
74,92
75,102
76,99
77,89
78,94
79,92
80,110
81,102
82,85
83,89
84,88
85,97
86,79
87,71
88,74
89,81
90,81
91,70
92,77
93,85
94,91
95,83
96,93
97,76
98,91
99,72
100,71
101,71
102,64
103,88
104,71
105,81
106,73
107,65
108,75
109,64
110,61
111,69
112,69
113,62
114,65
115,56
116,51
117,59
118,62
119,72
120,83
121,63
122,54
123,54
124,59
125,48
126,48
127,52
128,52
129,52
130,60
131,46
132,45
133,54
134,52
135,51
136,53
137,45
138,49
139,71
140,47
141,47
142,57
143,40
144,55
145,56
146,48
147,34
148,41
149,54
150,50
151,43
152,41
153,50
154,36
155,41
156,41
157,28
158,41
159,39
160,37
161,31
162,39
163,30
164,27
165,31
166,32
167,40
168,37
169,41
170,26
171,27
172,32
173,36
174,38
175,26
176,22
177,22
178,34
179,27
180,35
181,20
182,24
183,23
184,33
185,31
186,26
187,27
188,17
189,23
190,30
191,18
192,20
193,24
194,27
195,15
196,25
197,28
198,22
199,16
200,27
201,21
202,24
203,18
204,27
205,18
206,20
207,14
208,26
209,27
210,17
211,24
212,12
213,19
214,25
215,12
216,20
217,18
218,19
219,16
220,17
221,17
222,13
223,14
224,15
225,19
226,21
227,17
228,14
229,13
230,21
231,16
232,16
233,14
234,13
235,16
236,19
237,16
238,20
239,8
240,10
241,14
242,19
243,8
244,10
245,8
246,11
247,11
248,12
249,12
250,11
251,9
252,11
253,10
254,10
255,12
256,10
257,13
258,20
259,10
260,10
261,17
262,8
263,11
264,9
265,8
266,3
267,6
268,10
269,8
270,8
271,1
272,9
273,11
274,9
275,10
276,9
277,5
278,6
279,7
280,4
281,7
282,6
283,4
284,4
285,8
286,4
287,4
288,6
289,8
290,7
291,3
292,10
293,5
294,4
295,5
296,7
297,3
298,7
299,1
300,2
301,6
302,4
303,6
304,6
305,7
306,3
307,1
308,3
309,7
310,4
311,4
312,8
313,2
314,1
315,5
316,3
317,4
318,5
319,4
320,3
322,3
323,4
324,6
325,2
326,2
328,4
329,3
330,3
331,5
332,3
333,5
334,3
335,1
336,1
337,2
338,3
339,3
340,2
341,3
343,2
344,3
345,4
346,1
347,2
348,2
349,2
350,1
351,1
352,5
353,4
354,1
355,2
356,3
357,1
358,1
361,1
362,2
363,2
364,4
365,2
366,1
367,4
368,1
369,3
370,2
372,1
373,2
375,2
377,1
379,2
380,2
381,2
382,1
383,3
384,2
385,2
387,2
388,2
389,1
390,3
391,1
393,1
394,1
397,1
400,1
401,2
402,2
403,1
404,2
406,1
407,1
408,1
409,1
410,2
411,1
414,1
416,3
417,1
418,1
422,1
423,1
426,1
427,1
429,2
430,1
432,1
433,1
435,2
436,1
438,1
441,1
442,2
443,1
444,3
449,1
451,1
453,1
454,1
455,3
456,1
461,1
462,1
463,1
467,1
468,1
473,1
478,1
480,2
481,1
483,1
489,1
493,1
495,2
496,1
497,1
508,1
510,1
513,1
515,2
516,1
518,1
521,1
524,1
534,1
546,1
547,1
574,1
576,1
583,1
586,1
587,1
612,1
614,1
637,1
638,1
662,1
668,1
732,1
743,1
760,1
954,1
963,1
1220,1
1582,1
1903,1
1938,1
2830,1
3156,1
