xvalue,counts
1,316
2,183
3,147
4,118
5,99
6,96
7,73
8,87
9,74
10,65
11,72
12,67
13,65
14,67
15,72
16,62
17,52
18,54
19,56
20,56
21,66
22,45
23,59
24,55
25,50
26,38
27,58
28,61
29,53
30,40
31,55
32,56
33,49
34,59
35,47
36,47
37,49
38,42
39,52
40,48
41,43
42,37
43,55
44,50
45,50
46,53
47,45
48,50
49,38
50,42
51,50
52,43
53,37
54,35
55,43
56,39
57,33
58,45
59,44
60,43
61,42
62,49
63,45
64,50
65,47
66,54
67,40
68,38
69,39
70,40
71,42
72,45
73,44
74,32
75,34
76,37
77,36
78,35
79,34
80,47
81,36
82,36
83,40
84,32
85,36
86,43
87,36
88,30
89,30
90,28
91,37
92,43
93,49
94,30
95,26
96,33
97,29
98,34
99,39
100,35
101,34
102,27
103,37
104,35
105,42
106,28
107,45
108,20
109,33
110,29
111,25
112,34
113,30
114,31
115,28
116,36
117,30
118,24
119,34
120,26
121,27
122,28
123,33
124,20
125,23
126,29
127,11
128,25
129,31
130,20
131,21
132,15
133,21
134,23
135,17
136,21
137,27
138,22
139,23
140,22
141,20
142,24
143,19
144,13
145,16
146,18
147,16
148,13
149,19
150,13
151,21
152,19
153,20
154,20
155,18
156,18
157,17
158,14
159,11
160,13
161,13
162,10
163,11
164,21
165,12
166,14
167,13
168,15
169,18
170,13
171,13
172,14
173,12
174,12
175,9
176,13
177,9
178,11
179,6
180,10
181,13
182,8
183,3
184,13
185,10
186,13
187,9
188,8
189,8
190,11
191,9
192,6
193,9
194,4
195,4
196,8
197,7
198,16
199,4
200,11
201,8
202,8
203,7
204,8
205,5
206,5
207,9
208,6
209,5
210,4
211,7
212,8
213,4
214,9
215,10
216,2
217,6
218,10
219,2
220,9
221,4
222,7
223,5
224,9
225,5
226,5
227,7
228,6
229,8
230,8
231,3
232,5
233,12
234,5
235,5
236,8
237,3
239,3
240,2
241,3
242,4
243,5
244,3
245,4
247,9
248,2
249,6
250,5
251,3
252,5
253,3
254,2
255,4
256,4
257,5
258,5
259,6
260,2
261,5
262,1
263,3
264,2
265,4
266,3
268,1
269,3
270,1
271,7
272,5
273,5
274,4
277,3
278,1
279,1
281,4
282,3
283,1
284,2
285,1
286,3
287,2
288,5
289,1
290,1
291,3
292,3
293,1
294,2
295,4
296,3
297,2
298,1
301,1
302,1
303,1
304,4
307,4
308,2
309,1
310,3
311,1
312,1
313,2
315,1
316,2
318,2
319,2
320,2
321,1
322,1
324,2
326,1
327,1
331,2
333,2
334,1
336,3
337,2
339,1
342,1
343,2
345,1
346,1
347,1
348,3
350,1
351,2
355,1
358,2
361,3
363,1
365,1
366,1
370,1
374,2
379,2
384,1
387,1
388,1
392,1
396,1
397,1
403,1
406,2
408,1
411,1
414,1
416,1
417,1
427,1
433,1
434,1
443,1
450,1
455,1
456,2
459,1
465,1
467,1
468,1
471,1
495,1
500,1
502,1
514,1
516,1
533,1
539,1
581,1
596,1
680,1
759,1
948,1
