xvalue,counts
1,556
2,397
3,340
4,311
5,286
6,306
7,324
8,287
9,260
10,272
11,291
12,293
13,295
14,279
15,268
16,267
17,263
18,284
19,269
20,286
21,288
22,250
23,286
24,273
25,271
26,272
27,241
28,281
29,275
30,249
31,241
32,259
33,261
34,252
35,236
36,236
37,212
38,250
39,282
40,241
41,264
42,195
43,197
44,218
45,222
46,204
47,216
48,243
49,208
50,211
51,197
52,206
53,181
54,187
55,178
56,168
57,204
58,180
59,199
60,172
61,164
62,168
63,165
64,176
65,138
66,163
67,156
68,171
69,153
70,135
71,158
72,142
73,141
74,144
75,148
76,137
77,142
78,131
79,155
80,150
81,119
82,122
83,123
84,109
85,119
86,120
87,136
88,104
89,105
90,101
91,106
92,123
93,97
94,116
95,115
96,111
97,106
98,103
99,91
100,87
101,94
102,107
103,77
104,116
105,95
106,84
107,84
108,102
109,75
110,98
111,81
112,82
113,85
114,77
115,66
116,80
117,73
118,76
119,82
120,84
121,86
122,68
123,82
124,74
125,89
126,61
127,63
128,72
129,66
130,61
131,73
132,61
133,53
134,61
135,53
136,67
137,57
138,68
139,56
140,50
141,63
142,72
143,61
144,44
145,49
146,61
147,58
148,49
149,68
150,51
151,46
152,44
153,58
154,52
155,48
156,55
157,39
158,41
159,45
160,45
161,29
162,30
163,41
164,36
165,37
166,44
167,35
168,37
169,30
170,37
171,29
172,44
173,32
174,32
175,31
176,27
177,37
178,41
179,37
180,33
181,24
182,31
183,31
184,31
185,29
186,34
187,29
188,34
189,32
190,20
191,30
192,35
193,35
194,25
195,16
196,25
197,27
198,29
199,19
200,24
201,27
202,18
203,32
204,18
205,18
206,18
207,28
208,19
209,21
210,27
211,25
212,25
213,27
214,20
215,18
216,17
217,19
218,20
219,26
220,18
221,21
222,14
223,17
224,13
225,9
226,15
227,14
228,24
229,22
230,16
231,17
232,17
233,15
234,14
235,15
236,10
237,17
238,10
239,15
240,15
241,12
242,17
243,14
244,11
245,20
246,17
247,19
248,13
249,18
250,17
251,7
252,12
253,16
254,14
255,13
256,15
257,11
258,16
259,12
260,11
261,6
262,10
263,15
264,12
265,3
266,12
267,9
268,11
269,12
270,8
271,11
272,13
273,9
274,8
275,12
276,4
277,10
278,10
279,14
280,8
281,5
282,6
283,7
284,6
285,4
286,13
287,6
288,4
289,4
290,9
291,8
292,8
293,8
294,9
295,12
296,7
297,4
298,5
299,7
300,5
301,4
302,7
303,10
304,6
305,2
306,4
307,6
308,2
309,6
310,6
311,11
312,2
313,5
314,6
315,1
316,2
317,4
318,2
319,2
320,1
321,9
322,4
323,2
324,7
325,3
326,8
327,3
328,4
329,2
330,3
331,3
332,6
333,8
334,3
335,3
336,7
337,3
338,3
339,1
340,4
341,2
342,4
343,7
344,4
345,2
346,5
347,2
348,2
349,3
350,3
351,4
352,1
353,3
354,1
355,4
356,3
357,1
358,4
359,4
360,3
361,2
362,4
363,5
364,1
365,1
366,2
367,2
368,1
369,3
370,2
371,2
372,3
373,2
374,4
376,1
378,2
379,4
380,2
381,2
382,2
383,4
384,1
385,1
386,2
387,2
388,2
389,1
390,3
391,2
392,1
393,1
394,4
395,2
397,3
398,2
400,2
402,1
403,1
405,1
406,3
407,2
408,1
409,1
410,1
411,1
412,2
413,1
416,1
419,1
420,3
421,1
422,2
423,1
425,1
426,3
429,1
431,2
432,1
433,2
435,2
436,2
438,1
439,1
441,1
443,1
444,1
445,2
446,1
447,1
451,2
452,1
454,1
458,1
459,1
463,1
465,1
468,3
469,1
476,1
477,1
478,4
480,1
481,1
484,2
489,1
491,1
492,1
495,1
501,1
502,2
506,1
510,1
511,1
512,1
515,1
520,2
534,1
536,1
542,1
543,2
546,1
559,1
561,1
562,1
569,2
572,1
581,1
583,1
592,1
597,1
604,1
612,1
614,1
648,1
669,1
695,1
704,1
748,1
779,1
806,1
975,1
1009,1
1118,1
2555,1
