xvalue,counts
1,330
2,228
3,149
4,148
5,135
6,115
7,107
8,117
9,101
10,96
11,112
12,103
13,84
14,118
15,105
16,110
17,115
18,95
19,108
20,91
21,82
22,114
23,106
24,96
25,90
26,94
27,101
28,102
29,89
30,81
31,87
32,87
33,100
34,99
35,85
36,73
37,89
38,85
39,92
40,83
41,95
42,99
43,102
44,95
45,88
46,90
47,75
48,85
49,94
50,93
51,89
52,85
53,91
54,82
55,70
56,83
57,99
58,83
59,76
60,81
61,81
62,79
63,76
64,70
65,85
66,69
67,71
68,71
69,71
70,77
71,82
72,65
73,71
74,58
75,65
76,59
77,76
78,65
79,72
80,57
81,67
82,64
83,56
84,58
85,70
86,66
87,58
88,62
89,61
90,60
91,54
92,60
93,59
94,50
95,45
96,43
97,61
98,60
99,48
100,59
101,39
102,65
103,46
104,50
105,45
106,56
107,38
108,56
109,53
110,49
111,44
112,38
113,40
114,45
115,46
116,37
117,44
118,40
119,38
120,38
121,53
122,50
123,45
124,44
125,40
126,46
127,49
128,33
129,29
130,33
131,43
132,31
133,41
134,38
135,28
136,34
137,35
138,21
139,28
140,36
141,33
142,33
143,25
144,27
145,21
146,22
147,30
148,27
149,24
150,20
151,27
152,27
153,31
154,22
155,32
156,24
157,15
158,26
159,25
160,25
161,19
162,21
163,11
164,18
165,22
166,21
167,27
168,13
169,17
170,19
171,20
172,17
173,16
174,26
175,10
176,12
177,18
178,16
179,12
180,18
181,20
182,14
183,17
184,8
185,19
186,10
187,10
188,16
189,14
190,17
191,12
192,4
193,12
194,13
195,8
196,15
197,13
198,19
199,6
200,13
201,7
202,7
203,17
204,13
205,15
206,8
207,8
208,6
209,10
210,4
211,7
212,8
213,9
214,6
215,11
216,8
217,8
218,5
219,5
220,10
221,5
222,11
223,7
224,7
225,8
226,6
227,10
228,8
229,13
230,3
231,8
232,8
233,6
234,4
235,6
236,9
237,6
238,8
239,5
240,4
241,4
242,7
243,6
244,5
245,7
246,1
247,3
248,5
249,8
250,2
251,3
252,6
253,5
254,4
255,1
256,6
257,1
258,5
259,4
260,7
261,2
262,2
263,3
264,4
265,4
266,3
267,2
268,4
269,3
270,3
271,5
272,3
273,1
274,3
275,5
276,4
277,1
278,6
279,1
280,1
281,3
282,3
283,3
284,4
285,2
286,3
287,1
288,3
289,7
290,1
291,3
293,1
294,3
295,2
296,2
297,2
298,2
300,3
301,3
302,3
303,4
304,6
305,1
306,1
307,2
308,2
309,6
310,1
311,1
313,2
314,1
315,3
316,2
318,3
319,2
320,1
321,1
322,1
324,1
326,3
329,1
333,2
335,3
336,3
337,2
338,1
339,2
341,1
342,1
343,2
344,4
346,1
349,1
353,1
355,3
357,1
359,1
361,1
362,2
363,2
364,2
365,1
368,1
370,1
379,1
381,1
382,1
386,1
388,1
390,1
391,1
396,1
398,1
400,1
402,1
408,1
412,1
416,1
417,1
419,1
420,1
423,1
424,2
425,1
427,3
430,1
435,2
436,1
439,1
443,1
444,1
445,1
450,1
451,1
462,1
465,1
467,1
468,1
477,1
479,1
482,1
520,1
525,1
537,1
538,1
577,1
584,1
600,1
601,1
614,1
620,1
655,1
668,1
718,1
724,1
940,1
1088,1
1477,1
1492,1
2002,1
