xvalue,counts
1,263
2,138
3,124
4,92
5,75
6,85
7,71
8,72
9,60
10,63
11,62
12,59
13,61
14,58
15,72
16,66
17,64
18,65
19,57
20,59
21,55
22,51
23,55
24,53
25,63
26,66
27,56
28,54
29,46
30,58
31,60
32,69
33,57
34,76
35,37
36,63
37,61
38,48
39,69
40,53
41,50
42,49
43,63
44,63
45,50
46,62
47,55
48,56
49,49
50,60
51,49
52,69
53,57
54,47
55,57
56,66
57,58
58,57
59,59
60,50
61,43
62,63
63,53
64,50
65,59
66,51
67,47
68,55
69,65
70,60
71,60
72,53
73,57
74,60
75,55
76,58
77,45
78,55
79,45
80,52
81,50
82,50
83,51
84,56
85,44
86,40
87,59
88,49
89,54
90,46
91,36
92,47
93,41
94,49
95,37
96,47
97,47
98,50
99,45
100,56
101,47
102,56
103,38
104,53
105,46
106,54
107,48
108,38
109,42
110,28
111,38
112,34
113,39
114,45
115,39
116,41
117,38
118,32
119,46
120,35
121,39
122,37
123,30
124,39
125,28
126,37
127,33
128,29
129,37
130,44
131,33
132,31
133,35
134,25
135,36
136,32
137,41
138,29
139,27
140,34
141,28
142,37
143,19
144,34
145,22
146,25
147,29
148,20
149,24
150,20
151,29
152,24
153,26
154,28
155,23
156,24
157,22
158,20
159,21
160,27
161,25
162,24
163,22
164,18
165,22
166,15
167,15
168,23
169,19
170,14
171,17
172,21
173,15
174,14
175,20
176,18
177,17
178,17
179,14
180,24
181,13
182,8
183,21
184,11
185,19
186,25
187,16
188,13
189,7
190,15
191,13
192,17
193,14
194,11
195,19
196,12
197,13
198,14
199,12
200,11
201,13
202,9
203,14
204,10
205,9
206,12
207,13
208,7
209,9
210,13
211,7
212,11
213,8
214,10
215,12
216,4
217,6
218,9
219,7
220,5
221,7
222,3
223,8
224,10
225,13
226,14
227,8
228,6
229,6
230,10
231,10
232,8
233,5
234,4
235,5
236,10
237,13
238,6
239,6
240,7
241,5
242,8
243,5
244,2
245,5
246,2
247,9
248,6
249,5
250,7
251,2
252,8
253,3
254,6
255,7
256,7
257,4
258,6
259,4
260,2
261,6
262,2
263,6
264,1
265,6
266,7
267,4
268,5
269,2
270,6
271,3
272,1
273,2
274,2
275,2
276,3
277,3
278,3
279,4
280,3
281,4
282,2
283,4
284,3
285,4
286,1
287,3
288,5
289,3
290,6
291,3
292,2
293,3
294,3
295,4
296,2
297,4
298,2
299,2
300,3
301,3
302,2
303,1
304,3
305,3
306,1
307,3
308,4
309,2
310,2
312,5
313,2
314,2
315,1
316,3
318,2
319,3
320,1
321,2
322,3
323,2
325,1
326,2
327,1
328,3
330,1
331,2
332,1
333,3
334,1
335,3
337,2
338,1
339,1
340,3
342,1
343,2
344,1
345,2
346,1
349,1
350,1
352,2
353,2
356,2
357,2
361,1
362,3
365,3
366,1
367,1
368,1
372,1
373,2
374,1
375,1
376,1
377,1
378,1
379,2
381,2
385,1
387,2
388,1
389,1
395,1
400,2
403,1
409,3
412,2
413,1
416,1
418,1
420,1
426,2
429,1
431,1
434,1
445,1
449,1
455,1
463,2
468,1
478,1
486,1
493,1
494,1
505,1
507,1
509,1
511,1
516,1
517,1
518,1
520,1
526,1
536,1
540,1
555,1
556,1
574,1
586,1
606,1
608,1
610,1
648,1
666,1
682,1
710,1
764,2
772,1
842,1
1106,1
1235,1
