xvalue,counts
1,658
2,432
3,285
4,244
5,213
6,200
7,173
8,145
9,166
10,168
11,146
12,100
13,136
14,129
15,124
16,119
17,117
18,104
19,100
20,102
21,96
22,94
23,97
24,75
25,84
26,96
27,77
28,70
29,82
30,87
31,70
32,71
33,72
34,77
35,78
36,80
37,73
38,73
39,80
40,51
41,66
42,75
43,49
44,64
45,76
46,65
47,59
48,71
49,51
50,60
51,68
52,55
53,55
54,51
55,61
56,56
57,49
58,66
59,59
60,59
61,61
62,49
63,57
64,51
65,48
66,53
67,52
68,50
69,50
70,57
71,49
72,67
73,50
74,53
75,51
76,65
77,48
78,56
79,53
80,48
81,64
82,52
83,55
84,57
85,44
86,50
87,46
88,51
89,41
90,41
91,50
92,46
93,37
94,61
95,61
96,50
97,48
98,39
99,52
100,34
101,42
102,40
103,57
104,36
105,57
106,46
107,44
108,51
109,62
110,43
111,34
112,50
113,44
114,42
115,47
116,38
117,32
118,59
119,43
120,62
121,52
122,47
123,41
124,42
125,50
126,25
127,40
128,42
129,42
130,39
131,35
132,48
133,44
134,46
135,36
136,45
137,43
138,38
139,45
140,33
141,41
142,40
143,42
144,34
145,44
146,32
147,37
148,48
149,53
150,42
151,30
152,40
153,23
154,26
155,35
156,36
157,40
158,30
159,21
160,34
161,44
162,43
163,42
164,38
165,37
166,33
167,41
168,27
169,33
170,37
171,31
172,21
173,33
174,35
175,25
176,48
177,27
178,34
179,29
180,25
181,24
182,25
183,29
184,39
185,36
186,19
187,31
188,25
189,31
190,16
191,32
192,31
193,25
194,23
195,30
196,34
197,14
198,25
199,30
200,27
201,27
202,21
203,27
204,26
205,26
206,25
207,22
208,27
209,35
210,38
211,29
212,23
213,23
214,23
215,25
216,27
217,29
218,20
219,22
220,17
221,16
222,23
223,25
224,20
225,22
226,23
227,16
228,24
229,18
230,14
231,17
232,18
233,15
234,13
235,23
236,18
237,23
238,15
239,20
240,23
241,16
242,15
243,17
244,16
245,14
246,22
247,24
248,15
249,22
250,19
251,8
252,16
253,17
254,14
255,17
256,16
257,15
258,12
259,19
260,18
261,11
262,14
263,14
264,11
265,16
266,21
267,13
268,13
269,12
270,14
271,12
272,15
273,11
274,10
275,17
276,19
277,11
278,13
279,16
280,6
281,11
282,13
283,12
284,13
285,7
286,7
287,10
288,15
289,9
290,7
291,7
292,13
293,20
294,9
295,10
296,10
297,13
298,17
299,17
300,10
301,6
302,14
303,7
304,6
305,18
306,5
307,7
308,8
309,13
310,7
311,11
312,11
313,8
314,4
315,6
316,6
317,12
318,11
319,7
320,8
321,3
322,7
323,6
324,6
325,4
326,12
327,5
328,7
329,8
330,5
331,5
332,7
333,13
334,6
335,8
336,6
337,8
338,8
339,1
340,7
341,10
342,8
343,7
344,8
345,4
346,7
347,8
348,7
349,8
350,13
351,5
352,6
353,9
354,5
355,3
356,7
357,5
358,4
359,5
360,6
361,2
362,4
363,1
364,2
365,4
366,6
367,5
368,9
369,5
370,8
371,5
372,5
373,8
374,8
375,2
376,5
377,5
378,4
379,7
380,1
381,4
382,7
383,8
384,6
385,7
386,6
387,1
388,4
389,4
390,1
391,6
392,8
393,3
394,6
395,4
396,4
398,3
399,6
400,4
401,3
402,5
403,5
404,1
405,1
406,1
407,1
408,3
409,2
410,4
411,3
412,2
413,5
414,1
415,3
416,5
417,3
418,3
419,3
420,4
421,1
422,2
423,3
424,3
425,2
426,3
427,5
428,1
429,5
430,9
431,1
432,5
433,3
434,1
435,2
436,2
437,2
438,2
439,4
440,2
441,4
442,1
444,1
445,1
446,9
447,1
448,1
449,2
450,2
451,4
452,3
453,3
454,1
456,2
457,3
458,1
460,1
461,4
463,1
464,2
465,4
466,2
467,2
468,1
469,2
470,2
471,2
472,2
474,1
475,2
477,1
478,2
479,4
480,4
483,1
484,3
485,2
486,2
487,2
488,2
489,2
490,2
495,2
497,1
498,1
499,1
501,4
508,1
510,3
511,1
512,1
513,5
515,1
517,2
518,1
520,2
521,2
522,1
524,2
526,1
527,1
528,2
529,1
531,1
532,3
534,3
536,2
537,1
539,1
540,1
543,1
544,1
545,1
546,1
548,1
554,2
555,1
556,1
558,1
560,1
564,2
565,1
566,2
568,2
570,1
573,1
575,1
577,1
580,2
582,1
584,2
586,1
590,1
595,1
597,2
598,1
600,1
604,1
607,1
609,3
610,1
613,1
623,1
628,1
629,1
632,1
634,1
635,1
636,2
637,1
641,1
649,2
650,1
651,2
654,2
655,1
661,1
663,1
664,1
671,1
672,1
689,1
696,1
701,1
706,1
718,1
726,1
728,1
739,1
742,2
759,1
796,1
809,1
820,1
839,1
868,1
882,1
887,1
1072,1
1183,1
