xvalue,counts
1,557
2,383
3,312
4,258
5,236
6,248
7,245
8,203
9,236
10,221
11,221
12,240
13,233
14,240
15,236
16,217
17,238
18,225
19,220
20,233
21,212
22,241
23,223
24,235
25,229
26,235
27,232
28,216
29,215
30,224
31,227
32,201
33,221
34,192
35,216
36,217
37,220
38,219
39,195
40,222
41,229
42,231
43,231
44,194
45,191
46,189
47,216
48,194
49,215
50,244
51,179
52,243
53,214
54,204
55,191
56,209
57,193
58,216
59,194
60,188
61,192
62,190
63,181
64,177
65,190
66,154
67,164
68,142
69,182
70,167
71,180
72,182
73,170
74,150
75,165
76,165
77,143
78,150
79,164
80,154
81,165
82,165
83,159
84,155
85,148
86,140
87,135
88,137
89,130
90,124
91,113
92,121
93,130
94,141
95,129
96,110
97,128
98,135
99,123
100,140
101,125
102,125
103,107
104,114
105,128
106,109
107,122
108,109
109,127
110,109
111,90
112,113
113,112
114,102
115,102
116,114
117,118
118,100
119,109
120,104
121,104
122,106
123,83
124,99
125,90
126,87
127,90
128,94
129,83
130,96
131,82
132,86
133,95
134,82
135,79
136,90
137,76
138,80
139,84
140,76
141,77
142,89
143,79
144,82
145,78
146,85
147,72
148,81
149,82
150,65
151,63
152,63
153,78
154,69
155,64
156,52
157,61
158,77
159,58
160,48
161,45
162,56
163,58
164,45
165,56
166,59
167,47
168,63
169,54
170,51
171,70
172,40
173,36
174,51
175,64
176,50
177,44
178,47
179,45
180,44
181,40
182,56
183,42
184,47
185,52
186,50
187,40
188,39
189,51
190,44
191,48
192,37
193,37
194,45
195,41
196,44
197,43
198,33
199,32
200,26
201,40
202,37
203,35
204,27
205,37
206,22
207,29
208,34
209,39
210,35
211,34
212,29
213,39
214,34
215,27
216,32
217,25
218,29
219,20
220,29
221,23
222,26
223,27
224,22
225,29
226,34
227,18
228,20
229,33
230,19
231,27
232,22
233,32
234,28
235,18
236,19
237,22
238,21
239,26
240,24
241,21
242,21
243,18
244,18
245,21
246,17
247,19
248,21
249,18
250,23
251,25
252,19
253,12
254,17
255,26
256,28
257,24
258,21
259,18
260,15
261,18
262,19
263,12
264,10
265,8
266,13
267,15
268,16
269,9
270,17
271,24
272,10
273,15
274,10
275,12
276,10
277,19
278,8
279,10
280,9
281,14
282,12
283,19
284,11
285,11
286,14
287,10
288,8
289,18
290,7
291,10
292,9
293,12
294,5
295,10
296,5
297,14
298,7
299,4
300,6
301,11
302,6
303,4
304,8
305,16
306,9
307,7
308,5
309,8
310,7
311,9
312,4
313,5
314,8
315,7
316,6
317,8
318,8
319,4
320,4
321,6
322,6
323,4
324,6
325,7
326,8
327,5
328,6
329,7
330,5
331,5
332,7
333,7
334,9
335,4
336,5
337,6
338,5
339,3
340,2
341,5
342,3
343,3
344,2
345,4
346,4
347,3
348,7
349,5
350,5
351,6
352,8
353,5
354,4
355,3
356,6
357,4
358,4
359,2
360,4
361,6
362,3
363,1
364,2
365,2
366,1
367,1
368,4
369,4
370,2
371,1
372,3
373,3
374,4
375,1
376,1
377,5
378,4
379,1
380,4
382,4
383,2
384,2
385,3
386,7
387,2
388,1
389,3
390,1
391,5
392,4
393,2
394,2
395,2
396,2
397,2
398,4
400,3
401,3
403,5
405,2
407,2
408,1
409,2
410,3
411,1
412,1
413,2
415,2
416,2
418,1
420,4
422,1
423,3
424,2
425,2
427,2
430,2
431,2
432,2
435,2
436,2
437,2
438,1
439,1
440,1
442,1
443,2
446,2
447,1
449,2
451,1
453,1
454,3
455,1
457,1
458,2
459,3
461,1
464,1
466,1
467,2
473,1
479,1
480,1
484,2
486,1
487,1
488,1
489,2
490,1
492,1
493,1
494,2
495,1
496,1
498,1
499,1
502,2
507,1
514,3
518,2
520,2
522,1
526,1
528,2
533,1
542,1
552,1
554,1
555,1
559,2
560,1
566,1
567,1
571,1
572,1
574,1
579,1
588,1
590,1
594,1
601,1
616,1
617,1
642,1
646,1
662,1
670,1
691,1
701,1
703,1
707,1
718,1
719,1
761,1
767,1
779,1
786,2
833,1
884,1
956,1
981,1
992,1
1024,1
1056,1
1129,1
1165,1
1358,1
