xvalue,counts
1,201
2,131
3,123
4,110
5,118
6,105
7,94
8,88
9,116
10,115
11,138
12,117
13,119
14,154
15,132
16,108
17,131
18,130
19,125
20,124
21,137
22,127
23,134
24,128
25,147
26,138
27,139
28,140
29,139
30,128
31,124
32,143
33,116
34,116
35,165
36,123
37,131
38,140
39,123
40,139
41,147
42,137
43,118
44,128
45,124
46,121
47,114
48,101
49,134
50,128
51,129
52,113
53,131
54,123
55,118
56,109
57,112
58,125
59,110
60,115
61,116
62,99
63,98
64,101
65,90
66,111
67,91
68,131
69,105
70,106
71,96
72,99
73,113
74,90
75,99
76,88
77,83
78,94
79,79
80,88
81,96
82,77
83,76
84,79
85,73
86,86
87,72
88,79
89,75
90,62
91,74
92,78
93,75
94,65
95,70
96,74
97,58
98,56
99,56
100,51
101,63
102,66
103,53
104,56
105,52
106,59
107,47
108,62
109,54
110,49
111,45
112,42
113,51
114,47
115,38
116,42
117,46
118,43
119,41
120,44
121,39
122,41
123,43
124,38
125,28
126,39
127,44
128,31
129,27
130,35
131,39
132,19
133,46
134,41
135,26
136,31
137,34
138,17
139,27
140,34
141,29
142,24
143,31
144,24
145,19
146,27
147,24
148,29
149,20
150,17
151,22
152,20
153,18
154,16
155,25
156,19
157,20
158,15
159,23
160,14
161,25
162,13
163,24
164,16
165,18
166,12
167,12
168,14
169,18
170,16
171,18
172,16
173,16
174,17
175,14
176,9
177,10
178,17
179,14
180,16
181,5
182,10
183,11
184,11
185,12
186,5
187,12
188,19
189,9
190,5
191,13
192,10
193,16
194,10
195,5
196,8
197,8
198,6
199,4
200,3
201,6
202,11
203,11
204,15
205,6
206,4
207,7
208,7
209,4
210,5
211,5
212,10
213,4
214,7
215,7
216,12
217,7
218,5
219,3
220,9
221,4
222,5
223,10
224,7
225,8
226,5
227,3
228,4
229,5
230,4
231,6
232,1
233,4
234,3
235,1
236,5
237,4
238,3
239,6
240,4
241,4
242,5
243,2
244,5
245,3
246,1
247,5
248,3
249,4
250,5
251,5
252,1
253,1
254,2
255,4
256,5
257,2
258,4
259,1
260,2
261,3
262,5
263,1
264,2
265,3
266,3
267,2
268,1
269,1
270,5
271,4
272,6
274,1
275,2
276,3
279,1
280,1
282,1
284,4
285,1
286,2
287,2
288,3
289,1
290,1
291,1
292,2
295,3
297,1
298,5
300,1
301,1
302,3
303,3
304,1
305,1
306,1
307,2
309,1
310,1
311,1
312,1
314,1
316,1
317,2
318,2
319,1
320,2
321,3
324,1
327,1
328,1
331,1
333,3
334,1
337,1
339,1
344,1
345,1
346,1
349,4
354,1
355,1
361,1
364,2
366,1
370,1
374,2
377,1
378,1
382,1
383,1
384,1
387,1
393,1
405,1
408,1
409,1
410,1
412,1
420,1
424,1
429,1
431,1
441,1
461,1
477,1
487,1
502,1
511,1
563,1
617,1
628,1
654,1
715,1
1789,1
3274,1
