xvalue,counts
1,302
2,165
3,109
4,93
5,92
6,95
7,90
8,76
9,57
10,72
11,55
12,55
13,67
14,51
15,50
16,60
17,46
18,37
19,60
20,32
21,47
22,52
23,44
24,49
25,54
26,59
27,49
28,51
29,52
30,52
31,42
32,39
33,34
34,46
35,52
36,49
37,38
38,41
39,39
40,52
41,52
42,51
43,43
44,50
45,39
46,28
47,49
48,35
49,44
50,41
51,24
52,48
53,37
54,46
55,22
56,39
57,28
58,29
59,33
60,33
61,26
62,38
63,39
64,30
65,31
66,39
67,35
68,33
69,36
70,37
71,35
72,28
73,29
74,32
75,37
76,44
77,34
78,23
79,26
80,31
81,25
82,28
83,27
84,24
85,36
86,25
87,39
88,18
89,39
90,22
91,27
92,30
93,27
94,23
95,20
96,23
97,24
98,23
99,28
100,37
101,22
102,20
103,20
104,22
105,14
106,27
107,19
108,24
109,24
110,22
111,28
112,19
113,25
114,17
115,24
116,18
117,19
118,12
119,20
120,19
121,20
122,21
123,13
124,20
125,19
126,22
127,18
128,17
129,23
130,18
131,15
132,12
133,18
134,10
135,9
136,10
137,18
138,24
139,18
140,14
141,10
142,9
143,9
144,19
145,15
146,13
147,19
148,15
149,15
150,7
151,20
152,11
153,11
154,18
155,12
156,13
157,8
158,10
159,7
160,16
161,7
162,10
163,15
164,6
165,8
166,10
167,9
168,13
169,10
170,11
171,14
172,10
173,11
174,12
175,7
176,9
177,2
178,10
179,7
180,11
181,5
182,8
183,6
184,11
185,4
186,12
187,10
188,13
189,6
190,9
191,7
192,10
193,7
194,11
195,12
196,7
197,5
198,5
199,8
200,6
201,6
202,7
203,2
204,12
205,8
206,9
207,9
208,2
209,6
210,3
211,4
212,2
213,9
214,5
215,6
216,6
217,4
218,2
219,4
220,8
221,9
222,4
223,6
224,4
225,7
226,6
227,7
228,5
229,2
230,5
231,6
232,7
233,7
234,5
235,2
236,8
237,4
238,3
239,5
240,3
241,2
242,3
243,3
244,1
245,3
247,4
248,2
249,2
250,3
251,5
252,2
253,5
254,3
256,4
257,2
258,5
259,4
260,2
261,1
262,6
263,3
264,3
265,3
266,5
267,5
268,2
269,5
271,3
272,4
273,1
274,3
275,3
276,2
277,1
279,4
280,8
281,4
282,5
285,3
286,3
287,1
288,5
289,2
290,1
291,2
292,4
295,2
296,2
297,2
298,1
299,1
300,1
302,2
303,2
304,4
305,2
306,1
308,1
309,2
310,1
315,1
317,2
318,2
319,1
320,2
323,3
325,1
326,2
328,4
331,1
333,2
334,1
336,1
337,1
338,2
339,1
340,1
342,1
343,3
344,1
346,1
350,1
351,1
352,2
353,1
356,1
360,1
361,2
362,2
364,1
365,1
367,1
368,2
369,1
371,3
373,1
378,1
379,1
383,1
384,1
385,1
391,1
392,1
397,2
402,1
403,1
405,1
408,1
409,1
417,2
423,1
424,2
425,1
434,2
437,1
444,1
446,1
461,1
466,1
488,1
490,1
502,1
508,2
509,1
522,1
544,1
545,1
554,1
572,1
594,1
600,1
604,1
617,1
623,1
665,1
694,1
708,1
