xvalue,counts
1,724
2,482
3,394
4,362
5,339
6,343
7,314
8,318
9,342
10,301
11,309
12,330
13,306
14,297
15,308
16,306
17,322
18,363
19,330
20,314
21,321
22,334
23,349
24,315
25,318
26,287
27,306
28,315
29,331
30,284
31,280
32,307
33,297
34,324
35,321
36,298
37,303
38,275
39,280
40,277
41,273
42,309
43,256
44,282
45,252
46,287
47,262
48,275
49,255
50,262
51,264
52,229
53,226
54,232
55,226
56,238
57,245
58,233
59,213
60,236
61,189
62,226
63,184
64,210
65,199
66,200
67,209
68,208
69,198
70,190
71,205
72,190
73,192
74,181
75,184
76,186
77,188
78,182
79,183
80,165
81,172
82,178
83,136
84,151
85,159
86,139
87,153
88,139
89,140
90,145
91,162
92,130
93,137
94,155
95,107
96,121
97,132
98,125
99,121
100,127
101,117
102,129
103,127
104,129
105,109
106,111
107,114
108,124
109,107
110,116
111,104
112,99
113,95
114,91
115,110
116,90
117,83
118,85
119,92
120,91
121,85
122,99
123,80
124,90
125,95
126,82
127,80
128,73
129,75
130,65
131,80
132,87
133,60
134,77
135,57
136,68
137,55
138,65
139,65
140,73
141,59
142,73
143,69
144,64
145,58
146,67
147,62
148,46
149,43
150,52
151,68
152,50
153,54
154,69
155,40
156,55
157,45
158,50
159,47
160,34
161,35
162,48
163,36
164,31
165,28
166,31
167,43
168,33
169,39
170,30
171,43
172,50
173,29
174,33
175,30
176,22
177,40
178,31
179,37
180,31
181,40
182,27
183,23
184,24
185,24
186,26
187,26
188,25
189,28
190,31
191,21
192,26
193,23
194,25
195,27
196,33
197,19
198,29
199,20
200,32
201,16
202,30
203,33
204,24
205,27
206,28
207,17
208,22
209,20
210,14
211,24
212,15
213,11
214,18
215,15
216,19
217,20
218,11
219,17
220,13
221,11
222,14
223,11
224,13
225,16
226,25
227,18
228,10
229,12
230,11
231,17
232,19
233,11
234,12
235,13
236,18
237,13
238,9
239,10
240,9
241,12
242,7
243,11
244,10
245,15
246,18
247,8
248,13
249,6
250,9
251,10
252,11
253,16
254,10
255,7
256,9
257,6
258,9
259,10
260,13
261,7
262,10
263,10
264,9
265,10
266,9
267,12
268,10
269,6
270,6
271,6
272,2
273,5
274,6
275,10
276,9
277,4
278,7
279,6
280,11
281,3
282,12
283,3
284,4
285,6
286,9
287,1
288,3
289,8
290,6
291,1
292,2
293,9
294,3
295,3
296,3
297,3
298,3
299,3
300,4
301,3
302,2
303,3
304,3
305,6
306,3
307,6
308,2
310,3
311,1
312,6
313,2
314,3
315,6
316,2
317,4
318,3
319,4
320,5
321,1
322,3
323,5
324,5
325,3
326,4
327,4
328,5
329,1
330,2
331,4
332,5
333,2
334,1
335,1
336,2
337,2
338,4
339,3
340,4
341,2
342,1
343,2
344,2
346,1
347,4
348,3
349,1
350,2
351,1
352,3
353,2
354,5
355,4
356,3
357,1
358,3
359,1
360,1
361,1
362,1
363,2
364,1
365,3
366,4
367,1
368,1
369,1
370,1
371,4
372,2
374,1
377,1
378,1
380,1
381,2
382,2
383,3
386,1
387,1
388,2
391,3
392,2
393,1
398,1
399,1
406,1
407,1
408,1
409,1
410,2
411,1
412,1
413,1
414,1
416,2
420,1
422,1
424,1
426,2
427,3
430,2
431,1
432,1
433,1
435,1
436,3
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,2
446,1
447,1
448,1
449,2
452,1
454,1
456,1
457,1
458,1
464,1
465,1
473,1
474,1
475,1
478,1
481,1
486,1
489,1
492,1
493,1
494,1
497,1
498,1
506,1
509,1
511,2
515,1
525,1
531,2
542,1
546,1
550,1
553,1
559,1
563,1
567,1
571,1
591,1
603,1
612,1
615,1
622,1
654,1
656,1
678,1
681,1
702,1
776,1
800,1
918,1
1730,1
5267,1
