xvalue,counts
1,235
2,164
3,139
4,120
5,117
6,107
7,125
8,128
9,113
10,121
11,128
12,114
13,121
14,127
15,111
16,124
17,90
18,102
19,111
20,122
21,134
22,135
23,141
24,132
25,97
26,113
27,119
28,123
29,117
30,118
31,113
32,103
33,112
34,131
35,124
36,114
37,120
38,120
39,117
40,120
41,122
42,124
43,121
44,107
45,131
46,105
47,101
48,105
49,89
50,112
51,105
52,94
53,114
54,126
55,105
56,115
57,111
58,107
59,99
60,90
61,69
62,89
63,110
64,101
65,88
66,90
67,98
68,97
69,94
70,83
71,74
72,96
73,107
74,95
75,89
76,80
77,103
78,87
79,92
80,86
81,71
82,89
83,80
84,73
85,80
86,67
87,65
88,80
89,69
90,80
91,93
92,66
93,73
94,67
95,65
96,77
97,60
98,82
99,73
100,73
101,57
102,65
103,56
104,70
105,63
106,69
107,71
108,59
109,73
110,60
111,58
112,55
113,53
114,62
115,56
116,68
117,57
118,61
119,66
120,62
121,38
122,47
123,65
124,38
125,48
126,74
127,40
128,49
129,47
130,48
131,55
132,49
133,54
134,43
135,36
136,48
137,38
138,44
139,44
140,39
141,53
142,49
143,42
144,33
145,37
146,27
147,49
148,48
149,31
150,50
151,39
152,38
153,32
154,44
155,37
156,35
157,41
158,28
159,28
160,33
161,29
162,33
163,26
164,32
165,29
166,39
167,37
168,26
169,36
170,34
171,29
172,27
173,28
174,30
175,27
176,21
177,33
178,26
179,21
180,30
181,18
182,23
183,23
184,23
185,22
186,21
187,25
188,19
189,21
190,15
191,20
192,19
193,25
194,17
195,21
196,21
197,19
198,23
199,20
200,15
201,19
202,21
203,18
204,12
205,25
206,14
207,10
208,21
209,15
210,15
211,14
212,10
213,10
214,18
215,12
216,18
217,5
218,13
219,15
220,10
221,13
222,9
223,13
224,18
225,8
226,7
227,14
228,12
229,15
230,14
231,9
232,12
233,4
234,13
235,14
236,14
237,9
238,13
239,17
240,11
241,8
242,9
243,8
244,9
245,7
246,6
247,13
248,6
249,12
250,6
251,6
252,12
253,4
254,11
255,5
256,6
257,5
258,2
259,8
260,6
261,8
262,7
263,8
264,6
265,7
266,7
267,8
268,11
269,4
270,3
271,7
272,2
273,6
274,5
275,4
276,6
277,8
278,4
279,5
280,3
281,8
282,3
283,2
284,4
285,7
286,5
287,5
288,6
289,2
290,6
291,3
292,4
293,2
294,1
295,3
296,2
297,4
298,6
299,2
300,5
301,7
302,2
303,2
304,1
305,2
306,5
307,5
308,3
310,3
311,1
312,2
313,3
314,1
315,2
316,2
317,7
319,1
320,1
321,1
322,3
323,3
325,1
326,5
328,2
330,2
331,2
332,1
333,4
335,2
336,2
339,1
340,1
341,2
342,1
344,2
345,1
347,4
348,1
350,1
352,2
353,2
354,1
355,1
357,1
359,3
361,3
362,3
363,2
365,2
366,2
367,1
370,1
376,1
377,1
380,1
382,2
383,1
385,1
387,1
388,2
390,1
392,1
393,1
398,1
399,1
401,1
410,2
411,1
413,1
414,1
415,1
416,1
418,1
421,1
422,1
423,1
424,2
425,1
426,2
428,2
431,1
434,1
447,2
450,1
451,1
453,1
457,2
461,1
462,1
468,2
475,1
490,1
491,1
493,1
505,1
515,1
518,1
529,1
558,1
566,1
584,1
590,1
653,1
