xvalue,counts
1,254
2,166
3,142
4,128
5,126
6,146
7,127
8,124
9,103
10,121
11,95
12,122
13,99
14,121
15,103
16,115
17,109
18,110
19,107
20,116
21,114
22,102
23,113
24,98
25,92
26,119
27,100
28,86
29,103
30,93
31,109
32,100
33,103
34,87
35,82
36,75
37,87
38,82
39,83
40,73
41,82
42,84
43,83
44,89
45,83
46,67
47,71
48,89
49,73
50,62
51,74
52,65
53,86
54,66
55,81
56,80
57,68
58,75
59,83
60,69
61,58
62,62
63,48
64,63
65,58
66,60
67,65
68,56
69,65
70,52
71,48
72,64
73,47
74,55
75,50
76,58
77,48
78,43
79,43
80,50
81,45
82,41
83,34
84,35
85,34
86,35
87,43
88,36
89,37
90,35
91,38
92,37
93,35
94,35
95,26
96,34
97,26
98,27
99,42
100,30
101,30
102,28
103,20
104,24
105,33
106,32
107,25
108,31
109,25
110,20
111,30
112,22
113,28
114,31
115,15
116,22
117,16
118,20
119,18
120,18
121,34
122,19
123,14
124,15
125,19
126,14
127,13
128,19
129,17
130,17
131,14
132,13
133,9
134,10
135,17
136,12
137,6
138,11
139,8
140,7
141,18
142,7
143,9
144,16
145,16
146,12
147,11
148,11
149,10
150,10
151,9
152,8
153,8
154,10
155,18
156,5
157,7
158,15
159,10
160,5
161,13
162,8
163,5
164,8
165,11
166,4
167,8
168,6
169,5
170,8
171,6
172,5
173,6
174,2
175,6
176,4
177,7
178,3
179,3
180,6
181,3
182,6
183,3
184,4
185,1
187,5
188,4
189,3
190,4
191,6
192,6
193,2
194,3
195,1
196,4
197,1
198,1
199,2
200,3
201,5
202,2
203,5
204,5
205,3
206,2
207,4
208,2
209,4
210,2
211,2
212,2
213,1
214,1
216,5
217,3
218,2
219,1
220,3
221,3
223,1
225,2
226,3
227,2
228,1
229,1
231,2
232,1
234,1
235,1
237,2
238,1
239,3
240,1
241,2
242,1
243,1
246,1
247,1
249,1
251,3
253,2
254,1
257,2
259,1
260,1
262,1
264,1
265,1
271,2
272,1
273,1
278,1
279,1
281,1
284,1
294,1
296,1
298,2
303,1
308,1
314,1
315,1
316,1
330,1
342,1
364,1
368,2
372,1
375,1
394,1
405,1
423,1
566,1
589,1
1011,1
