xvalue,counts
1,553
2,306
3,273
4,251
5,234
6,221
7,215
8,211
9,195
10,241
11,239
12,193
13,224
14,209
15,209
16,203
17,204
18,202
19,233
20,176
21,190
22,209
23,188
24,188
25,191
26,179
27,222
28,202
29,154
30,213
31,180
32,162
33,176
34,184
35,171
36,175
37,192
38,169
39,149
40,149
41,174
42,176
43,171
44,147
45,157
46,156
47,133
48,169
49,149
50,152
51,152
52,142
53,159
54,134
55,158
56,139
57,141
58,129
59,120
60,123
61,132
62,132
63,150
64,137
65,133
66,119
67,115
68,89
69,142
70,117
71,117
72,105
73,126
74,97
75,112
76,101
77,107
78,118
79,90
80,103
81,107
82,108
83,91
84,83
85,99
86,89
87,115
88,92
89,83
90,86
91,100
92,88
93,92
94,82
95,98
96,102
97,81
98,97
99,80
100,88
101,78
102,73
103,78
104,79
105,94
106,79
107,72
108,72
109,63
110,77
111,76
112,61
113,67
114,77
115,66
116,73
117,62
118,61
119,60
120,59
121,59
122,54
123,68
124,53
125,65
126,59
127,57
128,55
129,49
130,66
131,55
132,51
133,57
134,50
135,42
136,49
137,45
138,57
139,45
140,44
141,48
142,46
143,55
144,39
145,40
146,48
147,50
148,49
149,41
150,38
151,35
152,35
153,47
154,41
155,36
156,31
157,25
158,38
159,32
160,29
161,29
162,32
163,33
164,39
165,26
166,28
167,41
168,32
169,28
170,23
171,29
172,23
173,16
174,24
175,30
176,32
177,29
178,15
179,18
180,29
181,24
182,27
183,14
184,15
185,28
186,20
187,24
188,17
189,17
190,27
191,25
192,26
193,19
194,11
195,18
196,16
197,19
198,8
199,19
200,9
201,12
202,10
203,16
204,18
205,15
206,10
207,20
208,17
209,17
210,15
211,13
212,14
213,17
214,13
215,14
216,18
217,18
218,16
219,10
220,15
221,8
222,9
223,14
224,15
225,14
226,13
227,11
228,7
229,10
230,8
231,12
232,8
233,15
234,11
235,8
236,4
237,6
238,4
239,8
240,9
241,10
242,9
243,17
244,10
245,11
246,6
247,10
248,7
249,11
250,4
251,4
252,9
253,4
254,12
255,7
256,10
257,3
258,7
259,5
260,5
261,9
262,11
263,9
264,7
265,8
266,2
267,2
268,3
269,9
270,6
271,8
272,2
273,4
274,2
275,8
276,1
277,2
278,1
279,5
280,3
281,3
282,7
283,5
284,4
285,4
286,4
287,1
288,2
290,3
291,5
292,5
293,2
294,4
295,4
296,3
297,1
298,2
299,5
300,6
301,1
302,1
303,5
304,5
305,4
306,3
307,2
308,3
309,5
310,1
311,1
312,2
313,5
315,3
316,2
318,1
319,2
320,2
322,1
323,1
324,2
325,1
326,2
327,2
328,3
329,2
330,2
331,2
332,1
333,2
334,3
335,2
336,3
339,2
340,1
341,2
342,3
343,1
344,1
346,2
347,1
348,1
350,3
355,2
356,2
357,2
358,1
359,1
361,2
363,1
364,1
366,1
367,1
368,1
370,2
372,1
373,1
374,1
378,1
380,2
382,3
383,1
385,2
386,3
393,1
395,1
396,1
397,1
399,1
401,1
406,1
407,2
411,1
412,1
413,3
414,1
417,1
419,2
427,1
434,2
436,1
441,1
442,1
445,1
451,3
453,1
457,1
462,1
471,1
472,1
490,1
500,1
504,1
509,2
512,1
514,1
536,1
583,1
665,1
695,1
743,1
771,1
811,1
1139,1
1330,1
1424,1
2086,1
3784,1
