xvalue,counts
1,115
2,81
3,76
4,77
5,68
6,66
7,73
8,86
9,70
10,74
11,78
12,64
13,69
14,61
15,63
16,62
17,54
18,64
19,51
20,48
21,54
22,44
23,49
24,43
25,48
26,55
27,62
28,46
29,46
30,43
31,39
32,42
33,43
34,42
35,38
36,36
37,36
38,38
39,47
40,44
41,32
42,36
43,29
44,28
45,46
46,31
47,25
48,37
49,23
50,29
51,17
52,25
53,30
54,22
55,19
56,23
57,23
58,21
59,19
60,25
61,19
62,16
63,16
64,19
65,22
66,15
67,14
68,16
69,23
70,14
71,15
72,14
73,12
74,13
75,16
76,14
77,18
78,14
79,15
80,14
81,14
82,17
83,12
84,8
85,14
86,12
87,10
88,12
89,9
90,14
91,9
92,10
93,10
94,11
95,12
96,14
97,7
98,13
99,9
100,11
101,7
102,8
103,10
104,10
105,7
106,9
107,7
108,7
109,5
110,6
111,6
112,6
113,7
114,10
115,7
116,2
117,5
118,4
119,7
120,3
121,6
122,2
123,5
124,3
125,7
126,7
127,5
128,5
129,1
130,6
131,1
132,3
133,3
134,6
135,4
136,6
137,4
138,3
139,2
140,5
141,3
142,3
143,1
144,4
145,3
146,2
147,2
148,1
149,4
150,4
151,3
152,2
153,1
154,2
155,3
156,1
157,2
158,5
159,3
160,6
161,2
162,1
163,1
164,2
165,3
168,2
169,3
171,2
172,1
173,1
174,3
175,2
176,2
177,1
178,1
179,2
180,2
181,3
184,1
185,1
186,2
187,1
188,1
190,3
191,2
193,2
194,2
195,2
197,2
198,1
199,2
200,2
202,1
204,1
206,1
211,1
214,1
215,1
217,2
220,1
223,1
225,1
228,1
231,1
239,1
240,1
243,1
245,2
248,1
260,1
262,1
264,1
267,1
282,1
286,1
292,1
294,1
303,1
309,1
310,1
320,1
349,1
358,1
380,1
391,1
419,1
