xvalue,counts
1,841
2,529
3,462
4,392
5,393
6,353
7,345
8,329
9,316
10,308
11,295
12,309
13,276
14,324
15,315
16,264
17,270
18,295
19,280
20,291
21,259
22,291
23,258
24,277
25,251
26,260
27,251
28,246
29,241
30,226
31,220
32,235
33,222
34,232
35,210
36,225
37,223
38,209
39,217
40,200
41,186
42,223
43,216
44,189
45,211
46,214
47,203
48,198
49,198
50,168
51,168
52,181
53,184
54,185
55,182
56,217
57,188
58,190
59,200
60,181
61,151
62,194
63,156
64,172
65,171
66,176
67,175
68,165
69,167
70,152
71,153
72,171
73,154
74,166
75,149
76,170
77,134
78,142
79,157
80,146
81,145
82,149
83,153
84,141
85,147
86,136
87,122
88,128
89,120
90,144
91,126
92,137
93,129
94,132
95,115
96,119
97,106
98,117
99,107
100,128
101,131
102,101
103,118
104,116
105,109
106,93
107,90
108,98
109,92
110,110
111,107
112,116
113,99
114,93
115,113
116,98
117,82
118,109
119,109
120,85
121,71
122,79
123,106
124,103
125,93
126,92
127,89
128,79
129,87
130,87
131,65
132,70
133,68
134,85
135,67
136,69
137,69
138,77
139,68
140,62
141,57
142,77
143,66
144,59
145,63
146,51
147,61
148,48
149,68
150,55
151,56
152,53
153,51
154,56
155,72
156,74
157,59
158,38
159,46
160,56
161,47
162,43
163,43
164,45
165,51
166,48
167,46
168,36
169,47
170,33
171,50
172,42
173,44
174,39
175,39
176,43
177,41
178,47
179,35
180,35
181,43
182,37
183,39
184,28
185,37
186,23
187,32
188,44
189,33
190,32
191,34
192,30
193,38
194,32
195,29
196,26
197,30
198,23
199,29
200,34
201,40
202,16
203,25
204,26
205,29
206,35
207,25
208,32
209,22
210,30
211,20
212,21
213,23
214,24
215,21
216,29
217,28
218,19
219,27
220,21
221,23
222,24
223,30
224,27
225,19
226,16
227,21
228,22
229,24
230,22
231,16
232,24
233,23
234,19
235,17
236,15
237,20
238,20
239,17
240,14
241,20
242,12
243,19
244,23
245,15
246,21
247,18
248,11
249,13
250,15
251,15
252,16
253,14
254,12
255,12
256,22
257,12
258,9
259,18
260,10
261,8
262,21
263,12
264,16
265,6
266,15
267,12
268,12
269,12
270,8
271,13
272,9
273,9
274,9
275,13
276,9
277,6
278,10
279,6
280,9
281,7
282,9
283,5
284,11
285,9
286,10
287,5
288,7
289,6
290,5
291,8
292,5
293,6
294,6
295,5
296,4
297,10
298,10
299,8
300,6
301,9
302,5
303,9
304,5
305,10
306,6
307,10
308,9
309,3
310,5
311,7
312,4
313,3
314,6
315,6
316,4
317,8
318,4
319,11
320,7
321,10
322,3
323,8
324,12
325,8
326,4
327,5
328,4
329,6
330,5
331,5
332,4
333,5
334,6
335,6
336,2
337,1
338,4
339,8
340,3
341,5
342,4
343,2
344,2
345,3
346,5
347,7
348,4
349,3
350,6
352,6
353,5
354,6
355,2
356,2
357,7
358,2
359,3
360,3
361,5
362,3
363,2
364,3
366,5
367,1
368,4
369,1
370,5
371,2
372,1
373,4
374,5
375,1
376,4
377,1
378,1
379,4
380,1
381,2
382,1
383,1
384,2
385,1
386,2
388,2
389,3
390,2
391,2
392,3
393,1
394,3
395,1
396,2
397,2
398,4
399,2
400,2
401,3
402,5
404,1
405,2
406,1
408,1
409,2
410,2
411,2
412,2
413,1
414,3
415,2
416,1
417,2
418,2
419,1
420,1
421,1
422,1
423,1
424,1
427,1
428,3
429,3
430,2
431,1
435,3
436,1
437,4
438,2
439,1
440,2
443,1
444,2
446,1
447,1
448,1
450,2
452,4
455,1
456,2
457,2
458,2
461,2
464,2
465,1
467,2
469,1
474,2
475,1
476,1
477,1
478,1
479,1
481,1
486,1
487,1
489,1
493,1
494,1
495,1
496,1
497,3
498,1
501,1
505,1
506,1
509,1
512,1
513,1
514,1
518,1
520,1
522,1
523,2
525,1
526,1
530,3
532,2
533,1
537,1
538,1
540,1
542,1
543,1
545,1
546,1
552,1
553,1
554,1
556,1
560,1
561,1
562,1
567,1
573,1
581,1
584,1
585,1
591,1
598,1
607,1
608,1
614,1
615,1
616,1
622,1
633,1
642,1
646,1
652,1
688,1
704,1
706,1
708,1
730,1
774,1
820,1
825,2
842,1
866,1
917,1
1076,1
1119,1
1147,1
1192,1
1492,1
1621,1
2031,1
