xvalue,counts
1,767
2,475
3,317
4,336
5,284
6,246
7,268
8,258
9,228
10,220
11,222
12,203
13,227
14,192
15,193
16,194
17,191
18,195
19,223
20,197
21,202
22,203
23,208
24,212
25,199
26,203
27,212
28,209
29,210
30,205
31,208
32,184
33,191
34,197
35,182
36,169
37,167
38,174
39,172
40,159
41,189
42,164
43,169
44,176
45,168
46,154
47,179
48,162
49,165
50,159
51,171
52,167
53,151
54,174
55,166
56,141
57,141
58,124
59,162
60,144
61,142
62,142
63,135
64,125
65,148
66,123
67,142
68,129
69,144
70,132
71,107
72,135
73,125
74,114
75,104
76,129
77,107
78,122
79,127
80,106
81,128
82,105
83,108
84,105
85,84
86,108
87,119
88,88
89,99
90,90
91,95
92,76
93,82
94,101
95,93
96,94
97,94
98,87
99,85
100,76
101,88
102,88
103,86
104,86
105,79
106,94
107,80
108,80
109,70
110,88
111,78
112,66
113,69
114,69
115,63
116,66
117,75
118,60
119,55
120,70
121,55
122,50
123,55
124,57
125,58
126,59
127,48
128,44
129,54
130,39
131,48
132,55
133,45
134,56
135,42
136,28
137,47
138,40
139,48
140,35
141,35
142,38
143,39
144,32
145,40
146,31
147,38
148,29
149,34
150,24
151,38
152,24
153,31
154,36
155,34
156,26
157,26
158,37
159,36
160,34
161,22
162,30
163,32
164,27
165,29
166,25
167,30
168,22
169,22
170,18
171,24
172,16
173,29
174,20
175,19
176,19
177,22
178,19
179,20
180,15
181,21
182,26
183,17
184,18
185,19
186,19
187,22
188,13
189,13
190,15
191,10
192,16
193,9
194,10
195,10
196,11
197,9
198,16
199,9
200,15
201,11
202,12
203,13
204,17
205,12
206,14
207,13
208,17
209,12
210,7
211,10
212,8
213,10
214,11
215,14
216,5
217,10
218,15
219,10
220,7
221,10
222,7
223,8
224,13
225,5
226,12
227,12
228,12
229,8
230,8
231,12
232,8
233,9
234,6
235,4
236,5
237,8
238,6
239,3
240,8
241,4
242,5
243,4
244,8
245,5
246,4
247,9
248,2
249,6
250,4
251,2
252,10
253,3
254,10
255,7
256,9
257,5
258,8
259,3
260,6
261,6
262,5
263,4
264,5
265,3
266,1
267,5
268,2
269,2
270,4
271,3
272,4
273,3
275,2
276,4
277,3
278,1
279,2
280,2
281,6
282,5
283,2
284,2
285,3
286,1
287,4
288,3
289,1
290,1
291,3
292,2
293,3
294,2
295,4
296,4
298,3
299,5
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
312,3
313,3
314,2
315,1
317,2
318,2
319,2
320,1
323,2
324,2
325,4
326,2
327,4
328,3
330,1
331,2
333,1
334,1
335,2
336,3
337,1
339,1
340,3
341,2
342,2
343,1
344,1
345,1
346,2
353,2
356,2
357,2
358,1
359,1
361,1
362,2
363,1
364,2
365,1
366,2
368,1
371,5
372,4
373,1
374,1
375,1
378,2
379,1
383,2
384,1
387,3
388,1
392,1
399,1
400,2
405,1
406,1
412,2
414,1
415,1
417,1
418,2
421,1
429,1
433,1
439,1
442,1
448,1
463,1
464,2
468,1
472,1
475,1
477,1
480,1
498,1
502,1
505,2
511,1
515,1
516,1
523,1
524,1
525,1
528,1
530,1
535,1
539,1
561,1
563,1
574,1
590,1
592,1
608,1
612,1
613,1
619,1
620,1
624,1
644,1
647,1
650,1
653,1
704,1
764,1
771,1
792,1
807,1
859,1
862,1
872,2
890,1
967,1
1021,1
1331,1
1364,1
1444,1
1827,1
2040,1
2315,1
