xvalue,counts
1,360
2,269
3,254
4,220
5,210
6,206
7,195
8,199
9,189
10,177
11,184
12,165
13,169
14,154
15,141
16,176
17,168
18,125
19,147
20,164
21,157
22,143
23,141
24,153
25,175
26,168
27,132
28,135
29,128
30,146
31,144
32,134
33,135
34,143
35,130
36,148
37,125
38,133
39,127
40,135
41,134
42,128
43,139
44,130
45,120
46,109
47,99
48,95
49,118
50,131
51,126
52,101
53,125
54,116
55,110
56,90
57,104
58,110
59,107
60,89
61,104
62,98
63,91
64,97
65,82
66,77
67,92
68,100
69,81
70,85
71,95
72,73
73,71
74,70
75,73
76,80
77,73
78,63
79,77
80,55
81,67
82,62
83,66
84,78
85,54
86,64
87,61
88,49
89,57
90,71
91,57
92,46
93,50
94,68
95,45
96,49
97,47
98,50
99,50
100,54
101,30
102,45
103,47
104,47
105,50
106,35
107,48
108,38
109,39
110,37
111,41
112,40
113,36
114,29
115,37
116,28
117,37
118,39
119,36
120,35
121,32
122,29
123,37
124,31
125,24
126,23
127,26
128,29
129,29
130,24
131,28
132,31
133,24
134,22
135,23
136,22
137,25
138,25
139,19
140,19
141,24
142,19
143,16
144,16
145,11
146,12
147,14
148,13
149,18
150,10
151,16
152,14
153,14
154,12
155,10
156,13
157,13
158,16
159,10
160,11
161,10
162,4
163,11
164,10
165,12
166,12
167,13
168,8
169,6
170,13
171,8
172,6
173,8
174,6
175,9
176,9
177,7
178,11
179,12
180,9
181,7
182,1
183,5
184,11
185,7
186,3
187,6
188,5
189,5
190,8
191,2
192,4
193,7
194,9
195,10
196,6
197,5
198,9
199,6
200,4
201,3
202,4
203,7
204,4
205,8
206,2
207,4
208,7
209,6
210,5
211,1
212,3
213,3
215,6
216,4
217,4
218,4
219,2
220,4
221,3
222,2
223,4
224,5
225,3
226,4
227,2
228,3
229,2
230,3
231,1
232,2
233,1
234,1
236,2
237,2
238,2
239,2
240,3
241,1
242,4
244,1
245,1
246,3
249,3
250,1
251,1
252,2
253,1
254,3
256,1
257,1
258,1
261,3
262,3
264,1
265,1
267,1
268,2
269,2
270,1
271,2
272,1
273,2
274,1
276,1
278,1
282,1
286,1
289,1
291,1
292,3
293,1
294,1
295,2
296,3
297,1
298,1
299,1
302,1
303,2
305,1
307,1
312,1
313,1
315,1
321,2
322,1
323,1
324,2
327,1
330,1
331,1
334,1
336,1
338,2
350,1
352,1
365,1
369,1
370,1
372,1
374,1
400,1
406,2
414,1
441,1
449,1
476,1
532,1
565,1
570,1
657,1
784,1
937,1
968,1
