xvalue,counts
1,287
2,187
3,144
4,116
5,112
6,87
7,100
8,75
9,109
10,75
11,69
12,100
13,86
14,86
15,70
16,74
17,74
18,72
19,75
20,83
21,63
22,67
23,82
24,64
25,70
26,71
27,51
28,57
29,70
30,66
31,61
32,60
33,55
34,56
35,63
36,57
37,73
38,59
39,55
40,79
41,68
42,64
43,56
44,61
45,68
46,61
47,74
48,65
49,53
50,49
51,63
52,51
53,71
54,55
55,55
56,65
57,57
58,47
59,52
60,45
61,53
62,59
63,54
64,48
65,52
66,62
67,47
68,62
69,51
70,50
71,67
72,50
73,60
74,39
75,50
76,67
77,54
78,65
79,45
80,47
81,48
82,53
83,52
84,52
85,48
86,50
87,45
88,43
89,45
90,48
91,53
92,50
93,55
94,41
95,49
96,44
97,41
98,46
99,44
100,50
101,43
102,37
103,42
104,56
105,59
106,46
107,50
108,49
109,42
110,43
111,43
112,36
113,44
114,34
115,53
116,40
117,26
118,29
119,47
120,36
121,46
122,30
123,48
124,32
125,47
126,47
127,30
128,33
129,34
130,26
131,33
132,35
133,36
134,40
135,36
136,32
137,40
138,20
139,33
140,32
141,39
142,21
143,25
144,42
145,26
146,24
147,18
148,33
149,31
150,33
151,28
152,31
153,33
154,23
155,24
156,27
157,30
158,29
159,27
160,28
161,26
162,23
163,32
164,25
165,20
166,23
167,26
168,18
169,21
170,23
171,31
172,28
173,17
174,25
175,18
176,25
177,27
178,13
179,18
180,20
181,14
182,21
183,24
184,21
185,20
186,15
187,18
188,13
189,16
190,14
191,17
192,18
193,23
194,16
195,18
196,19
197,15
198,15
199,10
200,8
201,12
202,24
203,14
204,18
205,21
206,9
207,19
208,11
209,11
210,14
211,11
212,16
213,15
214,8
215,10
216,12
217,16
218,8
219,13
220,12
221,15
222,16
223,8
224,18
225,17
226,13
227,8
228,13
229,8
230,10
231,10
232,12
233,10
234,11
235,9
236,14
237,5
238,7
239,5
240,8
241,13
242,9
243,10
244,7
245,3
246,5
247,5
248,4
249,3
250,5
251,5
252,5
253,11
254,7
255,10
256,2
257,5
258,7
259,15
260,7
261,6
262,11
263,8
264,6
265,6
266,8
267,2
268,10
269,6
270,5
271,4
272,8
273,9
274,3
275,7
276,3
277,8
278,4
279,3
280,7
281,2
282,4
283,8
284,6
285,3
286,5
287,2
288,10
289,3
290,5
291,2
292,3
293,4
294,7
295,4
297,1
298,5
299,3
300,2
301,2
302,4
303,3
304,2
305,2
306,3
307,5
308,2
309,4
310,1
311,3
313,5
314,2
315,2
316,1
317,2
318,6
319,1
320,5
321,4
322,2
323,2
324,2
325,2
326,3
327,2
328,4
329,1
331,3
332,3
333,2
334,1
335,5
336,2
338,3
339,2
340,1
341,3
342,5
343,5
345,1
346,2
347,2
349,5
351,1
352,1
353,4
355,1
356,2
358,1
359,1
360,1
362,1
363,2
364,2
365,3
367,3
369,2
371,2
372,1
373,2
375,1
376,1
377,1
380,2
382,2
383,1
384,2
387,1
388,3
389,1
390,3
392,2
393,1
396,1
399,1
402,1
406,2
409,1
413,2
414,1
417,1
420,1
421,2
423,1
424,1
427,1
428,1
430,1
433,1
434,1
435,1
438,3
439,1
441,1
442,1
456,1
458,1
472,1
477,1
478,1
479,1
482,1
494,1
495,1
504,1
505,1
506,1
507,1
516,1
518,1
527,1
530,1
536,1
561,1
566,1
570,1
791,1
864,1
1900,1
2105,1
