xvalue,counts
1,198
2,121
3,102
4,89
5,101
6,87
7,77
8,82
9,86
10,76
11,88
12,75
13,98
14,96
15,84
16,98
17,80
18,94
19,90
20,87
21,87
22,76
23,85
24,71
25,93
26,96
27,106
28,66
29,81
30,103
31,97
32,70
33,85
34,91
35,79
36,91
37,90
38,76
39,99
40,77
41,80
42,81
43,80
44,79
45,81
46,81
47,83
48,77
49,85
50,77
51,81
52,78
53,90
54,71
55,68
56,81
57,81
58,63
59,58
60,77
61,92
62,73
63,53
64,95
65,70
66,76
67,63
68,71
69,80
70,64
71,65
72,73
73,61
74,68
75,64
76,79
77,71
78,58
79,61
80,67
81,81
82,57
83,59
84,60
85,67
86,63
87,68
88,69
89,58
90,46
91,50
92,72
93,54
94,59
95,67
96,59
97,56
98,68
99,48
100,50
101,58
102,54
103,64
104,50
105,52
106,67
107,46
108,53
109,47
110,57
111,60
112,53
113,58
114,44
115,43
116,51
117,59
118,48
119,50
120,54
121,58
122,49
123,46
124,48
125,47
126,42
127,56
128,36
129,37
130,43
131,50
132,66
133,33
134,40
135,44
136,32
137,39
138,44
139,34
140,39
141,38
142,32
143,42
144,32
145,45
146,23
147,35
148,29
149,34
150,40
151,36
152,34
153,29
154,27
155,40
156,33
157,34
158,31
159,27
160,31
161,23
162,32
163,40
164,36
165,31
166,30
167,23
168,20
169,21
170,32
171,20
172,22
173,29
174,18
175,26
176,24
177,13
178,23
179,18
180,20
181,24
182,25
183,28
184,24
185,24
186,21
187,18
188,21
189,20
190,22
191,15
192,21
193,17
194,13
195,17
196,6
197,13
198,13
199,13
200,15
201,15
202,12
203,6
204,10
205,15
206,12
207,10
208,11
209,11
210,12
211,11
212,11
213,5
214,14
215,19
216,8
217,19
218,11
219,10
220,11
221,16
222,14
223,7
224,11
225,10
226,11
227,11
228,8
229,7
230,14
231,14
232,3
233,7
234,13
235,7
236,9
237,4
238,4
239,8
240,5
241,7
242,10
243,7
244,9
245,4
246,5
247,11
248,4
249,4
250,5
251,4
252,4
253,5
254,3
255,2
256,7
257,6
258,5
259,3
260,2
261,6
262,5
263,1
264,5
265,3
266,2
267,10
268,5
269,8
270,5
271,3
272,4
273,1
274,2
275,7
276,4
277,5
278,3
279,6
280,2
281,7
282,4
283,2
284,4
285,3
286,4
287,2
288,1
289,5
290,5
292,1
293,3
294,5
295,2
296,2
297,4
298,3
299,2
300,1
301,4
302,3
303,1
304,2
305,1
306,3
308,4
309,2
310,1
311,4
312,2
313,1
314,5
315,2
316,1
317,4
318,3
319,1
320,1
321,2
322,3
323,2
324,4
325,1
326,4
328,1
329,2
331,1
332,4
333,1
334,1
335,1
337,1
338,1
339,3
340,2
342,3
343,3
344,2
345,4
346,5
347,2
350,2
351,2
353,1
354,2
355,3
356,2
358,2
359,1
360,1
361,2
362,2
363,1
365,1
370,1
373,1
374,1
376,1
379,1
382,2
383,1
384,2
385,1
386,1
387,1
389,1
390,2
391,1
393,1
394,2
398,1
399,2
402,1
406,2
412,1
419,1
420,2
425,2
429,1
431,1
434,2
436,2
437,1
438,1
450,2
454,1
466,1
475,1
476,1
477,1
478,1
483,2
484,1
491,3
493,1
495,1
496,1
499,1
520,2
550,1
586,1
592,1
625,1
674,1
695,1
749,1
788,1
789,1
792,1
935,1
1033,1
1041,1
1194,1
1269,1
1344,1
