xvalue,counts
1,385
2,247
3,210
4,156
5,183
6,163
7,175
8,159
9,158
10,149
11,142
12,134
13,141
14,150
15,133
16,143
17,149
18,156
19,141
20,159
21,142
22,141
23,148
24,153
25,137
26,148
27,118
28,136
29,137
30,142
31,135
32,147
33,118
34,123
35,113
36,123
37,122
38,99
39,125
40,100
41,142
42,102
43,132
44,114
45,104
46,118
47,102
48,103
49,99
50,109
51,99
52,94
53,91
54,96
55,109
56,83
57,104
58,82
59,80
60,87
61,82
62,79
63,93
64,73
65,78
66,84
67,86
68,99
69,73
70,73
71,78
72,73
73,66
74,74
75,96
76,85
77,60
78,67
79,67
80,64
81,76
82,70
83,65
84,75
85,73
86,81
87,62
88,74
89,71
90,65
91,65
92,55
93,69
94,55
95,58
96,67
97,66
98,59
99,50
100,63
101,69
102,50
103,49
104,55
105,68
106,72
107,49
108,59
109,66
110,59
111,56
112,50
113,50
114,43
115,46
116,62
117,51
118,52
119,51
120,46
121,38
122,56
123,42
124,31
125,42
126,55
127,40
128,45
129,50
130,38
131,45
132,35
133,37
134,45
135,55
136,34
137,43
138,38
139,47
140,26
141,48
142,52
143,51
144,36
145,41
146,33
147,31
148,31
149,39
150,39
151,44
152,35
153,39
154,35
155,39
156,39
157,36
158,34
159,31
160,26
161,30
162,26
163,38
164,35
165,18
166,34
167,36
168,28
169,33
170,34
171,38
172,38
173,29
174,41
175,35
176,40
177,26
178,28
179,23
180,24
181,21
182,32
183,18
184,27
185,21
186,24
187,32
188,22
189,25
190,20
191,39
192,30
193,25
194,27
195,32
196,18
197,24
198,25
199,24
200,24
201,26
202,25
203,23
204,33
205,24
206,25
207,19
208,23
209,27
210,15
211,17
212,21
213,21
214,23
215,24
216,26
217,18
218,19
219,21
220,15
221,19
222,16
223,20
224,27
225,18
226,15
227,26
228,17
229,17
230,21
231,18
232,21
233,16
234,21
235,23
236,18
237,20
238,20
239,15
240,22
241,21
242,18
243,10
244,16
245,24
246,18
247,17
248,19
249,15
250,20
251,14
252,19
253,14
254,23
255,12
256,13
257,10
258,12
259,16
260,23
261,8
262,21
263,14
264,10
265,14
266,21
267,11
268,14
269,13
270,13
271,11
272,9
273,12
274,11
275,14
276,14
277,10
278,8
279,13
280,11
281,13
282,16
283,13
284,14
285,7
286,12
287,9
288,9
289,9
290,13
291,8
292,7
293,11
294,9
295,8
296,7
297,9
298,12
299,10
300,6
301,5
302,9
303,7
304,9
305,12
306,9
307,5
308,13
309,10
310,10
311,11
312,7
313,11
314,12
315,9
316,7
317,11
318,5
319,8
320,11
321,12
322,6
323,6
324,9
325,6
326,6
327,13
328,13
329,6
330,12
331,5
332,9
333,6
334,8
335,4
336,8
337,3
338,8
339,10
340,7
341,5
342,5
343,5
344,7
345,9
346,8
347,2
348,8
349,8
350,4
351,6
352,9
353,3
354,6
355,6
356,6
357,8
358,6
359,5
360,3
361,4
362,8
363,5
364,6
365,7
366,10
367,4
368,10
369,3
370,2
371,6
372,7
373,2
374,4
375,7
376,6
377,5
378,5
379,5
380,3
381,6
382,8
383,2
384,5
385,4
386,6
387,3
388,6
389,7
390,4
391,1
392,6
393,1
394,2
395,3
396,4
397,5
398,4
399,2
400,3
401,6
402,3
403,4
404,3
405,4
406,3
408,2
410,2
411,5
412,4
413,7
414,4
415,5
416,1
417,2
418,3
419,3
420,4
421,1
422,2
423,3
424,2
426,3
427,4
428,1
429,7
430,3
432,3
433,1
434,5
435,1
436,3
437,5
438,2
439,3
440,2
442,1
443,4
444,1
445,1
447,4
449,2
450,2
451,3
452,2
453,1
454,1
457,2
459,1
460,3
461,3
462,1
463,3
464,2
465,2
466,2
467,6
468,3
469,2
470,4
471,3
472,3
473,4
476,3
478,2
479,2
480,2
481,2
483,2
485,1
487,1
488,1
489,1
490,1
491,4
492,1
493,1
494,1
495,4
496,2
497,2
498,2
499,1
500,1
501,1
502,3
503,2
504,1
506,1
507,3
508,1
511,1
512,1
513,1
514,1
516,1
517,2
518,5
519,1
520,2
522,2
523,2
524,1
525,1
526,1
527,1
528,1
530,1
531,1
532,1
533,4
534,1
536,2
538,1
539,1
541,1
545,2
546,1
547,1
548,1
550,1
551,1
553,1
554,1
559,4
563,1
565,1
567,2
569,1
570,1
572,1
573,1
575,1
579,1
580,2
581,1
582,1
584,2
586,1
588,2
589,1
591,1
595,2
597,1
604,1
605,1
608,1
610,1
614,1
615,1
618,1
637,1
639,1
645,1
647,1
649,1
652,1
654,1
656,1
663,1
665,1
672,1
674,1
687,1
690,1
692,1
695,1
701,1
706,1
720,1
722,1
732,1
762,1
763,1
778,1
779,1
788,1
790,1
899,1
1010,1
1114,1
1143,1
1409,1
2354,1
2462,1
2568,1
