xvalue,counts
1,1086
2,739
3,603
4,593
5,551
6,519
7,487
8,514
9,479
10,493
11,495
12,475
13,446
14,454
15,426
16,443
17,431
18,425
19,405
20,412
21,428
22,418
23,419
24,390
25,429
26,428
27,439
28,358
29,404
30,430
31,373
32,380
33,367
34,363
35,382
36,390
37,350
38,355
39,400
40,375
41,348
42,320
43,353
44,331
45,319
46,297
47,374
48,314
49,310
50,299
51,299
52,295
53,302
54,303
55,297
56,317
57,268
58,307
59,265
60,264
61,275
62,252
63,278
64,254
65,275
66,275
67,263
68,249
69,245
70,257
71,229
72,217
73,221
74,205
75,214
76,199
77,216
78,221
79,233
80,230
81,182
82,197
83,204
84,171
85,176
86,186
87,177
88,178
89,193
90,177
91,169
92,170
93,165
94,174
95,170
96,180
97,159
98,151
99,150
100,135
101,147
102,130
103,153
104,150
105,142
106,151
107,149
108,127
109,114
110,141
111,155
112,124
113,118
114,136
115,108
116,117
117,107
118,111
119,111
120,129
121,132
122,98
123,109
124,101
125,91
126,119
127,108
128,108
129,99
130,79
131,86
132,74
133,83
134,64
135,83
136,93
137,94
138,82
139,89
140,90
141,86
142,62
143,81
144,72
145,66
146,78
147,76
148,58
149,61
150,65
151,60
152,62
153,80
154,55
155,59
156,70
157,65
158,52
159,55
160,62
161,43
162,47
163,51
164,39
165,54
166,49
167,44
168,45
169,37
170,47
171,39
172,36
173,36
174,36
175,30
176,54
177,41
178,31
179,35
180,30
181,35
182,38
183,25
184,41
185,32
186,28
187,40
188,40
189,34
190,24
191,39
192,27
193,32
194,27
195,27
196,20
197,26
198,20
199,20
200,18
201,32
202,20
203,17
204,22
205,16
206,19
207,29
208,27
209,25
210,19
211,20
212,21
213,21
214,12
215,22
216,23
217,16
218,22
219,20
220,18
221,16
222,26
223,24
224,17
225,16
226,21
227,11
228,15
229,9
230,20
231,14
232,16
233,7
234,15
235,15
236,12
237,10
238,15
239,9
240,13
241,7
242,10
243,11
244,12
245,18
246,11
247,7
248,13
249,13
250,13
251,11
252,14
253,12
254,11
255,8
256,11
257,9
258,7
259,9
260,9
261,14
262,5
263,8
264,10
265,14
266,11
267,9
268,5
269,4
270,7
271,2
272,10
273,8
274,8
275,10
276,5
277,4
278,5
279,5
280,4
281,6
282,4
283,2
284,5
285,6
286,3
287,5
288,7
289,3
290,2
291,4
292,4
293,11
294,5
295,3
296,2
297,4
298,5
299,3
300,6
301,6
302,3
303,2
304,2
305,4
306,3
307,5
308,3
309,4
310,2
311,5
312,3
313,6
314,4
315,5
316,2
317,3
318,3
319,3
320,1
321,2
322,5
323,4
324,3
326,2
327,3
328,2
329,1
330,3
331,2
332,1
334,2
335,3
336,1
337,2
338,1
339,1
340,2
341,2
342,1
343,1
344,1
345,2
347,2
348,3
349,2
350,2
351,1
352,4
353,1
354,2
355,1
356,2
357,3
358,2
360,1
361,1
363,2
364,1
365,1
366,2
371,1
372,1
376,2
377,1
378,2
379,3
380,2
381,1
382,2
383,2
384,1
385,2
387,2
388,1
389,2
391,1
393,1
394,3
395,3
396,2
399,2
401,1
403,1
405,1
406,1
407,3
408,1
409,1
411,1
413,2
414,2
416,2
418,2
420,3
421,1
422,1
423,1
427,2
429,1
430,2
431,1
433,1
434,4
435,3
436,1
437,2
438,1
439,2
442,1
443,1
444,1
447,1
448,1
449,1
450,2
451,1
453,1
456,1
460,1
461,1
465,1
467,2
468,2
471,1
479,2
484,1
489,1
495,1
496,1
498,1
500,1
502,2
506,1
507,1
514,1
517,1
520,1
522,1
527,1
530,2
531,1
538,1
540,1
545,2
565,1
568,1
584,1
590,1
599,2
600,1
612,1
633,1
635,1
661,1
665,1
674,1
679,1
705,1
733,1
744,1
768,1
787,1
806,1
820,1
852,1
857,1
860,1
865,1
875,1
877,1
881,1
919,1
924,1
961,1
1057,1
1131,1
1142,1
1183,1
1265,1
1272,1
1370,1
1545,1
1563,1
1589,1
1623,1
1715,1
1831,1
1946,1
2249,1
2298,1
2543,1
2582,1
2613,1
3240,1
3777,1
4410,1
