xvalue,counts
1,671
2,461
3,374
4,356
5,330
6,297
7,330
8,284
9,314
10,295
11,287
12,283
13,260
14,275
15,283
16,262
17,262
18,235
19,267
20,250
21,270
22,252
23,261
24,242
25,246
26,222
27,246
28,248
29,250
30,233
31,238
32,226
33,229
34,201
35,217
36,179
37,205
38,204
39,207
40,201
41,213
42,213
43,188
44,184
45,194
46,193
47,177
48,199
49,186
50,197
51,185
52,197
53,155
54,181
55,174
56,173
57,158
58,157
59,157
60,182
61,166
62,152
63,143
64,159
65,159
66,159
67,147
68,127
69,149
70,151
71,142
72,114
73,144
74,127
75,128
76,136
77,133
78,138
79,109
80,113
81,118
82,117
83,95
84,116
85,114
86,125
87,100
88,89
89,100
90,99
91,104
92,100
93,107
94,104
95,101
96,90
97,91
98,88
99,89
100,78
101,70
102,79
103,81
104,83
105,76
106,88
107,85
108,69
109,60
110,74
111,77
112,74
113,79
114,50
115,69
116,83
117,72
118,61
119,68
120,65
121,72
122,58
123,76
124,71
125,66
126,58
127,56
128,57
129,57
130,55
131,68
132,58
133,50
134,52
135,52
136,55
137,73
138,44
139,39
140,35
141,55
142,51
143,40
144,45
145,44
146,39
147,48
148,41
149,34
150,50
151,40
152,33
153,54
154,24
155,37
156,31
157,28
158,31
159,27
160,21
161,32
162,29
163,43
164,27
165,21
166,22
167,33
168,29
169,23
170,20
171,25
172,32
173,25
174,27
175,11
176,21
177,18
178,23
179,31
180,31
181,28
182,14
183,26
184,21
185,14
186,25
187,18
188,13
189,24
190,20
191,17
192,17
193,20
194,14
195,13
196,17
197,14
198,18
199,20
200,11
201,19
202,14
203,14
204,18
205,17
206,20
207,7
208,13
209,12
210,16
211,16
212,16
213,11
214,14
215,6
216,13
217,14
218,14
219,8
220,10
221,17
222,10
223,9
224,16
225,8
226,10
227,14
228,11
229,7
230,14
231,10
232,7
233,9
234,5
235,10
236,7
237,5
238,13
239,5
240,5
241,7
242,4
243,5
244,9
245,4
246,3
247,5
248,7
249,8
250,4
251,7
252,6
253,8
254,8
255,8
256,6
257,6
258,6
259,5
260,6
261,2
262,2
263,8
264,3
265,7
266,2
267,3
268,6
269,6
270,2
271,2
272,5
273,4
274,5
275,4
276,4
277,7
278,5
279,4
280,5
281,6
282,4
283,7
284,3
286,1
287,3
288,3
289,2
290,2
291,2
292,2
293,4
294,1
295,1
296,3
297,1
298,4
299,4
300,2
301,2
302,5
303,1
306,4
307,2
308,1
309,2
310,1
311,1
312,1
313,1
314,1
316,2
317,3
318,4
319,3
321,2
322,2
324,4
325,2
326,1
327,2
328,3
330,2
331,3
332,1
333,1
334,2
337,1
338,2
339,2
340,1
341,1
347,1
348,3
350,1
351,2
352,1
353,3
356,3
359,1
362,2
363,1
365,1
366,1
367,2
370,1
372,1
375,1
377,1
378,1
379,1
381,1
388,1
389,1
393,2
398,1
400,1
402,1
403,2
404,1
409,1
418,1
419,1
420,1
424,2
427,1
449,1
461,1
462,1
464,1
470,1
471,1
474,1
477,1
482,1
483,1
502,1
508,1
520,1
547,1
548,1
562,1
568,1
581,1
597,1
598,1
606,1
608,1
609,1
610,1
638,1
689,1
989,1
1467,1
1642,1
