xvalue,counts
1,523
2,297
3,246
4,203
5,186
6,141
7,147
8,143
9,125
10,132
11,105
12,116
13,110
14,104
15,99
16,94
17,98
18,76
19,91
20,86
21,85
22,69
23,66
24,64
25,61
26,74
27,74
28,54
29,60
30,66
31,58
32,59
33,66
34,59
35,51
36,57
37,52
38,60
39,35
40,59
41,52
42,44
43,45
44,47
45,47
46,61
47,56
48,44
49,45
50,38
51,43
52,49
53,48
54,57
55,34
56,42
57,30
58,53
59,43
60,36
61,46
62,51
63,58
64,37
65,41
66,45
67,45
68,46
69,54
70,34
71,41
72,62
73,48
74,44
75,43
76,42
77,45
78,27
79,33
80,45
81,51
82,30
83,46
84,43
85,37
86,35
87,36
88,38
89,48
90,31
91,35
92,34
93,54
94,41
95,54
96,50
97,37
98,42
99,55
100,40
101,45
102,39
103,32
104,36
105,53
106,40
107,42
108,38
109,35
110,38
111,37
112,35
113,39
114,38
115,42
116,39
117,37
118,49
119,39
120,36
121,38
122,50
123,37
124,39
125,39
126,35
127,40
128,52
129,41
130,36
131,33
132,38
133,47
134,30
135,19
136,36
137,37
138,34
139,23
140,29
141,35
142,30
143,29
144,31
145,27
146,25
147,39
148,29
149,24
150,46
151,27
152,25
153,29
154,34
155,26
156,23
157,25
158,32
159,33
160,26
161,19
162,28
163,23
164,37
165,31
166,29
167,29
168,20
169,36
170,27
171,41
172,25
173,21
174,23
175,27
176,16
177,21
178,26
179,26
180,22
181,19
182,15
183,19
184,25
185,24
186,17
187,21
188,33
189,17
190,19
191,17
192,14
193,26
194,17
195,22
196,13
197,17
198,17
199,18
200,11
201,19
202,14
203,22
204,22
205,23
206,19
207,21
208,15
209,17
210,21
211,15
212,23
213,10
214,11
215,12
216,15
217,13
218,8
219,14
220,8
221,15
222,11
223,19
224,14
225,13
226,11
227,17
228,12
229,15
230,16
231,8
232,16
233,13
234,19
235,15
236,16
237,6
238,13
239,13
240,14
241,14
242,13
243,12
244,14
245,15
246,12
247,14
248,10
249,7
250,9
251,5
252,15
253,8
254,10
255,8
256,14
257,12
258,7
259,15
260,11
261,6
262,5
263,9
264,5
265,13
266,11
267,10
268,10
269,7
270,9
271,11
272,13
273,4
274,7
275,9
276,8
277,10
278,12
279,9
280,5
281,5
282,8
283,3
284,6
285,5
286,7
287,7
288,8
289,7
290,5
291,6
292,11
293,2
294,5
295,8
296,17
297,6
298,5
299,4
300,5
301,7
302,7
303,4
304,10
305,7
306,3
307,7
308,4
309,2
310,5
311,4
312,3
313,6
314,4
315,5
316,7
317,3
318,4
319,7
320,5
321,2
322,3
323,1
324,5
325,3
326,4
327,5
328,5
329,9
330,6
331,5
332,3
333,3
334,2
335,2
336,2
337,8
338,5
339,4
340,5
341,3
342,5
343,2
344,6
345,2
346,4
347,4
348,4
349,3
350,6
351,1
353,4
354,3
355,5
356,2
357,4
359,5
360,6
361,1
362,2
363,8
364,4
365,5
366,2
367,2
368,4
369,7
371,3
372,1
373,4
374,1
375,1
376,4
377,1
378,4
379,1
381,2
382,3
383,3
386,4
387,1
388,3
389,1
390,3
392,4
393,2
394,3
395,1
396,1
397,3
398,2
399,1
400,1
402,2
404,1
405,1
406,4
408,2
409,2
410,2
411,1
413,2
414,1
417,3
419,3
420,2
422,1
423,1
424,2
425,1
426,3
427,1
430,2
433,1
437,3
438,1
439,2
441,2
442,2
444,2
445,1
449,1
452,1
453,2
456,2
459,1
461,1
462,1
463,1
465,1
467,2
468,1
469,2
470,1
471,1
473,1
477,2
478,1
479,1
480,1
483,1
486,1
487,2
490,1
491,1
494,1
495,2
497,1
502,1
504,2
507,2
508,1
511,2
512,1
514,1
522,1
524,1
530,1
532,2
537,1
541,1
545,1
546,1
555,1
557,1
562,1
565,1
566,1
567,1
570,1
571,1
572,1
594,1
599,1
600,1
608,1
612,1
626,1
630,1
678,1
691,1
704,1
719,1
720,1
746,1
788,1
795,1
822,1
887,1
975,1
1137,1
1172,1
