xvalue,counts
1,274
2,196
3,160
4,138
5,145
6,130
7,135
8,111
9,129
10,108
11,119
12,113
13,101
14,122
15,109
16,108
17,129
18,109
19,116
20,93
21,110
22,108
23,116
24,106
25,107
26,106
27,104
28,111
29,103
30,91
31,119
32,118
33,100
34,98
35,95
36,87
37,99
38,119
39,121
40,109
41,107
42,87
43,91
44,87
45,107
46,93
47,94
48,97
49,108
50,96
51,82
52,97
53,114
54,104
55,86
56,81
57,86
58,95
59,92
60,91
61,99
62,84
63,79
64,91
65,76
66,68
67,76
68,90
69,82
70,93
71,90
72,74
73,65
74,76
75,78
76,75
77,73
78,64
79,79
80,79
81,71
82,78
83,61
84,62
85,55
86,55
87,71
88,76
89,64
90,73
91,53
92,51
93,58
94,81
95,62
96,67
97,57
98,37
99,64
100,48
101,77
102,64
103,54
104,60
105,59
106,64
107,59
108,55
109,44
110,57
111,53
112,48
113,53
114,42
115,51
116,37
117,57
118,45
119,41
120,53
121,38
122,38
123,43
124,40
125,38
126,38
127,45
128,35
129,33
130,46
131,49
132,31
133,46
134,40
135,25
136,26
137,49
138,38
139,30
140,29
141,45
142,37
143,35
144,35
145,28
146,33
147,32
148,27
149,32
150,34
151,36
152,31
153,16
154,29
155,33
156,25
157,32
158,17
159,29
160,18
161,26
162,29
163,21
164,32
165,23
166,23
167,33
168,33
169,23
170,16
171,30
172,22
173,27
174,19
175,36
176,24
177,30
178,21
179,24
180,29
181,23
182,23
183,19
184,19
185,16
186,22
187,23
188,19
189,16
190,17
191,13
192,19
193,22
194,25
195,10
196,21
197,15
198,23
199,14
200,11
201,15
202,14
203,14
204,15
205,14
206,19
207,7
208,9
209,14
210,18
211,10
212,14
213,7
214,14
215,12
216,14
217,13
218,7
219,16
220,10
221,11
222,11
223,9
224,11
225,8
226,6
227,11
228,8
229,7
230,15
231,13
232,12
233,13
234,8
235,7
236,8
237,5
238,5
239,6
240,10
241,5
242,6
243,7
244,7
245,10
246,10
247,4
248,6
249,5
250,11
251,4
252,9
253,2
254,6
255,7
256,10
257,7
258,3
259,4
260,5
261,9
262,3
263,7
264,5
265,4
266,9
267,2
268,3
269,1
271,3
272,3
273,3
274,4
275,2
276,1
277,2
278,9
279,3
280,6
281,3
282,4
283,4
284,4
285,3
286,3
287,7
289,4
290,2
291,3
292,2
293,2
294,1
295,1
296,2
297,5
298,1
299,3
300,1
301,1
302,1
303,3
304,2
305,5
306,2
307,3
308,5
309,1
311,1
314,2
315,3
316,2
317,1
318,2
319,1
320,2
321,2
322,1
323,1
324,1
325,2
326,1
328,3
329,1
330,1
331,1
332,3
333,3
336,1
338,1
340,1
341,1
342,2
343,2
345,1
346,2
348,1
349,2
351,2
353,3
354,3
355,1
356,1
357,2
358,1
361,2
367,3
370,3
372,1
379,1
382,1
383,1
389,2
397,1
399,1
406,1
408,2
409,1
410,1
414,1
435,1
446,1
450,1
459,1
466,1
481,2
536,1
565,1
570,1
593,1
638,1
752,1
866,1
872,1
1110,1
1322,1
1340,1
