xvalue,counts
1,505
2,377
3,323
4,278
5,258
6,238
7,234
8,216
9,198
10,210
11,197
12,203
13,173
14,217
15,229
16,174
17,183
18,171
19,216
20,177
21,190
22,160
23,177
24,155
25,147
26,135
27,152
28,158
29,139
30,129
31,136
32,123
33,143
34,118
35,131
36,123
37,129
38,124
39,104
40,105
41,109
42,118
43,109
44,110
45,91
46,89
47,87
48,104
49,90
50,98
51,111
52,85
53,102
54,102
55,109
56,64
57,83
58,95
59,63
60,75
61,65
62,75
63,74
64,81
65,57
66,74
67,67
68,74
69,60
70,52
71,61
72,58
73,67
74,61
75,59
76,59
77,59
78,58
79,50
80,52
81,48
82,58
83,48
84,45
85,66
86,47
87,50
88,54
89,57
90,42
91,38
92,47
93,39
94,41
95,47
96,38
97,44
98,48
99,42
100,30
101,31
102,38
103,46
104,29
105,34
106,26
107,31
108,38
109,32
110,34
111,27
112,28
113,41
114,27
115,32
116,30
117,34
118,23
119,27
120,22
121,31
122,29
123,21
124,26
125,24
126,17
127,29
128,19
129,29
130,27
131,24
132,21
133,20
134,16
135,22
136,18
137,15
138,11
139,17
140,10
141,18
142,17
143,21
144,19
145,17
146,11
147,11
148,16
149,21
150,18
151,19
152,13
153,11
154,16
155,13
156,8
157,9
158,12
159,11
160,16
161,15
162,13
163,10
164,7
165,7
166,11
167,14
168,6
169,11
170,11
171,6
172,12
173,12
174,5
175,12
176,15
177,8
178,12
179,10
180,7
181,9
182,3
183,7
184,9
185,10
186,5
187,10
188,9
189,7
190,9
191,8
192,14
193,6
194,7
195,7
196,4
197,11
198,8
199,6
200,6
201,4
202,6
203,6
204,4
205,6
206,6
207,3
208,1
209,8
210,9
211,3
212,2
213,2
214,3
215,4
216,5
217,3
218,5
219,4
220,2
221,2
222,5
223,2
224,4
225,3
226,5
227,1
228,3
229,5
230,3
231,4
233,4
234,2
235,4
236,3
237,4
238,5
239,4
240,1
241,1
243,3
244,6
246,2
247,3
248,2
249,3
250,1
251,3
252,4
253,1
255,2
256,4
257,2
258,1
259,3
260,4
261,3
262,1
263,3
264,4
266,3
267,1
268,1
270,1
271,2
272,2
273,1
275,2
276,2
277,1
278,1
280,1
281,1
284,1
285,3
286,1
287,1
288,2
289,4
290,1
292,1
293,4
296,1
297,1
300,1
301,1
303,2
304,1
306,1
307,1
308,2
309,1
310,1
312,1
314,1
315,2
316,1
318,1
319,1
320,1
321,3
322,1
325,2
326,1
328,1
332,1
333,1
337,2
339,1
346,1
348,2
349,1
352,3
355,1
360,3
361,1
363,1
364,1
367,1
368,1
370,1
371,1
377,2
381,1
383,1
391,1
392,1
396,1
403,1
406,1
410,1
420,1
429,1
443,4
444,1
449,1
455,1
456,1
460,1
484,1
488,1
489,1
497,1
520,2
635,1
708,1
730,1
770,1
789,1
829,1
869,1
927,1
949,1
1360,1
1394,1
