xvalue,counts
1,336
2,226
3,185
4,170
5,156
6,148
7,170
8,141
9,155
10,164
11,146
12,157
13,138
14,157
15,152
16,146
17,147
18,163
19,138
20,140
21,134
22,144
23,128
24,157
25,138
26,119
27,137
28,146
29,135
30,121
31,134
32,127
33,128
34,126
35,116
36,133
37,109
38,115
39,116
40,112
41,131
42,151
43,112
44,138
45,118
46,102
47,115
48,131
49,92
50,106
51,138
52,110
53,126
54,115
55,108
56,99
57,96
58,100
59,113
60,91
61,107
62,107
63,84
64,92
65,98
66,83
67,90
68,76
69,93
70,87
71,84
72,88
73,89
74,80
75,101
76,94
77,79
78,73
79,102
80,74
81,90
82,72
83,93
84,81
85,60
86,84
87,58
88,67
89,78
90,70
91,85
92,65
93,76
94,67
95,72
96,59
97,58
98,66
99,64
100,61
101,64
102,61
103,64
104,56
105,62
106,63
107,58
108,48
109,63
110,62
111,60
112,48
113,46
114,49
115,55
116,55
117,57
118,39
119,37
120,56
121,50
122,47
123,59
124,40
125,46
126,52
127,53
128,54
129,42
130,45
131,37
132,32
133,43
134,45
135,56
136,45
137,36
138,44
139,37
140,37
141,44
142,40
143,40
144,33
145,37
146,24
147,31
148,45
149,43
150,34
151,24
152,51
153,36
154,39
155,33
156,32
157,32
158,30
159,22
160,37
161,33
162,32
163,28
164,35
165,35
166,34
167,28
168,21
169,37
170,29
171,32
172,27
173,24
174,20
175,34
176,24
177,30
178,23
179,22
180,22
181,32
182,17
183,18
184,15
185,28
186,20
187,25
188,22
189,15
190,24
191,22
192,21
193,25
194,22
195,24
196,22
197,17
198,25
199,19
200,24
201,21
202,16
203,24
204,19
205,17
206,15
207,24
208,25
209,19
210,18
211,19
212,18
213,23
214,18
215,19
216,15
217,18
218,20
219,17
220,23
221,15
222,21
223,20
224,11
225,20
226,17
227,25
228,18
229,18
230,18
231,10
232,23
233,15
234,13
235,15
236,26
237,17
238,19
239,13
240,11
241,11
242,7
243,6
244,16
245,14
246,7
247,8
248,18
249,15
250,11
251,11
252,17
253,17
254,10
255,8
256,12
257,10
258,14
259,13
260,10
261,9
262,14
263,14
264,6
265,7
266,12
267,14
268,5
269,9
270,12
271,11
272,13
273,12
274,14
275,10
276,7
277,5
278,7
279,6
280,15
281,6
282,6
283,5
284,5
285,9
286,17
287,3
288,4
289,7
290,4
291,14
292,6
293,11
294,4
295,6
296,5
297,5
298,5
299,10
300,7
301,5
302,8
303,8
304,3
305,7
306,8
307,9
308,6
309,7
310,7
311,5
312,6
313,5
314,4
315,7
316,7
317,8
318,5
319,4
320,8
321,1
322,1
323,6
324,2
325,6
326,10
327,5
328,4
329,5
330,7
331,3
332,5
333,3
334,4
335,2
336,4
337,4
338,7
339,1
340,3
341,1
342,1
343,3
344,2
345,3
346,1
347,3
348,6
349,5
351,1
352,3
353,7
354,2
355,4
356,4
357,4
358,4
359,3
360,2
361,2
362,4
363,4
364,5
365,5
366,5
367,4
370,4
371,6
372,1
373,4
375,2
377,2
378,3
379,1
380,4
381,3
382,4
385,6
386,1
387,1
388,3
391,2
392,2
393,4
394,3
395,1
396,1
398,2
399,3
400,1
401,3
402,1
403,1
404,4
405,1
407,3
408,3
410,1
411,2
412,3
413,6
414,5
415,3
416,1
418,1
419,2
420,1
421,1
423,1
425,1
426,1
427,1
428,1
431,1
432,2
433,2
434,1
435,2
436,4
437,2
439,2
440,1
442,2
443,1
444,2
445,1
446,4
451,1
452,1
453,2
454,1
455,2
458,2
459,1
460,2
463,3
464,1
465,1
467,1
468,1
469,1
470,1
471,2
474,2
475,1
476,1
477,1
479,1
480,1
481,2
482,2
483,1
484,2
485,2
491,2
494,1
499,1
503,1
504,1
508,1
510,1
515,1
516,1
522,2
530,1
531,3
532,1
535,1
540,1
543,1
545,2
546,1
552,2
554,1
555,1
559,1
560,1
566,1
572,1
573,1
592,1
594,1
597,2
599,1
604,1
608,1
612,1
617,1
623,1
624,1
633,1
635,1
636,1
643,1
652,1
670,1
680,1
681,1
682,1
683,1
717,1
748,1
757,1
778,1
782,1
847,1
856,1
863,1
1035,1
1056,1
1101,1
1104,1
1183,1
1878,1
3112,1
4943,1
