xvalue,counts
1,658
2,428
3,392
4,347
5,362
6,339
7,378
8,363
9,312
10,300
11,311
12,317
13,347
14,327
15,319
16,356
17,318
18,353
19,318
20,313
21,334
22,313
23,331
24,291
25,311
26,308
27,282
28,294
29,276
30,271
31,279
32,279
33,262
34,294
35,270
36,263
37,246
38,284
39,236
40,270
41,263
42,265
43,231
44,232
45,244
46,223
47,204
48,218
49,233
50,197
51,210
52,188
53,215
54,198
55,193
56,222
57,193
58,179
59,187
60,172
61,198
62,182
63,162
64,161
65,170
66,181
67,177
68,187
69,173
70,178
71,158
72,157
73,184
74,184
75,163
76,162
77,128
78,135
79,136
80,165
81,146
82,153
83,131
84,116
85,131
86,135
87,143
88,125
89,106
90,135
91,133
92,112
93,111
94,118
95,99
96,113
97,112
98,101
99,112
100,113
101,107
102,106
103,115
104,104
105,97
106,104
107,112
108,108
109,105
110,112
111,102
112,90
113,101
114,98
115,93
116,102
117,73
118,100
119,84
120,86
121,90
122,91
123,88
124,80
125,76
126,72
127,78
128,83
129,81
130,85
131,73
132,84
133,61
134,65
135,74
136,68
137,80
138,60
139,65
140,70
141,71
142,61
143,68
144,68
145,66
146,61
147,62
148,52
149,69
150,60
151,60
152,53
153,49
154,52
155,58
156,47
157,52
158,46
159,59
160,47
161,42
162,56
163,59
164,60
165,48
166,59
167,42
168,38
169,43
170,44
171,43
172,36
173,47
174,45
175,42
176,33
177,45
178,34
179,46
180,39
181,52
182,39
183,35
184,46
185,32
186,40
187,45
188,23
189,49
190,30
191,38
192,39
193,37
194,35
195,43
196,24
197,24
198,30
199,32
200,27
201,33
202,28
203,24
204,33
205,28
206,28
207,33
208,40
209,25
210,24
211,33
212,30
213,25
214,27
215,33
216,21
217,34
218,22
219,26
220,16
221,31
222,21
223,25
224,28
225,21
226,20
227,27
228,23
229,19
230,16
231,23
232,20
233,18
234,25
235,22
236,17
237,19
238,12
239,23
240,20
241,17
242,22
243,23
244,10
245,17
246,23
247,11
248,22
249,11
250,20
251,18
252,14
253,18
254,11
255,17
256,23
257,13
258,16
259,6
260,8
261,11
262,14
263,14
264,15
265,9
266,5
267,12
268,7
269,11
270,19
271,13
272,11
273,11
274,11
275,16
276,15
277,7
278,15
279,14
280,14
281,9
282,11
283,10
284,8
285,9
286,12
287,16
288,8
289,8
290,9
291,10
292,9
293,10
294,10
295,10
296,8
297,8
298,11
299,9
300,8
301,6
302,11
303,12
304,11
305,8
306,5
307,6
308,4
309,6
310,9
311,6
312,7
313,6
314,5
315,8
316,13
317,11
318,8
319,6
320,4
321,4
322,4
323,4
324,9
325,4
326,10
327,7
328,6
329,5
330,5
331,3
332,8
333,3
334,9
335,2
336,8
337,4
338,8
339,3
340,8
341,5
342,3
343,3
344,3
345,4
346,4
347,7
348,5
349,2
350,3
351,4
352,5
353,1
354,2
355,7
356,7
357,4
358,2
359,3
360,6
361,4
362,4
363,5
364,4
365,4
366,1
367,7
369,5
370,5
371,4
372,6
373,2
374,5
375,3
378,3
379,5
380,3
381,2
382,4
383,4
384,3
385,3
386,2
387,2
388,1
389,2
390,3
391,1
392,2
393,1
394,2
395,1
396,1
399,3
401,1
402,3
403,2
404,2
406,2
407,1
408,3
409,1
410,2
411,1
412,1
415,2
416,1
417,1
419,1
420,3
421,3
422,1
424,1
425,1
426,1
427,1
428,3
429,3
430,1
431,1
433,1
434,2
435,1
436,1
437,1
438,2
440,2
443,1
445,1
450,1
451,1
452,1
454,1
455,1
456,1
457,2
459,2
461,1
462,1
464,3
465,2
468,1
469,3
471,1
474,1
475,1
477,1
478,2
482,1
483,2
485,1
486,3
487,1
488,1
491,1
495,1
502,2
506,1
508,1
509,1
514,1
515,1
518,1
526,1
527,1
529,2
530,1
534,1
536,2
538,2
543,1
545,1
546,1
548,1
549,1
552,1
560,1
561,1
563,1
564,1
573,1
581,1
584,1
587,1
613,1
615,1
647,1
649,1
655,1
656,1
657,1
686,1
688,1
689,1
695,1
715,1
774,1
779,1
796,1
827,1
971,1
1003,1
1006,1
1060,1
1218,1
1796,1
