xvalue,counts
1,180
2,119
3,85
4,77
5,73
6,85
7,76
8,71
9,62
10,63
11,67
12,74
13,66
14,60
15,48
16,58
17,65
18,42
19,66
20,58
21,51
22,61
23,64
24,55
25,53
26,64
27,71
28,44
29,54
30,51
31,62
32,42
33,46
34,49
35,57
36,48
37,51
38,53
39,42
40,32
41,46
42,49
43,51
44,37
45,49
46,48
47,50
48,39
49,36
50,47
51,47
52,54
53,43
54,33
55,41
56,34
57,41
58,44
59,38
60,31
61,38
62,32
63,43
64,42
65,42
66,41
67,35
68,47
69,27
70,36
71,42
72,39
73,29
74,45
75,42
76,32
77,38
78,30
79,31
80,32
81,26
82,41
83,44
84,38
85,31
86,40
87,45
88,31
89,35
90,31
91,18
92,39
93,24
94,25
95,23
96,24
97,28
98,28
99,23
100,31
101,31
102,30
103,27
104,30
105,39
106,31
107,23
108,28
109,27
110,32
111,25
112,23
113,37
114,27
115,28
116,30
117,33
118,24
119,29
120,20
121,24
122,19
123,30
124,24
125,25
126,22
127,21
128,28
129,21
130,22
131,20
132,26
133,14
134,16
135,21
136,13
137,18
138,22
139,16
140,11
141,15
142,12
143,11
144,11
145,14
146,15
147,12
148,14
149,12
150,18
151,14
152,13
153,11
154,12
155,10
156,12
157,10
158,11
159,11
160,18
161,10
162,8
163,12
164,10
165,7
166,13
167,11
168,3
169,10
170,14
171,10
172,8
173,11
174,13
175,9
176,6
177,6
178,10
179,11
180,10
181,6
182,7
183,8
184,5
185,5
186,13
187,7
188,4
189,8
190,9
191,7
192,2
193,6
194,10
195,10
196,6
197,3
198,5
199,8
200,8
201,6
202,7
203,8
204,3
205,4
206,2
207,4
208,1
209,4
210,5
211,6
212,5
213,6
214,1
215,5
216,3
217,8
218,5
219,4
220,1
221,3
222,8
223,4
224,4
225,5
226,2
227,5
228,2
229,6
230,5
232,2
233,2
234,9
235,5
236,3
237,1
238,3
239,4
240,5
241,4
242,3
243,1
244,3
245,3
246,4
247,1
248,3
249,2
250,3
251,2
252,4
253,2
255,4
256,4
257,3
258,1
260,1
261,2
262,5
263,1
264,1
265,3
266,2
267,3
268,1
269,2
270,1
272,3
275,1
276,2
277,3
279,2
280,2
282,5
283,1
285,1
287,1
288,1
289,1
292,3
294,1
295,3
296,1
297,2
298,1
300,1
301,5
302,1
303,4
307,2
308,1
310,1
311,1
312,2
318,1
320,1
321,1
323,1
324,2
328,3
330,1
332,1
333,2
335,1
336,1
337,1
339,1
340,1
341,1
344,1
348,1
353,2
356,1
358,1
361,1
363,1
365,1
368,1
370,2
381,1
382,1
385,1
386,1
390,1
394,1
399,1
419,1
426,1
428,1
430,1
432,2
434,1
442,1
445,1
492,1
516,1
532,1
702,1
827,1
