xvalue,counts
1,187
2,155
3,107
4,115
5,95
6,102
7,95
8,112
9,83
10,86
11,76
12,89
13,82
14,72
15,84
16,73
17,85
18,83
19,68
20,66
21,59
22,55
23,58
24,68
25,62
26,60
27,56
28,60
29,55
30,69
31,52
32,61
33,59
34,54
35,56
36,51
37,62
38,54
39,57
40,57
41,61
42,50
43,64
44,63
45,50
46,51
47,64
48,44
49,52
50,50
51,55
52,38
53,49
54,53
55,46
56,49
57,46
58,50
59,48
60,40
61,52
62,46
63,38
64,47
65,40
66,39
67,45
68,59
69,49
70,37
71,37
72,34
73,35
74,35
75,48
76,41
77,40
78,45
79,42
80,50
81,33
82,28
83,36
84,32
85,39
86,43
87,37
88,31
89,31
90,36
91,37
92,52
93,35
94,35
95,30
96,36
97,32
98,27
99,37
100,33
101,29
102,19
103,35
104,21
105,23
106,34
107,30
108,28
109,19
110,34
111,27
112,25
113,20
114,34
115,18
116,25
117,26
118,35
119,21
120,25
121,20
122,26
123,25
124,33
125,24
126,25
127,20
128,16
129,11
130,30
131,20
132,22
133,14
134,20
135,22
136,19
137,27
138,29
139,18
140,14
141,20
142,22
143,15
144,22
145,19
146,21
147,11
148,18
149,20
150,16
151,13
152,17
153,17
154,17
155,13
156,16
157,16
158,12
159,12
160,12
161,10
162,9
163,12
164,11
165,11
166,21
167,13
168,11
169,10
170,9
171,14
172,12
173,11
174,6
175,11
176,12
177,14
178,13
179,12
180,5
181,8
182,12
183,9
184,4
185,10
186,8
187,6
188,7
189,7
190,8
191,8
192,4
193,5
194,10
195,7
196,10
197,8
198,5
199,2
200,6
201,2
202,6
203,5
204,3
205,10
206,3
207,8
208,6
209,7
210,8
211,7
212,4
213,3
214,7
215,9
216,5
217,3
218,4
219,8
220,7
221,5
222,9
223,7
224,3
225,5
226,4
227,10
228,3
229,2
230,8
231,6
232,2
233,2
234,1
235,5
236,9
237,6
238,3
239,5
240,8
241,2
242,5
243,6
244,3
245,1
246,6
247,6
248,4
249,5
250,2
251,3
252,5
253,6
255,3
256,1
257,2
258,2
259,4
260,2
261,2
262,4
263,1
264,2
265,4
266,2
267,2
268,1
269,1
270,5
271,1
272,5
273,2
274,1
275,4
276,4
278,2
279,4
280,1
282,3
284,3
285,2
286,4
287,1
288,1
290,1
291,2
292,3
293,1
295,1
296,1
298,1
299,1
300,2
301,2
303,2
304,1
305,1
306,1
307,3
309,1
310,4
311,1
314,1
316,1
320,2
321,1
322,1
325,1
326,1
328,2
329,1
332,2
333,1
334,1
336,1
337,1
338,2
339,1
340,1
345,1
346,1
347,1
352,1
356,1
358,2
361,1
364,1
369,1
370,1
374,1
382,1
383,1
393,1
394,1
403,1
404,1
407,1
408,1
418,1
422,1
440,1
457,1
463,1
487,1
501,1
551,1
1188,1
