xvalue,counts
1,462
2,328
3,264
4,282
5,252
6,244
7,239
8,234
9,206
10,213
11,230
12,215
13,235
14,203
15,199
16,184
17,208
18,198
19,202
20,161
21,182
22,196
23,184
24,157
25,163
26,195
27,175
28,162
29,147
30,150
31,160
32,139
33,140
34,124
35,150
36,125
37,123
38,148
39,145
40,133
41,114
42,125
43,126
44,148
45,115
46,121
47,109
48,129
49,115
50,121
51,111
52,114
53,106
54,120
55,97
56,122
57,103
58,114
59,121
60,110
61,100
62,98
63,109
64,97
65,111
66,107
67,97
68,95
69,84
70,90
71,97
72,96
73,95
74,93
75,88
76,80
77,85
78,75
79,76
80,74
81,70
82,74
83,63
84,80
85,73
86,68
87,99
88,70
89,77
90,73
91,71
92,57
93,65
94,65
95,68
96,70
97,79
98,65
99,49
100,54
101,52
102,63
103,55
104,58
105,65
106,53
107,57
108,48
109,49
110,46
111,43
112,39
113,47
114,52
115,57
116,54
117,41
118,49
119,45
120,33
121,43
122,33
123,45
124,47
125,32
126,29
127,29
128,40
129,44
130,36
131,48
132,28
133,37
134,24
135,36
136,26
137,32
138,41
139,29
140,32
141,22
142,21
143,27
144,26
145,32
146,26
147,23
148,23
149,24
150,27
151,30
152,31
153,17
154,27
155,33
156,27
157,22
158,22
159,26
160,23
161,14
162,20
163,18
164,8
165,17
166,25
167,19
168,21
169,18
170,24
171,21
172,19
173,15
174,17
175,15
176,19
177,13
178,20
179,13
180,14
181,13
182,12
183,20
184,17
185,19
186,9
187,11
188,18
189,12
190,18
191,8
192,9
193,11
194,13
195,17
196,2
197,10
198,9
199,4
200,14
201,13
202,14
203,9
204,10
205,12
206,6
207,9
208,7
209,7
210,9
211,6
212,7
213,8
214,9
215,5
216,8
217,9
218,9
219,10
220,10
221,3
222,9
223,4
224,3
225,5
226,7
227,4
228,2
229,9
230,5
231,3
232,6
233,6
234,5
235,7
236,7
238,3
239,4
240,5
241,7
242,4
243,6
244,6
245,2
246,9
247,3
248,5
249,4
250,3
251,2
252,1
253,3
254,3
255,2
256,3
257,4
258,3
259,7
260,2
261,3
262,1
263,3
264,2
265,2
266,3
267,4
268,2
269,3
270,1
271,3
272,3
273,3
274,1
275,3
276,2
277,2
279,3
280,1
283,4
284,2
285,1
286,2
287,1
288,1
289,2
290,1
291,4
292,2
293,1
295,4
296,1
298,3
299,4
300,1
301,2
303,1
304,1
305,2
307,2
309,2
310,4
312,2
313,2
314,3
315,1
316,1
318,2
320,2
321,4
322,2
323,1
325,1
326,1
327,1
328,1
332,2
334,1
335,1
336,1
337,1
339,1
341,1
342,1
343,1
345,1
346,2
347,2
349,1
350,1
353,2
354,2
356,1
357,1
358,1
359,1
360,1
362,1
363,1
368,1
373,1
376,2
378,1
387,1
391,1
392,1
394,1
395,2
400,1
410,1
411,1
413,1
415,1
418,1
422,1
428,1
431,1
437,1
438,1
440,1
442,1
444,2
447,1
453,1
458,1
459,2
462,2
464,2
483,1
496,1
511,1
516,1
521,1
526,1
533,1
535,1
550,1
572,1
588,1
668,1
670,1
673,1
744,1
870,1
920,1
1415,1
