xvalue,counts
1,333
2,298
3,236
4,233
5,269
6,232
7,240
8,252
9,270
10,251
11,244
12,234
13,264
14,244
15,232
16,218
17,236
18,197
19,207
20,186
21,210
22,182
23,197
24,183
25,185
26,190
27,171
28,177
29,188
30,180
31,168
32,155
33,153
34,147
35,161
36,162
37,147
38,132
39,117
40,120
41,123
42,104
43,108
44,117
45,93
46,121
47,97
48,108
49,114
50,106
51,98
52,83
53,91
54,90
55,92
56,100
57,82
58,77
59,76
60,81
61,79
62,55
63,88
64,65
65,68
66,65
67,75
68,72
69,48
70,58
71,60
72,71
73,62
74,71
75,48
76,56
77,46
78,46
79,71
80,56
81,47
82,44
83,49
84,45
85,48
86,51
87,47
88,46
89,44
90,47
91,41
92,49
93,42
94,55
95,40
96,40
97,36
98,44
99,42
100,35
101,41
102,22
103,39
104,40
105,22
106,29
107,29
108,41
109,30
110,41
111,35
112,22
113,30
114,33
115,20
116,39
117,22
118,27
119,28
120,31
121,31
122,22
123,28
124,29
125,27
126,32
127,33
128,28
129,21
130,25
131,35
132,23
133,23
134,19
135,30
136,33
137,17
138,24
139,16
140,21
141,16
142,20
143,20
144,21
145,20
146,17
147,21
148,16
149,20
150,15
151,18
152,21
153,15
154,17
155,22
156,17
157,16
158,16
159,18
160,18
161,17
162,15
163,27
164,11
165,14
166,20
167,23
168,10
169,9
170,15
171,16
172,10
173,9
174,17
175,14
176,17
177,14
178,13
179,18
180,14
181,18
182,10
183,13
184,12
185,14
186,16
187,10
188,9
189,14
190,12
191,7
192,9
193,14
194,10
195,9
196,7
197,6
198,8
199,12
200,5
201,11
202,7
203,9
204,12
205,8
206,11
207,5
208,8
209,12
210,8
211,4
212,6
213,5
214,5
215,12
216,12
217,10
218,9
219,7
220,7
221,6
222,6
223,15
224,8
225,5
226,8
227,8
228,6
229,9
230,9
231,3
232,5
233,8
234,5
235,9
236,5
237,7
238,6
239,3
240,1
241,4
242,9
243,6
244,4
245,1
246,3
247,3
248,4
249,7
250,5
251,5
252,5
253,3
254,4
255,2
256,4
257,6
259,4
260,6
261,5
262,1
263,5
264,2
265,5
266,5
267,4
268,5
269,3
270,4
271,1
272,2
273,3
274,2
275,3
276,5
277,4
278,1
279,3
280,3
281,6
282,3
283,3
284,2
285,1
286,2
287,3
288,3
289,3
290,4
291,3
292,3
293,2
294,4
295,3
296,6
300,3
301,2
302,3
303,2
304,1
305,4
306,1
307,2
308,4
309,2
310,1
311,1
312,4
313,1
314,1
315,1
316,3
318,1
319,4
323,2
324,1
328,1
329,2
330,2
331,1
332,2
333,1
334,1
335,1
336,2
337,1
339,1
341,1
347,2
349,1
350,1
351,1
356,1
357,1
358,1
361,1
363,1
364,1
365,1
367,1
379,1
382,2
383,1
385,2
394,1
395,1
399,1
400,1
402,1
408,1
410,1
412,1
413,1
419,1
432,1
434,1
452,1
480,1
490,2
499,1
508,1
512,1
544,1
556,1
640,1
816,1
893,1
4765,1
