xvalue,counts
1,644
2,454
3,353
4,309
5,322
6,264
7,276
8,281
9,254
10,246
11,234
12,226
13,232
14,228
15,232
16,208
17,186
18,195
19,205
20,202
21,166
22,158
23,179
24,187
25,176
26,156
27,169
28,183
29,163
30,156
31,160
32,148
33,164
34,138
35,157
36,134
37,153
38,142
39,149
40,162
41,129
42,127
43,141
44,140
45,130
46,126
47,107
48,118
49,127
50,124
51,118
52,110
53,114
54,127
55,134
56,131
57,115
58,114
59,130
60,111
61,105
62,110
63,101
64,100
65,108
66,99
67,96
68,103
69,98
70,110
71,100
72,109
73,112
74,89
75,88
76,105
77,87
78,90
79,96
80,87
81,85
82,91
83,105
84,82
85,93
86,74
87,97
88,87
89,94
90,81
91,87
92,73
93,83
94,66
95,85
96,84
97,89
98,64
99,83
100,75
101,64
102,66
103,84
104,72
105,62
106,75
107,67
108,75
109,77
110,65
111,65
112,67
113,66
114,78
115,59
116,74
117,53
118,78
119,48
120,56
121,68
122,60
123,52
124,69
125,48
126,62
127,61
128,49
129,63
130,64
131,49
132,66
133,55
134,46
135,47
136,53
137,55
138,57
139,42
140,41
141,32
142,38
143,42
144,48
145,36
146,48
147,45
148,43
149,35
150,40
151,39
152,33
153,40
154,54
155,46
156,36
157,38
158,39
159,37
160,35
161,50
162,31
163,49
164,23
165,25
166,29
167,28
168,33
169,35
170,38
171,26
172,23
173,27
174,30
175,31
176,34
177,32
178,28
179,25
180,20
181,18
182,28
183,16
184,19
185,22
186,28
187,22
188,18
189,24
190,35
191,28
192,20
193,23
194,26
195,30
196,19
197,17
198,15
199,18
200,24
201,17
202,19
203,16
204,15
205,24
206,19
207,18
208,12
209,17
210,25
211,20
212,13
213,16
214,16
215,14
216,21
217,17
218,12
219,21
220,17
221,12
222,10
223,14
224,19
225,10
226,15
227,14
228,13
229,8
230,11
231,9
232,7
233,11
234,17
235,18
236,10
237,10
238,20
239,14
240,15
241,10
242,13
243,10
244,14
245,10
246,6
247,14
248,7
249,5
250,7
251,9
252,10
253,8
254,8
255,6
256,12
257,9
258,8
259,7
260,7
261,6
262,4
263,4
264,5
265,6
266,9
267,5
268,7
269,6
270,6
271,5
272,8
273,1
274,7
275,14
276,8
277,3
278,1
279,7
280,5
281,5
282,5
283,4
284,9
285,4
286,7
287,5
288,6
289,4
290,2
291,5
292,4
293,7
294,8
295,4
296,3
297,6
298,1
299,3
301,1
302,5
303,4
304,4
305,4
306,3
307,6
308,2
309,6
310,4
311,3
312,2
313,3
314,1
315,1
316,4
317,3
318,2
319,3
320,4
321,2
322,2
323,3
324,1
325,3
326,5
327,1
328,1
329,3
330,2
332,1
333,2
334,1
335,3
336,3
338,2
339,2
340,2
341,3
343,1
344,4
345,4
346,3
347,1
348,1
349,2
351,2
352,3
353,1
354,3
355,3
357,4
358,1
360,2
361,2
362,3
363,2
366,1
367,1
368,2
369,2
370,1
372,2
373,2
374,1
375,2
376,1
377,1
378,1
379,1
380,3
381,1
384,1
386,4
387,1
388,1
389,1
391,1
393,2
394,1
396,3
397,2
398,1
399,1
400,1
403,2
404,1
406,1
407,3
408,2
416,2
418,1
421,2
427,1
428,1
429,2
431,1
432,1
438,1
439,1
442,1
445,1
446,1
451,1
464,1
465,1
466,1
470,1
474,1
475,1
476,1
479,1
485,1
490,1
492,1
505,1
511,1
516,1
522,1
524,2
529,1
548,1
551,1
556,1
564,1
576,1
593,1
594,1
650,1
795,2
831,1
868,1
1180,1
