xvalue,counts
1,398
2,257
3,227
4,224
5,228
6,203
7,171
8,179
9,192
10,166
11,175
12,156
13,162
14,160
15,162
16,160
17,147
18,148
19,150
20,155
21,160
22,160
23,144
24,130
25,147
26,136
27,159
28,135
29,145
30,154
31,125
32,147
33,115
34,113
35,155
36,116
37,132
38,125
39,103
40,118
41,114
42,125
43,126
44,127
45,109
46,129
47,123
48,101
49,107
50,110
51,122
52,93
53,125
54,108
55,96
56,103
57,122
58,109
59,96
60,90
61,102
62,106
63,89
64,98
65,93
66,105
67,91
68,106
69,85
70,82
71,81
72,92
73,75
74,87
75,85
76,84
77,75
78,79
79,86
80,80
81,69
82,62
83,58
84,62
85,74
86,69
87,72
88,71
89,70
90,71
91,55
92,55
93,54
94,63
95,56
96,53
97,60
98,53
99,52
100,52
101,51
102,59
103,52
104,59
105,54
106,48
107,63
108,53
109,50
110,41
111,51
112,43
113,56
114,49
115,39
116,39
117,35
118,40
119,48
120,31
121,37
122,39
123,30
124,37
125,35
126,46
127,34
128,40
129,23
130,36
131,33
132,41
133,27
134,26
135,27
136,36
137,27
138,30
139,28
140,32
141,13
142,24
143,24
144,16
145,28
146,23
147,24
148,25
149,17
150,25
151,18
152,14
153,13
154,26
155,18
156,19
157,22
158,24
159,17
160,16
161,22
162,13
163,20
164,6
165,19
166,16
167,23
168,16
169,9
170,21
171,13
172,17
173,11
174,13
175,18
176,12
177,12
178,13
179,14
180,12
181,13
182,20
183,12
184,19
185,13
186,7
187,12
188,10
189,11
190,7
191,15
192,9
193,17
194,8
195,15
196,9
197,10
198,4
199,12
200,13
201,10
202,8
203,3
204,8
205,9
206,11
207,16
208,12
209,13
210,5
211,9
212,6
213,11
214,9
215,6
216,7
217,8
218,8
219,8
220,4
221,4
222,4
223,8
224,7
225,3
226,8
227,7
228,8
229,6
230,10
231,7
232,8
233,6
234,6
235,4
236,4
237,3
238,9
239,6
240,6
241,5
242,5
243,6
244,7
245,4
246,5
247,2
248,3
249,5
250,8
251,4
252,3
253,2
254,5
255,1
256,2
257,5
258,3
259,2
260,5
261,4
262,3
263,5
264,2
265,3
266,4
267,2
268,2
269,2
270,4
271,1
272,3
273,3
275,5
276,1
277,1
279,2
280,3
281,3
282,5
283,1
284,2
285,3
286,3
287,1
288,2
289,3
290,3
291,3
292,4
294,1
295,3
296,2
297,1
298,4
299,4
300,2
303,2
304,4
305,1
307,1
308,2
311,1
312,1
313,3
314,1
317,2
319,2
321,3
322,2
324,1
325,1
326,3
327,2
328,1
330,1
331,1
332,1
334,1
335,1
339,3
340,2
341,1
342,1
343,2
345,2
346,2
347,1
348,2
350,2
353,1
355,2
356,1
357,1
358,1
359,1
361,1
363,2
364,3
365,1
366,1
368,1
369,1
370,1
382,1
384,1
385,2
390,1
394,1
395,2
397,1
400,1
401,1
403,1
404,1
408,2
409,1
428,1
429,1
435,1
437,1
441,1
450,1
464,1
475,1
477,1
479,1
482,1
491,1
580,1
616,1
810,1
